id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExpandedExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v396-anatomy-trendelenburg-yuruyusu,Trendelenburg yürüyüşü,"[""Trendelenburg yürüyüşü"", ""Trendelenburg gait"", ""Trendelenburg bulgusu"", ""Trendelenburg sign""]",Anatomi / yürüyüş bulgusu,Kalça abdüktör zayıflığı,P0,Kalça abdüktör mekanizma zayıflığı nedeniyle yürüme sırasında pelvisin karşı tarafa düşmesidir.,Superior gluteal sinir veya gluteus medius-minimus hasarında görülür; kalça cerrahisi ve gluteal enjeksiyon sonrası lokalizasyon sorularında değerlidir.,Karşı pelvis düşmesi = superior gluteal sinir/gluteus medius-minimus zayıflığı.,Steppage yürüyüş düşük ayakla; Trendelenburg yürüyüşü kalça abdüktör zayıflığıyla ayrılır.,"[""Superior gluteal sinir"", ""Gluteus medius"", ""Gluteus minimus""]",13,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] learningTarget: Trendelenburg bulgusunu destek bacak tarafındaki abdüktör kas fonksiyonu ve gluteal sinir ayrımıyla açıklayabilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] diagnosis.pearls[0].text: Trendelenburg bulgusunda pelvis, zayıf abdüktörlerin karşı tarafına düşer; lezyon destek bacak tarafındaki nervus gluteus superiordadır.""}]"
v396-anatomy-gluteus-medius,Gluteus medius,"[""Gluteus medius"", ""m. gluteus medius"", ""orta gluteal kas""]",Anatomi / kas,Kalça abdüktörü,P1,Kalça abdüksiyonu ve yürüme sırasında pelvis stabilizasyonunda görevli gluteal kastır.,Superior gluteal sinirle innerve edilir; zayıflığında karşı pelvis düşer ve Trendelenburg bulgusu oluşur.,Gluteus medius yürüme sırasında pelvisin karşı tarafa düşmesini engeller.,Gluteus maximus kalça ekstansiyonu ve inferior gluteal sinirle ilişkilidir.,"[""Superior gluteal sinir"", ""Trendelenburg yürüyüşü"", ""Gluteus minimus""]",33,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] diagnosis.explanation: Nervus gluteus superior gluteus medius, gluteus minimus ve tensor fasciae latae kaslarını innerve eder. Bu kaslar tek ayak duruşunda destek bacak tarafında kasılarak karşı hemipelvisin düşmesini engeller. Sağ bacak üzerinde dururken sol pelvisin düşmesi, sağ kalça abdüktör mekanizmasının zayıfladığını gösterir; diz ekstansiy…""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] diagnosis.answerFeedback.whyCorrect: Nervus gluteus superior gluteus medius, gluteus minimus ve tensor fasciae latae kaslarını innerve eder. Bu kaslar tek ayak duruşunda destek bacak tarafında kasılarak karşı hemipelvisin düşmesini engeller. Sağ bacak üzerinde dururken sol pelvisin düşmesi, sağ kalça abdüktör mekanizmasının zayıfladığını gösterir;…""}]"
v396-anatomy-gluteus-minimus,Gluteus minimus,"[""Gluteus minimus"", ""m. gluteus minimus"", ""küçük gluteal kas""]",Anatomi / kas,Kalça abdüktörü,P2,"Kalça abdüksiyonu ve medial rotasyona katkı veren, superior gluteal sinirle innerve edilen kastır.",Gluteus medius ile birlikte pelvis stabilizasyonunu sağlar; superior gluteal sinir lezyonunda fonksiyonu azalır.,Kalça abdüktör mekanizması gluteus medius + minimus üzerinden sorulur.,"Gluteus maximus ekstansiyon, medius/minimus abdüksiyon-stabilizasyon ağırlıklıdır.","[""Superior gluteal sinir"", ""Gluteus medius"", ""Trendelenburg yürüyüşü""]",19,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] diagnosis.explanation: Nervus gluteus superior gluteus medius, gluteus minimus ve tensor fasciae latae kaslarını innerve eder. Bu kaslar tek ayak duruşunda destek bacak tarafında kasılarak karşı hemipelvisin düşmesini engeller. Sağ bacak üzerinde dururken sol pelvisin düşmesi, sağ kalça abdüktör mekanizmasının zayıfladığını gösterir; diz ekstansiy…""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] diagnosis.answerFeedback.whyCorrect: Nervus gluteus superior gluteus medius, gluteus minimus ve tensor fasciae latae kaslarını innerve eder. Bu kaslar tek ayak duruşunda destek bacak tarafında kasılarak karşı hemipelvisin düşmesini engeller. Sağ bacak üzerinde dururken sol pelvisin düşmesi, sağ kalça abdüktör mekanizmasının zayıfladığını gösterir;…""}]"
v396-anatomy-femoral-sinir,Femoral sinir,"[""Femoral sinir"", ""femoral nerve"", ""nervus femoralis""]",Anatomi / periferik sinir,Lomber pleksus dalı,P0,"L2-L4 kökenli, anterior uyluk kaslarını ve anteromedial bacak duyusunu taşıyan sinirdir.","Femoral sinir lezyonunda diz ekstansiyonu zayıflar, patellar refleks azalır ve anterior uyluk/medial bacak duyusu etkilenebilir.",Diz ekstansiyon kaybı + patellar refleks azalması femoral siniri düşündürür.,"Obturator sinir adduksiyon, siyatik sinir posterior uyluk ve distal bacakla daha ilişkilidir.","[""Quadriceps femoris"", ""Patellar refleks"", ""Saphenous sinir""]",205,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] diagnosis.options[4]: Nervus femoralis""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v169-new-067-kalca-cerrahisi-sonrasi-yurume-bozuklugu] diagnosis.answerFeedback.optionComparison.Nervus femoralis: Nervus femoralis quadriceps ve patella refleksiyle ilişkilidir. Diz ekstansiyonu ve patella refleksi korunmuşken pelvis düşmesi femoral sinirden çok kalça abdüktör mekanizmasına aittir.""}]"
v396-anatomy-quadriceps-femoris,Quadriceps femoris,"[""Quadriceps femoris"", ""kuadriseps femoris"", ""quadriceps kası""]",Anatomi / kas grubu,Diz ekstansörleri,P1,Uyluğun anterior kompartmanındaki diz ekstansiyonunu sağlayan ana kas grubudur.,Femoral sinirle innerve edilir; femoral sinir hasarında diz ekstansiyonu ve merdiven çıkma fonksiyonu zayıflar.,Diz ekstansiyonu femoral sinir/quadriceps fonksiyonudur.,Hamstringler siyatik sinir ve diz fleksiyonu ile ayrılır.,"[""Femoral sinir"", ""Patellar refleks"", ""Diz ekstansiyonu""]",1,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-192-spot] explanation: Femoral sinir L2–L4 kökenlidir ve quadriceps femoris kasını innerve eder. Quadriceps diz ekstansiyonunu sağlar ve patellar refleks arkının temel motor bileşenidir.""}]"
v396-anatomy-patellar-refleks,Patellar refleks,"[""Patellar refleks"", ""diz refleksi"", ""knee jerk reflex""]",Anatomi / nörolojik muayene,L2-L4 refleksi,P1,Patellar tendonun uyarılmasıyla quadriceps kasında kontraksiyon oluşturan L2-L4 refleksidir.,Femoral sinir ve L2-L4 segmentleri değerlendirilir; femoral nöropati veya ilgili radikülopatilerde azalabilir.,Patellar refleks L2-L4 ve femoral sinir bilgisini birlikte test eder.,Aşil refleksi S1 ve tibial sinirle daha ilişkilidir.,"[""Femoral sinir"", ""Quadriceps femoris"", ""L2-L4""]",1,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-192-spot] explanation: Femoral sinir L2–L4 kökenlidir ve quadriceps femoris kasını innerve eder. Quadriceps diz ekstansiyonunu sağlar ve patellar refleks arkının temel motor bileşenidir.""}]"
v396-anatomy-saphenous-sinir,Saphenous sinir,"[""Saphenous sinir"", ""nervus saphenus"", ""safen sinir"", ""saphenous nerve""]",Anatomi / periferik sinir,Femoral sinir duyu dalı,P1,Femoral sinirin saf duyu dalıdır; medial bacak ve ayak medial kenar duyusunu taşır.,Adduktor kanaldan geçerek medial bacak duyusunu sağlar; motor kayıp olmadan medial bacak uyuşması yapabilir.,Saphenous sinir femoral sinirin saf duyu dalıdır.,Vena saphena magna yüzeyel ven; saphenous sinir duyu dalıdır.,"[""Femoral sinir"", ""Adduktor kanal"", ""Medial bacak duyusu""]",0,[]
v396-anatomy-obturator-kanal,Obturator kanal,"[""Obturator kanal"", ""obturator canal"", ""canalis obturatorius""]",Anatomi / pelvis,Nörovasküler geçiş,P1,Obturator foramenin üst kısmında obturator sinir ve damarların pelvisten uyluğa geçtiği kanaldır.,Pelvik cerrahi veya lenf nodu diseksiyonunda obturator sinir bu bölgede risk altındadır; adduksiyon zayıflığı ile klinikleşebilir.,Pelvik lenf nodu diseksiyonu + adduksiyon zayıflığı obturator kanal/sinir bilgisini gerektirir.,Femoral sinir anterior uyluk ve diz ekstansiyonu; obturator sinir medial uyluk adduksiyonu ile ayrılır.,"[""Obturator sinir"", ""Pelvik lenf nodu diseksiyonu"", ""Adduktor kaslar""]",29,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v166-new-037-pelvik-cerrahide-riskli-yapi] diagnosis.answerFeedback.optionComparison.Nervus obturatorius: Nervus obturatorius lateral pelvik duvar ve obturator kanal boyunca önemlidir; pelvik lenfadenektomi gibi işlemlerde riskli olabilir. Ancak uterin arterin serviks lateralindeki ligasyonunda klasik hedef komşuluk üreterdir.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v166-new-037-pelvik-cerrahide-riskli-yapi] diagnosis.optionComparison.Nervus obturatorius: Nervus obturatorius lateral pelvik duvar ve obturator kanal boyunca önemlidir; pelvik lenfadenektomi gibi işlemlerde riskli olabilir. Ancak uterin arterin serviks lateralindeki ligasyonunda klasik hedef komşuluk üreterdir.""}]"
v396-anatomy-femoral-halka,Femoral halka,"[""Femoral halka"", ""femoral ring"", ""anulus femoralis""]",Anatomi / kasık bölgesi,Femoral kanal girişi,P1,Femoral kanalın abdominal açıklığıdır; femoral hernilerin geçtiği dar anatomik halkadır.,Femoral halka sert sınırlara sahip olduğu için femoral hernilerde strangülasyon riski daha yüksektir.,Kasık altında şişlik + strangülasyon eğilimi femoral halka/femoral herni bilgisini çağırır.,İnguinal herniler inguinal ligamentin üstünde; femoral herniler altında yerleşir.,"[""Femoral kanal"", ""Femoral herni"", ""Lacunar ligament""]",4,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-188-spot] keywords[1]: femoral halka""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-188-spot] back: Femoral kanalın dar ve sert sınırlı femoral halka içinden geçmesi.""}]"
v396-anatomy-lacunar-ligament,Lacunar ligament,"[""Lacunar ligament"", ""ligamentum lacunare"", ""Gimbernat ligamenti""]",Anatomi / kasık bölgesi,Femoral halka sınırı,P1,İnguinal ligamentin medialde pektineal hatta uzanan keskin fibröz uzantısıdır.,Femoral halkanın medial sınırını oluşturur; femoral herni cerrahisinde kesilmesi gerekebilir ancak komşu damar varyasyonları nedeniyle dikkat ister.,Femoral herni sınır sorularında medial sınır lacunar ligamenttir.,İnguinal ligament femoral/inguinal herni ayrımında genel landmarktır; lacunar ligament femoral halkanın medial sınırıdır.,"[""Femoral halka"", ""Femoral kanal"", ""Femoral herni""]",0,[]
v396-anatomy-inguinal-kanal,İnguinal kanal,"[""İnguinal kanal"", ""inguinal canal"", ""kasık kanalı""]",Anatomi / kasık bölgesi,Abdominal duvar kanalı,P0,Ön karın duvarında derin ve yüzeyel inguinal halkalar arasında uzanan oblik anatomik kanaldır.,"Erkekte spermatik kord, kadında round ligament kanaldan geçer; inguinal herni tiplerini anlamada temel yapıdır.",İnguinal kanal = inguinal herni anatomisinin merkezidir.,Femoral kanal inguinal ligamentin altında yer alır ve femoral herni ile ilişkilidir.,"[""Derin inguinal halka"", ""Yüzeyel inguinal halka"", ""Direkt inguinal herni"", ""İndirekt inguinal herni""]",5,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-203-kasik-ameliyati-sonrasi-uyusma] learningTarget: İnguinal kanal çevresindeki L1 kaynaklı sinirleri duyu alanı, cerrahi seyir ve motor korunma bulgularıyla ayırt edebilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v185-new-203-kasik-ameliyati-sonrasi-uyusma] diagnosis.answerFeedback.learningOutcome: İnguinal kanal çevresindeki L1 kaynaklı sinirleri duyu alanı, cerrahi seyir ve motor korunma bulgularıyla ayırt edebilme.""}]"
v396-anatomy-derin-inguinal-halka,Derin inguinal halka,"[""Derin inguinal halka"", ""deep inguinal ring"", ""internal inguinal ring"", ""iç inguinal halka""]",Anatomi / kasık bölgesi,İnguinal kanal başlangıcı,P1,Transversalis fasyada bulunan ve inguinal kanalın lateral derin açıklığını oluşturan yapıdır.,İndirekt inguinal herni derin inguinal halkadan girer ve inferior epigastrik damarların lateralinden ilerler.,İndirekt inguinal herni derin halkadan ve inferior epigastrik damarların lateralinden gelir.,"Direkt herni Hesselbach üçgeninden, damarların medialinden çıkar.","[""İnguinal kanal"", ""İndirekt inguinal herni"", ""İnferior epigastrik damarlar""]",0,[]
v396-anatomy-yuzeyel-inguinal-halka,Yüzeyel inguinal halka,"[""Yüzeyel inguinal halka"", ""superficial inguinal ring"", ""external inguinal ring"", ""dış inguinal halka""]",Anatomi / kasık bölgesi,İnguinal kanal çıkışı,P1,External oblik aponevrozundaki açıklıktır ve inguinal kanalın yüzeyel çıkışını oluşturur.,Spermatik kord/round ligament kanal boyunca ilerleyip yüzeyel halkadan çıkar; ileri indirekt herniler skrotuma uzanabilir.,İnguinal kanalın çıkışı yüzeyel inguinal halkadır.,"Derin halka transversalis fasyada, yüzeyel halka external oblik aponevrozundadır.","[""İnguinal kanal"", ""Derin inguinal halka"", ""Spermatik kord""]",0,[]
v396-anatomy-inferior-epigastrik-damarlar,İnferior epigastrik damarlar,"[""İnferior epigastrik damarlar"", ""inferior epigastric vessels"", ""inferior epigastrik arter"", ""inferior epigastrik ven""]",Anatomi / damar,Herni landmarkı,P0,Rektus kılıfı arka yüzünde yükselen ve inguinal herni tiplerini ayırmada landmark olan damarlardır.,"Direkt inguinal herni bu damarların medialinden, indirekt inguinal herni lateralinden çıkar; TUS’ta en klasik herni ayrımıdır.","Direkt medial, indirekt lateral: landmark inferior epigastrik damarlardır.",Femoral herni inguinal ligamentin altındadır ve bu medial-lateral ayrımla değil femoral halka ile ilişkilidir.,"[""Direkt inguinal herni"", ""İndirekt inguinal herni"", ""Hesselbach üçgeni""]",0,[]
v396-anatomy-hesselbach-ucgeni,Hesselbach üçgeni,"[""Hesselbach üçgeni"", ""Hesselbach triangle"", ""inguinal üçgen""]",Anatomi / kasık bölgesi,Direkt herni alanı,P0,"Rektus abdominis lateral kenarı, inguinal ligament ve inferior epigastrik damarlarla sınırlı zayıf karın duvarı alanıdır.",Direkt inguinal herniler Hesselbach üçgeninden çıkar ve inferior epigastrik damarların medialinde yer alır.,Direkt inguinal herni = Hesselbach üçgeni + inferior epigastrik damarların mediali.,İndirekt herni derin halkadan girer ve damarların lateralinden geçer.,"[""Direkt inguinal herni"", ""İnferior epigastrik damarlar"", ""İnguinal kanal""]",0,[]
v396-anatomy-direkt-inguinal-herni,Direkt inguinal herni,"[""Direkt inguinal herni"", ""direct inguinal hernia"", ""direkt kasık fıtığı""]",Anatomi / herni,Hesselbach üçgeni,P1,"Karın içeriğinin Hesselbach üçgeninden, inferior epigastrik damarların medialinden protrüze olduğu inguinal hernidir.",Edinsel karın duvarı zayıflığıyla ilişkilidir; genellikle skrotuma inme eğilimi indirekt herniye göre daha azdır.,Direkt herni damarların medialinden çıkar; indirekt herni lateralinden gelir.,Femoral herni inguinal ligamentin altında ve femoral kanaldadır.,"[""Hesselbach üçgeni"", ""İnferior epigastrik damarlar"", ""İnguinal kanal""]",0,[]
v396-anatomy-indirekt-inguinal-herni,İndirekt inguinal herni,"[""İndirekt inguinal herni"", ""indirect inguinal hernia"", ""indirekt kasık fıtığı""]",Anatomi / herni,Derin inguinal halka,P1,Karın içeriğinin derin inguinal halkadan girerek inferior epigastrik damarların lateralinden ilerlediği inguinal hernidir.,Patent processus vaginalis zemininde skrotuma kadar uzanabilir; genç erkeklerde ve konjenital mekanizmalarda sık vurgulanır.,İndirekt herni derin halkadan girer ve damarların lateralindedir.,Direkt herni Hesselbach üçgeninden ve damarların medialinden çıkar.,"[""Derin inguinal halka"", ""Processus vaginalis"", ""İnferior epigastrik damarlar""]",0,[]
v396-anatomy-femoral-herni,Femoral herni,"[""Femoral herni"", ""femoral hernia"", ""femoral fıtık""]",Anatomi / herni,Femoral kanal hernisi,P1,"Karın içeriğinin femoral kanaldan, inguinal ligamentin altından protrüze olduğu hernidir.",Femoral halka dar olduğu için strangülasyon riski yüksektir; kasık ligamentinin altındaki ağrılı şişlik femoral herni lehinedir.,İnguinal ligamentin altında ağrılı şişlik + yüksek strangülasyon riski = femoral herni.,İnguinal herniler ligamentin üstünde; femoral herni altında yerleşir.,"[""Femoral kanal"", ""Femoral halka"", ""Lacunar ligament""]",42,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v174-new-099-kasik-altinda-agrili-sislik] learningTarget: Femoral kanalın sınırlarını, femoral herninin klinik yerleşimi ve vasküler komşulukları üzerinden ayırt edebilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v174-new-099-kasik-altinda-agrili-sislik] question: Femoral herni kesesinin geçtiği femoral kanalın lateral komşuluğunu hangi yapı oluşturur?""}]"
v396-anatomy-safen-aciklik,Safen açıklık,"[""Safen açıklık"", ""saphenous opening"", ""fossa ovalis açıklığı"", ""hiatus saphenus""]",Anatomi / yüzeyel ven,Femoral bölge,P1,Vena saphena magna’nın femoral vene katıldığı fascia lata açıklığıdır.,Büyük safen ven femoral vene safen açıklıktan dökülür; varis cerrahisi ve femoral bölge anatomisinde kullanılır.,Vena saphena magna femoral vene safen açıklıkta katılır.,Femoral kanal herni anatomisiyle komşudur ancak venöz açıklık farklı kavramdır.,"[""Vena saphena magna"", ""Fossa ovalis"", ""Femoral ven""]",0,[]
v396-anatomy-fossa-ovalis,Fossa ovalis,"[""Fossa ovalis"", ""fossa ovalis femoris"", ""oval fossa""]",Anatomi / femoral bölge,Safen açıklık bölgesi,P2,Fascia lata üzerindeki safen açıklığın bulunduğu oval zayıf alanı ifade eder.,Vena saphena magna burada derinden femoral vene açılır; kasık cerrahisi ve yüzeyel ven anatomisi için landmarktır.,"Fossa ovalis, büyük safen venin femoral vene katılım bölgesiyle ilişkilidir.",Kalpteki fossa ovalis ile karıştırılmamalıdır; burada femoral bölge anatomisi kastedilir.,"[""Safen açıklık"", ""Vena saphena magna"", ""Femoral ven""]",0,[]
v396-anatomy-parotis-bezi,Parotis bezi,"[""Parotis bezi"", ""glandula parotis"", ""parotid gland""]",Anatomi / baş-boyun,Tükürük bezi,P0,"Kulak önünde yerleşen, içinden fasiyal sinirin dallarının geçtiği büyük tükürük bezidir.",Parotis cerrahisinde fasiyal sinir motor dalları korunmalıdır; bezin sekresyonu auriculotemporal sinir üzerinden gelen parasempatik liflerle ilişkilidir.,Parotis cerrahisi sorusunda korunacak motor sinir fasiyal sinirdir.,Fasiyal sinir parotisten geçer ama parotis sekresyonunun ana parasempatik siniri değildir.,"[""Fasiyal sinir"", ""Auriculotemporal sinir"", ""Otic ganglion""]",46,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v177-new-124-parotis-ameliyati-sonrasi-yuz-asimetrisi] learningTarget: Parotis bezinden geçen motor siniri; trigeminal mandibular, hipoglossal, glossopharyngeal ve aksesuar sinir bulgularından ayırt edebilme.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v177-new-124-parotis-ameliyati-sonrasi-yuz-asimetrisi] stem: Hasta bir hafta önce sağ parotis bezindeki benign kitle nedeniyle cerrahi eksizyon yapıldığını ve ameliyattan sonra yüzünün sağ tarafında asimetri fark ettiğini anlatıyor. Gülerken sağ ağız köşesinin yeterince hareket etmediğini, sağ gözünü sıkıca kapatmakta zorlandığını ve alın kırıştırmasının azaldığını söylüyor. Ameliyat öncesinde yüz har…""}]"
v396-anatomy-auriculotemporal-sinir,Auriculotemporal sinir,"[""Auriculotemporal sinir"", ""auriculotemporal nerve"", ""nervus auriculotemporalis""]",Anatomi / baş-boyun,Mandibular sinir dalı,P1,V3 dalı olan ve parotis bezine postganglionik parasempatik lifleri taşıyan duyu ağırlıklı sinirdir.,Otic gangliondan çıkan sekretomotor lifler auriculotemporal sinirle parotise ulaşır; Frey sendromu ve parotis innervasyonu için önemlidir.,Parotis sekresyonu glossopharyngeal → otic ganglion → auriculotemporal sinir hattıyla sorulur.,Fasiyal sinir mimik kaslarına motor lif taşır; parotis sekresyonunu ana olarak sağlamaz.,"[""Parotis bezi"", ""Otic ganglion"", ""Mandibular sinir""]",2,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-004-extra] keywords[3]: auriculotemporal sinir""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-004-extra] explanation: Parotisin parasempatik yolu inferior salivatory nucleus, nervus glossopharyngeus, tympanic plexus, lesser petrosal nerve ve otic ganglion üzerinden ilerler. Postganglionik lifler auriculotemporal sinirle parotis bezine taşınır.""}]"
v396-anatomy-otic-ganglion,Otic ganglion,"[""Otic ganglion"", ""ganglion oticum"", ""otik gangliyon""]",Anatomi / baş-boyun,Parasempatik ganglion,P1,Glossopharyngeal sinir kökenli preganglionik liflerin sinaps yaptığı parasempatik gangliondur.,Otic gangliondan çıkan postganglionik lifler auriculotemporal sinirle parotis bezine gider; parotis sekresyon sorularında ana düğümdür.,Parotis parasempatiği otic ganglion üzerinden taşınır.,Pterygopalatine ganglion lakrimal/nazal; submandibular ganglion submandibular-sublingual bezlerle ilişkilidir.,"[""Glossopharyngeal sinir"", ""Auriculotemporal sinir"", ""Parotis bezi""]",8,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-004-spot] keywords[3]: otic ganglion""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CARD tus-pearl-anatomy-004-spot] explanation: Fasiyal sinir stylomastoid foramenden çıktıktan sonra parotis bezinin içinde dallanır ve mimik kaslarına motor lif verir. Parotisin sekretomotor parasempatik lifleri ise fasiyal sinirden değil glossopharyngeal sinir-otic ganglion yolundan gelir.""}]"
v396-anatomy-retromandibular-ven,Retromandibular ven,"[""Retromandibular ven"", ""retromandibular vein"", ""vena retromandibularis""]",Anatomi / baş-boyun damar,Parotis içi damar,P2,Parotis bezi içinde oluşan ve yüzeyel temporal ile maksiller venlerin birleşimiyle ilişkili venöz yapıdır.,"Parotis içi yapı sıralaması ve cerrahi anatomi sorularında fasiyal sinir, retromandibular ven ve external karotis arter ilişkisi önemlidir.","Parotis içinden geçen başlıca yapılar fasiyal sinir dalları, retromandibular ven ve external karotis arterdir.",Fasiyal sinir motor; retromandibular ven venöz drenaj yapısıdır.,"[""Parotis bezi"", ""Fasiyal sinir"", ""External karotis arter""]",0,[]
v396-anatomy-krikotiroid-kas,Krikotiroid kas,"[""Krikotiroid kas"", ""cricothyroid muscle"", ""m. cricothyroideus""]",Anatomi / larenks,Ses teli gerici kası,P0,Vokal kordları gererek sesin incelmesine katkı veren intrinsik larenks kasıdır.,Krikotiroid kas external laringeal sinirle innerve edilir; rekürren laringeal sinirden farklı olarak bu kas istisna kabul edilir.,Rekürren laringeal sinir tüm intrinsik larenks kaslarını innerve eder; krikotiroid istisnadır.,Posterior krikoaritenoid vokal kord abdüksiyonunu sağlar ve rekürren laringeal sinirle innerve edilir.,"[""Eksternal laringeal sinir"", ""Superior laringeal sinir"", ""Rekürren laringeal sinir""]",47,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v187-new-242-tiroid-ameliyati-sonrasi-ses-kisikligi] diagnosis.optionComparison.Nervus laryngeus superior - ramus externus: Eksternal superior laringeal dal m. cricothyroideusu innerve eder; lezyonunda özellikle ses perdesini yükseltme ve yüksek ses çıkarma bozulur. Bu olguda esas bulgu vokal fold hareket kaybı olduğu için rekürren laringeal sinir daha uygundur.""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v187-new-242-tiroid-ameliyati-sonrasi-ses-kisikligi] diagnosis.answerFeedback.clinicalPearls[0].text: Nervus laryngeus recurrens, m. cricothyroideus dışında larenksin intrinsik kaslarını innerve eder; unilateral hasarı ses kısıklığı ve vokal fold hareket azalmasıyla ortaya çıkar.""}]"
v396-anatomy-eksternal-laringeal-sinir,Eksternal laringeal sinir,"[""Eksternal laringeal sinir"", ""external laryngeal nerve"", ""superior laringeal sinirin eksternal dalı""]",Anatomi / larenks,Motor dal,P1,Superior laringeal sinirin krikotiroid kası innerve eden motor dalıdır.,Lezyonunda sesin inceltilmesi ve yüksek frekanslı fonasyon bozulabilir; tiroid üst kutup cerrahisinde risk altındadır.,Tiroid üst pol cerrahisi + tiz ses kaybı external laringeal siniri düşündürür.,Rekürren laringeal sinir lezyonu daha çok ses kısıklığı/vokal kord paralizisiyle gider.,"[""Superior laringeal sinir"", ""Krikotiroid kas"", ""Tiroid cerrahisi""]",14,"[{""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v175-new-109-tiroid-ameliyati-sonrasi-ses-degisikligi] diagnosis.explanation: Tiroid cerrahisi sonrası gelişen nefesli ses ve tek taraflı vokal kord hareket azalması, intrinsik larenks kaslarının çoğunu innerve eden recurrent laringeal sinir hasarıyla uyumludur. Superior laringeal sinirin eksternal dalı daha çok krikotiroit kas ve yüksek perdeli ses kontrolünü etkiler; hipoglossal, aksesuar ve glossop…""}, {""sourceFilePath"": ""src/data/cases.js / src/data/tusPearlCards.js"", ""text"": ""[CASE v175-new-109-tiroid-ameliyati-sonrasi-ses-degisikligi] diagnosis.optionComparison.Nervus laryngeus superior - ramus externus: Superior laringeal sinirin eksternal dalı krikotiroit kasını innerve eder; özellikle yüksek perdeli ses çıkarma ve sesin inceltilmesi bozulur. Tek taraflı vokal kord abduksiyon-adduksiyon kısıtlılığı bu dal için tipik değildir.""}]"
