term,category,subcategory,priority,shortDefinition,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceExamples
Dilatasyon-küretaj,Kadın Hastalıkları ve Doğum,Erken gebelik / jinekolojik işlem,P1,Serviksin genişletilip uterin kavitenin küretajla boşaltıldığı işlemdir.,Stabil olmayan ektopik şüphesinde küretaj değil resüsitasyon ve cerrahi değerlendirme önceliklidir.,İntrauterin gebelik kaybında tedavi olabilir; ektopik gebeliği tedavi etmez.,Gebeliği bilinmeyen lokalizasyon | Spontan abortus | Ektopik gebelik,28,"Dilatasyon-küretaj ile intrauterin gebelik dokusu aranması || Küretaj, stabil gebeliği bilinmeyen lokalizasyon olgularında seçilmiş tanısal durumlarda gündeme gelebilir; akut batın ve hipovolemi bulgusu olan hastada ilk basamak değildir. Ayrıca kanama odağı intrauterin değilse zaman kaybettirir."
Missed abortus,Kadın Hastalıkları ve Doğum,Erken gebelik kaybı,P1,Embriyo/fetüs canlılığını kaybetmiş olmasına rağmen uterin atılımın henüz gerçekleşmediği düşük tipidir.,Kapalı serviks + canlılık yokluğu = missed abortus; açık serviks ve aktif atılım başka düşük tiplerini düşündürür.,"Septik abortusta ateş, uterin hassasiyet ve kötü kokulu akıntı eşlik eder; acil antibiyotik ve boşaltım gerekir.",Spontan abortus | Dilatasyon-küretaj | Transvajinal ultrasonografi,11,"Missed abortus || Bu olguda erken gebelik kanamasına şiddetli bulantı-kusma, haftasına göre büyük uterus, çok yüksek beta-hCG, düşük TSH/hafif yüksek serbest T4 ve transvajinal ultrasonografide canlı embriyo seçilmeyen diffüz kistik intrauterin doku paterni eşlik etmektedir. Bu bulgular ektopik gebelik, missed abortus veya çoğul gebelikten çok hidatidiform molü destekler."
Spontan abortus,Kadın Hastalıkları ve Doğum,Erken gebelik kaybı,P1,Gebeliğin viabilite sınırından önce kendiliğinden sonlanmasıdır.,İlk trimester kanama + pozitif β-hCG: abortus olasılığı var ama ektopik gebelik mutlaka dışlanır.,Komplet abortusta uterin kavite boşalır; missed abortusta embriyonik ölüm vardır ama atılım olmamıştır.,Ektopik gebelik | Transvajinal ultrasonografi | Seri beta-hCG,221,Düşük || Düşük
İntrauterin kese,Kadın Hastalıkları ve Doğum,Erken gebelik ultrasonografisi,P1,Transvajinal ultrasonografide rahim içinde gebelik kesesinin görülmesidir.,β-hCG pozitif + intrauterin kese yok + ağrı/kanama = ektopik gebelik dışlanmadan rahatlama yok.,Psödokese gerçek intrauterin gebelik kesesi değildir; yolk sac veya embriyo görülmesi özgüllüğü artırır.,Transvajinal ultrasonografi | Ektopik gebelik | Diskriminatuvar zon,33,"Erken gebelik olasılığı olan hastada ani şiddetlenen tek taraflı pelvik ağrı, presenkop, hipotansiyon, taşikardi, peritoneal irritasyon ve transvajinal ultrasonografide intrauterin kese olmamasıyla birlikte serbest sıvı bulunması kanayan ektopik gebelik paternini oluşturur. Bu klinik tabloda tanısal izlem veya medikal tedavi yerine maternal resüsitasyonla eş zamanlı acil cerrahi değerlendirme gerekir; amaç kanama kontrolünü geciktirmemektir. || Erken gebelik olasılığı olan hastada ani şiddetlenen tek taraflı pelvik ağrı, presenkop, hipotansiyon, taşikardi, peritoneal irritasyon ve transvajinal ultrasonografide intrauterin kese olmamasıyla birlikte serbest sıvı bulunması kanayan ektopik gebelik paternini oluşturur. Bu klinik tabloda tanısal izlem veya medikal tedavi yerine maternal resüsitasyonla eş zamanlı acil cerrahi değerlendirme gerekir; amaç kanama kontrolünü geciktirmemektir."
Non-stres test,Kadın Hastalıkları ve Doğum,Fetal iyilik hali,P1,Fetal kalp hızının fetal hareketlerle reaktif hızlanma gösterip göstermediğini değerlendiren testtir.,"Reaktif NST güven verici; nonreaktif NST tek başına acil doğum demek değildir, bağlamla değerlendirilir.",Geç deselerasyon uteroplasental yetmezliği düşündürür; NST reaktivitesi farklı bir parametredir.,Fetal kalp hızı trasesi | Biyofizik profil | Geç deselerasyon,101,"Ektopik gebelik şüphesinde stabil hasta izlemi ile rüptür/instabilite varlığında acil cerrahi-resüsitasyon önceliğini ayırt edebilme. || Ektopik gebelikte yönetimi tanı etiketinden çok stabilite belirler: instabilite, peritoneal bulgu veya belirgin serbest sıvı varsa seri beta-hCG/metotreksat değil resüsitasyon ve cerrahi önceliklidir."
Hidralazin,Kadın Hastalıkları ve Doğum,Gebelikte antihipertansif,P1,Gebelikte ağır hipertansiyonun akut kontrolünde kullanılabilen arteriyel vazodilatördür.,Ağır preeklampside hipertansiyon kontrolü hidralazin/labetalol/nifedipin; nöbet profilaksisi MgSO4.,Magnezyum sülfat antihipertansif değil nöbet profilaksisidir.,Ağır özellikli preeklampsi | Labetalol | Magnezyum sülfat,9,Ağır preeklampside nörolojik semptom varsa nöbet profilaksisi magnezyum sülfattır; labetalol/hidralazin kan basıncını düşürür ama nöbet profilaksisinin yerine geçmez. || Ağır preeklampside nörolojik semptom varsa nöbet profilaksisi magnezyum sülfattır; labetalol/hidralazin kan basıncını düşürür ama nöbet profilaksisinin yerine geçmez.
Labetalol,Kadın Hastalıkları ve Doğum,Gebelikte antihipertansif,P1,Gebelikte ağır hipertansiyon tedavisinde kullanılabilen alfa/beta bloker ilaçtır.,"Gebelikte akut ağır hipertansiyon: labetalol, hidralazin veya oral nifedipin sık seçeneklerdir.",Magnezyum sülfat nöbeti önler ama kan basıncını primer kontrol etmez.,Ağır özellikli preeklampsi | Hidralazin | Nifedipin,33,İntravenöz labetalol ile nöbet profilaksisi || Ağır preeklampside nörolojik semptom varsa nöbet profilaksisi magnezyum sülfattır; labetalol/hidralazin kan basıncını düşürür ama nöbet profilaksisinin yerine geçmez.
Nifedipin,Kadın Hastalıkları ve Doğum,Gebelikte antihipertansif/tokoliz,P1,Kalsiyum kanal blokeri olup gebelikte hipertansiyon kontrolünde ve bazı tokoliz durumlarında kullanılabilir.,Nifedipin hem gebelik hipertansiyonunda hem tokolizde karşına çıkabilir; bağlamı ayır.,Magnezyum sülfat tokolitik gibi değil nöroproteksiyon/nöbet profilaksisi bağlamında daha kritik sınav bilgisidir.,Tokoliz | Preeklampsi | Kalsiyum kanal blokeri,4,"Doğru cevap A’dır. Ağır özellikli preeklampside nöbet gelişme riski artar ve eklampsi maternal-fetal morbidite açısından kritik bir tablodur. Magnezyum sülfat nöromüsküler ve santral sinir sistemi üzerinden antikonvülzan etki sağlar; temel amaç eklamptik nöbeti önlemek veya tedavi etmektir. Kan basıncını kontrol etmek için labetalol, hidralazin veya nifedipin gibi antihipertansifler ayrıca düşünülür. Fetal akciğer maturasyonu antenatal kortikosteroidlerle, rh profilaksisi anti-D immünoglobulinle, postpartum atoni u || Doğru cevap A’dır. Ağır özellikli preeklampside nöbet gelişme riski artar ve eklampsi maternal-fetal morbidite açısından kritik bir tablodur. Magnezyum sülfat nöromüsküler ve santral sinir sistemi üzerinden antikonvülzan etki sağlar; temel amaç eklamptik nöbeti önlemek veya tedavi etmektir. Kan basıncını kontrol etmek için labetalol, hidralazin veya nifedipin gibi antihipertansifler ayrıca düşünülür. Fetal akciğer maturasyonu antenatal kortikosteroidlerle, rh profilaksisi anti-D immünoglobulinle, postpartum atoni u"
Parsiyel mol,Kadın Hastalıkları ve Doğum,Gestasyonel trofoblastik hastalık,P1,"Genellikle triploid konseptusla ilişkili, fetal doku bulunabilen molar gebelik tipidir.",Fetal doku varlığı parsiyel mol lehinedir; komplet molde fetal doku beklenmez.,Komplet mol daha yüksek β-hCG ve daha yüksek neoplazi riskiyle ayrılır.,Hidatidiform mol | Gestasyonel trofoblastik neoplazi | β-hCG,38,"Komplet molü parsiyel mol, ektopik gebelik, izole hiperemezis ve leiomyom dejenerasyonundan ayıran klinik-USG-laboratuvar zincirini kurma. || Bu olguda 10 haftalık gebelikte aralıklı vajinal kanama, beklenenden büyük uterus, belirgin bulantı-kusma, ketonüri, baskılanmış TSH ve çok yüksek beta-hCG trofoblastik proliferasyonu düşündürür. Transvajinal ultrasonografide embriyo seçilmeden uterin kaviteyi dolduran diffüz kistik heterojen doku görülmesi komplet hidatidiform molü en olası tanı yapar. Parsiyel mol, ektopik gebelik ve izole hiperemezis bu bulguların tamamını aynı güçte açıklamaz."
Hirsutizm,Kadın Hastalıkları ve Doğum,Hiperandrojenizm,P1,Kadında androjen duyarlı bölgelerde terminal kıllanmanın artmasıdır.,Hirsutizm + oligomenore = PKOS; hızlı virilizasyon = tümör alarmı.,Hipertrikoz androjen bağımsız yaygın kıllanmadır; hirsutizm androjen paternindedir.,Polikistik over sendromu | Hiperandrojenizm | Virilizasyon,6,"Doğru cevap A’dır. PCOS patofizyolojisinde insülin direnci merkezi önemdedir. Hiperinsülinemi over teka hücrelerinde androjen üretimini artırır ve aynı zamanda hepatik SHBG sentezini azaltarak serbest testosteron düzeyini yükseltir. Bu süreç hirsutizm, akne, ovulatuvar disfonksiyon ve polikistik over morfolojisiyle ilişkili klinik tabloya katkıda bulunur. FSH’nin belirgin artması beklenen temel mekanizma değildir; aksine relatif FSH yetersizliği folikül gelişimini aksatabilir. Prolaktin, kortizol veya tiroid eksenl || Doğru cevap A’dır. PCOS patofizyolojisinde insülin direnci merkezi önemdedir. Hiperinsülinemi over teka hücrelerinde androjen üretimini artırır ve aynı zamanda hepatik SHBG sentezini azaltarak serbest testosteron düzeyini yükseltir. Bu süreç hirsutizm, akne, ovulatuvar disfonksiyon ve polikistik over morfolojisiyle ilişkili klinik tabloya katkıda bulunur. FSH’nin belirgin artması beklenen temel mekanizma değildir; aksine relatif FSH yetersizliği folikül gelişimini aksatabilir. Prolaktin, kortizol veya tiroid eksenl"
Servisit,Kadın Hastalıkları ve Doğum,Jinekolojik enfeksiyon,P1,Serviks mukozasının sıklıkla Chlamydia trachomatis veya Neisseria gonorrhoeae ile gelişen inflamasyonudur.,Mukopürülan servikal akıntı + temasla kanama = servisit; klamidya/gonore kapsanır.,Vajinit daha çok vajinal pH/akıntı/kaşıntı paternidir; servisit servikal inflamasyonla öne çıkar.,Pelvik inflamatuvar hastalık | Chlamydia trachomatis | Neisseria gonorrhoeae,6,Servisit bulgusu || Servisit bulgusu
Dismenore,Kadın Hastalıkları ve Doğum,Jinekolojik semptom,P1,Menstruasyonla ilişkili ağrılı kramp tarzı pelvik ağrıdır.,Genç yaşta başlayan primer dismenore NSAİİ’ye yanıt verir; progresif ağrı/endometriozis ipuçlarına dikkat.,"Endometriozis sekonder dismenore, disparoni ve infertilite ile öne çıkar.",Endometriozis | Adenomyozis | NSAİİ,31,"Endometrioziste ağrı döngüselliği, infertilite, pelvik muayene ve transvajinal USG bulgularını primer dismenore, PID, adenomyozis ve fonksiyonel kistlerden ayırabilme. || Primer dismenore"
Disparoni,Kadın Hastalıkları ve Doğum,Jinekolojik semptom,P1,Cinsel ilişki sırasında ağrı olmasıdır.,Derin disparoni + dismenore/infertilite = endometriozis düşün.,Vajinismus penetrasyon girişinde kasılma/korku ile; derin disparoni pelvik patolojiyle ayrılır.,Endometriozis | Atrofik vajinit | Vajinismus,60,"Kronik siklik pelvik ağrı, derin disparoni, infertilite ve endometrioma görünümünü jinekolojik ayırıcı tanı içinde yorumlama. || 32 yaşında G0 hasta, son 2 yıldır giderek artan ve adetinden 1-2 gün önce başlayıp ilk günlerde şiddetlenen pelvik ağrı tarifler. Ağrıya derin disparoni eşlik etmekte, bazı sikluslarda dışkılama sırasında pelvik baskı hissi artmaktadır. Yaklaşık 14 aydır düzenli korunmasız ilişkiye rağmen gebelik oluşmamıştır. Adetleri düzenlidir; ara kanama, postkoital kanama, kötü kokulu akıntı veya ateş tariflemez. Daha önce pelvik inflamatuvar hastalık tanısı almamış, acil başlayan tek taraflı şiddetli ağrı atağı geçirmemiştir."
Atrofik vajinit,Kadın Hastalıkları ve Doğum,Menopoz / hipoöstrojenizm,P1,"Östrojen azalmasına bağlı vajinal epitel incelmesi, kuruluk ve irritasyonla seyreden tablodur.",Postmenopozal kuruluk/disparoni + ince frajil vajen = atrofik vajinit.,Postmenopozal kanama sadece atrofi denip geçilmez; endometrium değerlendirilir.,Postmenopozal kanama | Hipoöstrojenizm | Disparoni,2,Atrofik vajinit sık nedendir ancak malignite dışlanmadan güvenli kabul edilmez. || Atrofik vajinit sık nedendir ancak malignite dışlanmadan güvenli kabul edilmez.
Disgerminom,Kadın Hastalıkları ve Doğum,Over germ hücreli tümörü,P1,Genç kadınlarda görülebilen malign over germ hücreli tümörüdür.,Genç hasta + solid over germ hücre tümörü + LDH = disgerminom akla gelir.,Yolk sac tümöründe AFP yüksekliği daha belirgindir.,Yolk sac tümörü | Adneksiyal kitle | LDH,43,"Seröz borderline tümör ve disgerminom || Endometrioid ve berrak hücreli karsinom endometriozis ilişkili over kanseri alt tipleridir. Disgerminom, yolk sac tümörü ve koryokarsinom germ hücreli; granüloza hücreli tümör ve fibrom seks kord-stromal tümörlerdir. Over endometriozisi özellikle endometrioid ve berrak hücreli over karsinomu gelişimiyle ilişkilidir; bu ilişki seröz germ hücreli veya seks kord-stromal tümörler için klasik değildir. Doğru cevaptır; endometriozisle en klasik ilişkilendirilen epitelyal over kanseri alt tipleridir. TUS açısından ayırıcı"
Yolk sac tümörü,Kadın Hastalıkları ve Doğum,Over germ hücreli tümörü,P1,AFP yüksekliğiyle ilişkili malign over germ hücreli tümörüdür.,Genç hasta + over kitlesi + AFP yüksekliği = yolk sac tümörü.,Disgerminomda LDH; granüloza tümörde östrojen; Sertoli-Leydig’de androjen ipucu verir.,AFP | Disgerminom | Adneksiyal kitle,39,Alfa-fetoprotein yolk sac tümörü ve hepatoselüler karsinom gibi durumlarla ilişkilidir. || Alfa-fetoprotein yolk sac tümörü ve hepatoselüler karsinom gibi durumlarla ilişkilidir.
Anovulasyon,Kadın Hastalıkları ve Doğum,Ovulasyon bozukluğu,P1,Ovulasyonun gerçekleşmemesi veya düzenli olmamasıdır.,Düzensiz adet + infertilite + hiperandrojenizm = anovulatuvar PKOS paterni.,"Düzenli sikluslu infertilitede tubal, erkek faktörü veya luteal sorunlar da düşünülür.",Polikistik over sendromu | Endometrial hiperplazi | Oligomenore,18,"Oligo-anovulasyon ve klinik/biyokimyasal hiperandrojenizm olan hastada infertilite ve metabolik risk açısından hangi sendrom düşünülür? || PCOS kronik anovulasyon, hiperandrojenizm ve sıklıkla insülin direnciyle seyreder. Hastada düzensiz kanama, hirsutizm/akne, infertilite ve uzun dönemde endometrial hiperplazi riski birlikte değerlendirilmelidir."
Bakri balon,Kadın Hastalıkları ve Doğum,Postpartum kanama,P1,Uterin kaviteye yerleştirilen balon tamponad sistemiyle postpartum kanamayı kontrol etmeye yarayan araçtır.,Postpartum atoni kanaması + uterotonik yetersiz = Bakri balon tamponadı düşün.,Retained plasenta veya uterin rüptürde tamponad tek başına yeterli değildir; neden düzeltilmelidir.,Uterin atoni | Postpartum kanama | B-Lynch sütürü,2,Uterin balon tamponadı yerleştirilmesi || Uterin balon tamponadını ilk basamak olarak yerleştirmek
Amniyosentez,Kadın Hastalıkları ve Doğum,Prenatal tanı,P1,Amniyon sıvısından fetal hücre/DNA örneği alınan invaziv prenatal tanı işlemidir.,Tarama yüksek riskli ise tanısal doğrulama için amniyosentez/CVS düşünülür.,NIPT tarama; amniyosentez tanısal testtir.,NIPT | Koryon villus örneklemesi | Prenatal tanı,3,Uygun endikasyondur. Amniyosentez veya koryon villus örneklemesi gibi invaziv prenatal işlemler fetomaternal kanama riski taşır. || Uygun endikasyondur. Amniyosentez veya koryon villus örneklemesi gibi invaziv prenatal işlemler fetomaternal kanama riski taşır.
Koryon villus örneklemesi,Kadın Hastalıkları ve Doğum,Prenatal tanı,P1,Plasental koryon villus dokusundan fetal genetik analiz için örnek alınmasıdır.,Erken invaziv genetik tanı = CVS; amniyosentez daha geç ama amniyon sıvısı bilgisi verir.,CVS plasental doku örnekler; amniyosentez amniyon sıvısı örnekler.,NIPT | Amniyosentez | Prenatal tanı,3,Uygun endikasyondur. Amniyosentez veya koryon villus örneklemesi gibi invaziv prenatal işlemler fetomaternal kanama riski taşır. || Uygun endikasyondur. Amniyosentez veya koryon villus örneklemesi gibi invaziv prenatal işlemler fetomaternal kanama riski taşır.
Nuchal translucency,Kadın Hastalıkları ve Doğum,Prenatal tarama,P1,İlk trimesterde fetal ense saydamlığının ultrasonografik ölçümüdür.,Artmış NT + anormal serum markerları = anöploidi risk artışı.,NIPT tarama duyarlılığı yüksek DNA testidir; NT ultrasonografik risk belirtecidir.,PAPP-A | Serbest beta-hCG | NIPT,2100,"Son adet tarihine göre yaklaşık 7 haftalık gebelik olasılığı olan hasta, iki gündür hafif koyu lekelenmesi varken bugün sağ alt kadran ağrısının aniden arttığını ve ayağa kalkınca bayılacak gibi olduğunu anlatmaktadır. Daha önce pelvik inflamatuvar hastalık nedeniyle tedavi görmüş, bilinen intrauterin gebelik görüntülemesi henüz yapılmamıştır. Ateş, kötü kokulu akıntı veya idrar yakınması tariflememektedir. || Son adet tarihine göre yaklaşık 7 haftalık gebelik olasılığı olduğunu söyleyen hasta iki gündür hafif koyu lekelenme fark etmiştir. Bugün sağ alt kadran ağrısı kısa sürede şiddetlenmiş, ayağa kalkınca göz kararması ve bayılacak gibi olma hissi gelişmiştir. Daha önce pelvik inflamatuvar hastalık nedeniyle tedavi görmüş olması tubal patoloji riskini artırmaktadır. Bilinen intrauterin gebelik görüntülemesi henüz yoktur; ateş, kötü kokulu akıntı ve belirgin dizüri tariflememektedir."
Servikal uzunluk,Kadın Hastalıkları ve Doğum,Preterm doğum öngörüsü,P1,Transvajinal USG ile ölçülen serviks uzunluğudur ve kısa serviks preterm doğum riskini artırır.,Kısa serviks + preterm doğum öyküsü = serklaj/progesteron değerlendirmesi.,Fetal fibronectin biyokimyasal testtir; servikal uzunluk anatomik risk ölçümüdür.,Preterm eylem | Serklaj | Fetal fibronectin,16,"Servikal yetmezlikte öyküye dayalı risk, transvajinal servikal uzunluk, enfeksiyon/eylem dışlama ve serklaj endikasyonunu ayırt edebilme. || Transvajinal servikal uzunluk ölçümü"
Mayer-Rokitansky-Küster-Hauser sendromu,Kadın Hastalıkları ve Doğum,Primer amenore,P1,"46,XX bireyde Müllerian yapıların gelişmemesine bağlı uterus ve üst vajen yokluğu ile seyreden sendromdur.",Primer amenore + normal meme gelişimi + uterus yok = MRKH düşün.,"Androjen duyarsızlığında karyotip 46,XY ve testis vardır; MRKH 46,XX ve overler normaldir.",Primer amenore | Müllerian agenezi | Uterus yokluğu,33,Müllerian ageneziyi gonadal disgenezi ve androjen duyarsızlığından ayırt edebilme || Müllerian ageneziyi gonadal disgenezi ve androjen duyarsızlığından ayırt edebilme
Kolposkopi,Kadın Hastalıkları ve Doğum,Serviks tanısı,P1,Serviksin büyütme altında asetik asit/Lugol gibi yöntemlerle değerlendirilmesidir.,Anormal smear/HPV sonrası kolposkopi + hedefli biyopsi tanısal adımdır.,Pap smear tarama testidir; kolposkopi lezyonu görüp biyopsiye yönlendirir.,Pap smear | Servikal intraepitelyal neoplazi | LEEP,16,kolposkopi || Serviks kanserlerinin büyük kısmı persistan yüksek riskli HPV enfeksiyonu ile ilişkilidir. HPV testi sitolojiyle birlikte veya uygun yaş/algoritmada primer test olarak risk sınıflamasını güçlendirir; pozitiflik kolposkopi veya yakın izlem kararını etkiler.
Pap smear,Kadın Hastalıkları ve Doğum,Serviks taraması,P1,Serviksten alınan hücre örneğinin sitolojik olarak incelendiği tarama testidir.,Pap smear serviks kanseri taramasıdır; tanı şüphede kolposkopi-biyopsiyle netleşir.,"Endometrial biyopsi uterin kaviteyi, Pap smear serviks epitelini değerlendirir.",Servikal intraepitelyal neoplazi | HPV 16/18 | Kolposkopi,2,Pap smear || Pap smear
Asherman sendromu,Kadın Hastalıkları ve Doğum,Uterin faktör / amenore,P1,Uterin kavitede intrauterin adezyonlara bağlı hipomenore/amenore ve infertilite tablosudur.,Küretaj öyküsü + sekonder amenore + çekilme kanaması yok = Asherman düşün.,Hipotalamik amenorede endometrium sağlamdır ama hormonal uyarı azdır; Asherman’da kavite adezyonu vardır.,Sekonder amenore | Dilatasyon-küretaj | İntrauterin adezyon,22,Asherman sendromunda FSH normal olabilir ve öyküde küretaj/uterin adezyon bulunur; over yetmezliğinde FSH yüksektir. || Asherman sendromu
Vulvovajinal kandidiyazis,Kadın Hastalıkları ve Doğum,Vajinal enfeksiyon,P1,"Candida türlerine bağlı kaşıntı, eritem ve peynirimsi akıntı ile seyreden vulvovajinal enfeksiyondur.",Peynirimsi akıntı + kaşıntı + normal pH = kandidiyazis.,BV ve Trichomonas pH yükseltir; kandidiyaziste inflamasyon/kaşıntı belirgindir.,Candida | Vajinal pH | Azol antifungal,11,Flukonazol kandidal vajinit gibi mantar enfeksiyonlarını hedefler; postpartum uterin hassasiyet ve kötü kokulu loşiyle seyreden polimikrobiyal endometriti kapsamaz. || Flukonazol kandidal vajinit gibi mantar enfeksiyonlarını hedefler; postpartum uterin hassasiyet ve kötü kokulu loşiyle seyreden polimikrobiyal endometriti kapsamaz.
Bartholin apsesi,Kadın Hastalıkları ve Doğum,Vulvar enfeksiyon,P1,Bartholin bez kanalının tıkanması ve enfekte olmasıyla vestibülde ağrılı şişlik oluşmasıdır.,Ağrılı posterior vestibüler şişlik = Bartholin apsesi.,Bartholin kisti ağrısız olabilir; apse inflamasyon ve ağrıyla ayrılır.,Vulvar kitle | Word kateter | Marsupializasyon,2,"Bartholin apsesi vulvar ağrılı kitle ve lokal hassasiyet yapar. Yoğun adet kanaması, pelvik bası ve uterin kitle paterniyle uyumlu değildir. || Bartholin apsesi vulvar ağrılı kitle ve lokal hassasiyet yapar. Yoğun adet kanaması, pelvik bası ve uterin kitle paterniyle uyumlu değildir."
Hiperprolaktinemi,Kadın Hastalıkları ve Doğum,Üreme endokrinolojisi,P1,"Prolaktin yüksekliğine bağlı ovulasyon baskılanması, amenore ve galaktore yapabilen durumdur.",Amenore + galaktore = prolaktin bak; hipotiroidi ve ilaçları unutma.,PKOS hirsutizm ve oligoovulasyon yapar; galaktore hiperprolaktinemi lehinedir.,Galaktore | Sekonder amenore | GnRH,5,Yanlıştır. Prolaktin azalması PCOS’un tipik mekanizması değildir. Hiperprolaktinemi adet düzensizliği yapabilir ancak PCOS’tan ayrı bir ayırıcı tanıdır. || Yanlıştır. Prolaktin azalması PCOS’un tipik mekanizması değildir. Hiperprolaktinemi adet düzensizliği yapabilir ancak PCOS’tan ayrı bir ayırıcı tanıdır.
Pelvik organ prolapsusu,Kadın Hastalıkları ve Doğum,Ürojinekoloji,P1,"Uterus, mesane, rektum veya vajinal apeksin pelvik destek kaybıyla aşağı doğru yer değiştirmesidir.",Vajenden kitle gelmesi/bası hissi = pelvik organ prolapsusu düşün.,"Sistosel mesane, rektosel rektum kaynaklı ön/arka vajinal duvar prolapsusudur.",Sistosel | Rektosel | Rahim sarkması,11,"Müllerian agenezi/MRKH sendromunda karyotip 46,XX’tir, overler işlevseldir ve sekonder seks karakterleri genellikle normal gelişir; uterus ve üst vajina konjenital olarak yoktur veya hipoplaziktir. || Müllerian agenezi/MRKH sendromunda karyotip 46,XX’tir, overler işlevseldir ve sekonder seks karakterleri genellikle normal gelişir; uterus ve üst vajina konjenital olarak yoktur veya hipoplaziktir."
