id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples,answerLeakRisk,ambiguityRisk
v404-pediatrics-kasai-portoenterostomi,Kasai portoenterostomi,Kasai portoenterostomi,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Cerrahi tedavi,P1,Biliyer atrezide safra drenajını sağlamak için yapılan portoenterostomi ameliyatıdır.,Erken dönemde uygulanması karaciğer hasarını azaltabilir ve transplantasyon ihtiyacını geciktirebilir. Pediatri sorusunda biliyer atrezi tanısının gecikmemesinin nedeni bu zaman duyarlı cerrahidir.,Biliyer atrezide tanı gecikirse Kasai başarısı azalır.,Fototerapi indirekt sarılığın tedavisidir; biliyer atrezi cerrahi kolestaz sorunudur.,Biliyer atrezi; Akolik dışkı; Direkt hiperbilirubinemi,3,Biliyer atrezide ekstrahepatik safra yollarının tıkanıklığı konjuge bilirubin artışı ve safra pigmentinin bağırsağa ulaşamamasıyla akolik dışkı yapar. Erken tanı önemlidir çünkü Kasai portoenterostomisi geciktikçe başarı azalır. Bu nedenle uzamış sarılıkta direkt bilirubin ölçümü zorunlu klinik basamaktır. || Kasai portoenterostomisinin başarısı erken dönemde daha yüksektir; gecikme ilerleyici fibrozis ve sirozu artırır.,low,low
v404-pediatrics-erken-baslangicli-yenidogan-sepsisi,Erken başlangıçlı yenidoğan sepsisi,Erken başlangıçlı yenidoğan sepsisi; erken neonatal sepsis,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Enfeksiyon,P1,İlk 72 saatte ortaya çıkan ve çoğunlukla maternal-genital yol kaynaklı yenidoğan sepsisidir.,"Grup B streptokok ve E. coli klasik etkenlerdir. Prematürite, uzamış membran rüptürü, maternal ateş ve koryoamniyonit risk artırır; klinik silik olabileceği için karar vital bulgu ve beslenme/perfüzyon üzerinden verilir.",İlk 72 saat sepsisinde maternal riskler ve GBS/E. coli düşünülür.,Geç başlangıçlı sepsis daha çok hastane/kateter veya çevresel temaslarla ilişkilidir.,Grup B streptokok; Koryoamniyonit; Ampirik antibiyotik,7,"Erken neonatal sepsise bağlı primer inflamatuvar alveolit || Erken neonatal sepsis solunum sıkıntısı yapabilir; ancak belirgin maternal enfeksiyon öyküsü, yüksek CRP veya sola kayma yoktur. Baskın tablo prematürite ve surfaktan eksikliğiyle açıklanır.",low,low
v404-pediatrics-akolik-diski,Akolik dışkı,Akolik dışkı,Çocuk Sağlığı ve Hastalıkları,Neonatoloji / Kolestaz bulgusu,P1,Safranın barsağa ulaşamaması nedeniyle dışkının açık/kil renginde olmasıdır.,Yenidoğanda akolik dışkı biliyer atrezi gibi kolestatik hastalıklar için güçlü alarmdır. Bu bulgu indirekt sarılıktan farklı olarak hepatobiliyer akımın bozulduğunu düşündürür.,Akolik dışkı yenidoğan sarılığında biliyer atrezi alarmıdır.,Normal sarı dışkı anne sütü sarılığıyla uyumlu olabilir; akolik dışkı obstrüktif/kolestatik süreci düşündürür.,Biliyer atrezi; Direkt hiperbilirubinemi; Kasai portoenterostomi,38,"Uzamış yenidoğan sarılığında akolik dışkı, koyu idrar ve direkt hiperbilirubinemi ile biliyer atreziyi tanıma. || Bu seçenek en uygundur; çünkü uzamış sarılık ile birlikte açık/akolik dışkı, koyu idrar, hepatomegali, direkt bilirubin yüksekliği ve yüksek GGT ekstrahepatik safra akımının bozulduğunu gösterir. Bu yaşta zamanında tanınması cerrahi değerlendirme açısından kritiktir.",low,low
v404-pediatrics-yenidogan-taramasi,Yenidoğan taraması,Yenidoğan taraması; neonatal tarama,Çocuk Sağlığı ve Hastalıkları,Pediatri / Koruyucu hekimlik,P1,Doğum sonrası belirli hastalıkları semptom gelişmeden yakalamayı amaçlayan tarama programıdır.,"Konjenital hipotiroidi ve fenilketonüri gibi tedavi edilebilir hastalıklar erken saptanırsa ağır nörogelişimsel sonuçlar önlenebilir. Tarama pozitifliği tanı değil, doğrulayıcı test gerektiren alarmdır.",Tarama testi pozitifse doğrulama yapılır; amaç geri dönüşsüz hasar olmadan tedavidir.,Tanısal test hastalığı kesinleştirir; tarama riskli bebekleri ayıklar.,Topuk kanı; Konjenital hipotiroidi; Fenilketonüri,65,Yenidoğan taramasında tiroid bozukluğu || Yenidoğan taramasında tiroid bozukluğu saptanan bebekte klinik bulguların TSH ve serbest T4 paterniyle birlikte yorumlanması.,low,low
v404-pediatrics-solunum-isi-artisi,Solunum işi artışı,Solunum işi artışı,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Fizik muayene,P1,Çocuğun nefes almak için normalden fazla kas gücü kullanmasıdır.,"Taşipne, burun kanadı solunumu, retraksiyon, inleme ve yardımcı kas kullanımıyla anlaşılır. Pediatride vital bulgular kadar gözleme dayalı bu bulgular da solunum yetmezliği riskini belirler.",Retraksiyon ve burun kanadı solunumu çocukta solunum işinin arttığını gösterir.,Sadece hızlı solunum anksiyeteyle olabilir; retraksiyon/hipoksemi eklenirse organik solunum sıkıntısı güçlenir.,Retraksiyon; Burun kanadı solunumu; Hipoksemi,16,"Krupta istirahatte stridor, solunum işi artışı ve oksijen satürasyonunu birlikte değerlendirerek görüntüleme beklemeden acil tedavi basamağını seçme. || 1.37 - solunum işi artışıyla birlikte izlenmeli",low,low
v404-pediatrics-yardimci-kas-kullanimi,Yardımcı kas kullanımı,Yardımcı kas kullanımı,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Fizik muayene,P1,"Solunumda boyun, interkostal veya abdominal kasların belirgin kullanılmasıdır.","Çocuklarda solunum rezervi sınırlı olduğu için yardımcı kas kullanımı solunum işinin arttığını ve yorulma riskini gösterir. Astım, bronşiolit, pnömoni ve üst hava yolu obstrüksiyonunda değerlendirilir.",Yardımcı kas kullanımı pediatrik solunum sıkıntısının klinik şiddet göstergesidir.,Sadece öksürük hafif olabilir; yardımcı kas kullanımı gerçek solunum yükünü gösterir.,Solunum işi artışı; Retraksiyon; Hipoksemi,12,"Ağır pediatrik astım atağında hipoksemi, konuşma güçlüğü, yardımcı kas kullanımı ve obstrüksiyon bulgularını birlikte değerlendirerek başlangıç acil tedavi kombinasyonunu seçme. || Hipoksemi, konuşma güçlüğü, yardımcı kas kullanımı ve yaygın hışıltı vardır.",low,low
v404-pediatrics-iv-dekstroz-bolusu,IV dekstroz bolusu,IV dekstroz bolusu,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Hipoglisemi tedavisi,P1,Semptomatik hipoglisemide intravenöz glukozun hızlı verilmesidir.,Amaç nöroglikopeniyi hızla düzeltmek ve nöbet/bilinç bozukluğunu sonlandırmaktır. Bilinci açık çocukta oral karbonhidrat düşünülebilir; bilinç bozukluğu varsa aspirasyon riski nedeniyle IV yol tercih edilir.,Semptomatik hipoglisemide ilk düzeltme hızlı glukoz replasmanıdır.,Antiepileptik nöbeti baskılayabilir ama altta yatan hipoglisemiyi düzeltmez.,Semptomatik hipoglisemi; Nöroglikopeni; Hipoglisemi,2,Damar yolu mevcutsa IV dekstroz bolusu uygulanır. || Damar yolu mevcutsa IV dekstroz bolusu uygulanır.,low,low
v404-pediatrics-deksametazon,Deksametazon,Deksametazon,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Krup tedavisi,P1,Krupta hava yolu inflamasyonunu azaltmak için kullanılan sistemik kortikosteroiddir.,Tek doz bile subglottik ödemi ve tekrar başvuru riskini azaltabilir. Krup şiddetinden bağımsız olarak sık kullanılan temel tedavidir.,Krupta steroid temel tedavidir; ağır/istirahat stridorunda nebülize adrenalin eklenir.,Antibiyotik viral krup tedavisinin rutini değildir; epiglottitte antibiyotik-hava yolu güvenliği gerekir.,Krup; Nebülize adrenalin; Subglottik ödem,42,"Nebülize adrenalin ve deksametazon verip serviste yanıt beklemek || Nebülize adrenalin ve deksametazon krup yönetiminde kullanılabilir; ancak bu olguda havlar tarzda öksürükten çok salya akışı, yutamama, tripod eğilimi ve toksik görünüm ön plandadır. Serviste yanıt beklemek üst hava yolu kapanması riskini artırır.",low,low
v404-pediatrics-kapiller-dolum-suresi,Kapiller dolum süresi,Kapiller dolum süresi,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Perfüzyon bulgusu,P1,Cilde bası sonrası rengin geri dönme süresidir ve periferik perfüzyonu değerlendirir.,"Uzaması şok, dehidratasyon veya soğuk çevreyle ilişkili olabilir. Pediatride kan basıncı geç bozulduğu için kapiller dolum erken dolaşım ipucu sağlar.",Kapiller dolum uzaması çocukta hipoperfüzyon uyarısıdır.,"Tek başına tanı koydurmaz; nabız, bilinç, idrar ve ekstremite ısısıyla birlikte yorumlanır.",Pediatrik septik şok; Dehidratasyon; Şok indeksi,7,"Ekstremiteler soğuk, periferik nabızlar zayıf ve kapiller dolum süresi 5 saniyedir. || Bebekte dil ve dudaklarda belirgin santral siyanoz vardır; periferik soğukluk ve kapiller dolum süresi yaklaşık 4 saniyedir.",low,low
v404-pediatrics-nebulize-adrenalin,Nebülize adrenalin,Nebülize adrenalin,Çocuk Sağlığı ve Hastalıkları,Pediatrik acil / Üst hava yolu tedavisi,P1,Krupta üst hava yolu ödemini geçici olarak azaltan inhalasyon tedavisidir.,Alfa adrenerjik vazokonstriksiyon subglottik mukozal ödemi azaltır. Etkisi hızlı ama geçici olduğu için ağır olguda gözlem ve steroid tedavisiyle birlikte düşünülür.,Krupta istirahat stridoru varsa deksametazona nebülize adrenalin eklenir.,Beta agonistler alt hava yolu bronkospazmında; nebülize adrenalin krup üst hava yolu ödeminde öne çıkar.,Krup; İnspiratuvar stridor; Deksametazon,43,"Nebülize adrenalin ve deksametazon verip serviste yanıt beklemek || Nebülize adrenalin ve deksametazon krup yönetiminde kullanılabilir; ancak bu olguda havlar tarzda öksürükten çok salya akışı, yutamama, tripod eğilimi ve toksik görünüm ön plandadır. Serviste yanıt beklemek üst hava yolu kapanması riskini artırır.",low,low
v404-pediatrics-enema-reduksiyonu,Enema redüksiyonu,Enema redüksiyonu; pnömatik redüksiyon; hidrostatik redüksiyon,Çocuk Sağlığı ve Hastalıkları,Pediatrik cerrahi / Tedavi,P1,İnvajinasyonda hava veya kontrast lavmanla bağırsak segmentinin açılmasıdır.,"Peritonit veya perforasyon bulgusu yoksa tanı ve tedavi amacıyla kullanılabilir. Başarısızlık, perforasyon veya klinik instabilite cerrahi gerektirir.",İnvajinasyonda perforasyon yoksa pnömatik/hidrostatik enema redüksiyonu tedavi edici olabilir.,Volvulusta iskemi riski nedeniyle acil cerrahi değerlendirme önceliklidir.,İnvajinasyon; Target sign; Peritonit,13,İnvajinasyonda klasik kolik ağrı-dışkı-muayene-USG paternini tanıyıp perforasyon yoksa enema redüksiyonunu seçme. || İnvajinasyonda stabil hastada pnömatik/hidrostatik enema redüksiyonunun cerrahiden önceki tedavi olduğunu açıklayabilme.,low,low
v404-pediatrics-piloromiyotomi,Piloromiyotomi,Piloromiyotomi,Çocuk Sağlığı ve Hastalıkları,Pediatrik cerrahi / Tedavi,P1,Hipertrofik pilor stenozunda hipertrofik pilor kasının kesilmesi işlemidir.,Cerrahi tedavi kalıcı çözüm sağlar ancak öncesinde hipovolemi ve hipokloremik alkaloz düzeltilmelidir. Soru tuzağı doğrudan ameliyata gitmek değil önce stabilizasyonu seçmektir.,"Pilor stenozunda önce sıvı-elektrolit düzelt, sonra piloromiyotomi.",Volvulus acil cerrahidir; pilor stenozunda elektrolit stabilizasyonu ameliyat öncesi şarttır.,Pilor stenozu; Hipokloremik metabolik alkaloz; Sıvı resüsitasyonu,33,Ramstedt piloromiyotomi || Ramstedt piloromiyotomi,low,low
v404-pediatrics-kemik-yasi-ileriligi,Kemik yaşı ileriliği,Kemik yaşı ileriliği,Çocuk Sağlığı ve Hastalıkları,Pediatrik endokrinoloji / Büyüme-puberte,P1,Kemik maturasyonunun kronolojik yaştan ileri olmasıdır.,Erken seks steroid maruziyeti büyüme plaklarını hızlandırır; çocuk başlangıçta uzun görünebilir ama final boyu azalabilir. Puberte prekoks değerlendirmesinde kritik veridir.,Erken puberte + kemik yaşı ileriliği final boy kaybı riskini gösterir.,Konstitüsyonel gecikmede kemik yaşı geri olabilir; puberte prekoksunda genellikle ileridir.,Santral puberte prekoks; Büyüme hızı; GnRH stimülasyon testi,9,Prematür telarş izole ve genellikle ilerleyici değildir; kemik yaşı ileriliği ve pubertal LH yanıtı varsa santral puberte prekoks düşünülür. || Prematür telarş izole ve genellikle ilerleyici değildir; kemik yaşı ileriliği ve pubertal LH yanıtı varsa santral puberte prekoks düşünülür.,low,low
v404-pediatrics-ambigus-genitalya,Ambigus genitalya,Ambigus genitalya,Çocuk Sağlığı ve Hastalıkları,Pediatrik endokrinoloji / Cinsel gelişim,P1,Dış genital yapının tipik kız/erkek görünümüne net uymamasıdır.,"Yenidoğanda özellikle tuz kaybettiren konjenital adrenal hiperplaziyle birlikte kusma ve şok varsa acil endokrin değerlendirme gerekir. Genital muayene tanı değil, metabolik kriz riskini fark ettiren ipucudur.",Ambigus genitalya + tuz kaybı 21-hidroksilaz eksikliğini düşündürür.,İzole hipospadias farklıdır; ambigus genitalyada cinsel gelişim bozukluğu ve adrenal kriz araştırılır.,Tuz kaybettiren adrenal kriz; 21-hidroksilaz eksikliği; Virilizasyon,10,"Doğru cevap A’dır. 21-hidroksilaz, kortizol ve aldosteron sentez yollarında gereklidir. Enzim eksikliğinde kortizol üretimi azalır ve hipofizden ACTH salınımı artar; bu da adrenal hiperplaziye ve steroid prekürsörlerinin androjen sentezine yönelmesine neden olur. Bu nedenle virilizasyon, erken pubarş veya kız bebekte ambigus genitalya gibi bulgular gelişebilir. Ağır klasik formlarda aldosteron eksikliği tuz kaybı, hiponatremi, hiperkale || Doğru cevap A’dır. 21-hidroksilaz, kortizol ve aldosteron sentez yollarında gereklidir. Enzim eksikliğinde kortizol üretimi azalır ve hipofizden ACTH salınımı artar; bu da adrenal hiperplaziye ve steroid prekürsörlerinin androjen sentezine yönelmesine neden olur. Bu nedenle virilizasyon, erken pubarş veya kız bebekte ambigus genitalya gibi bulgular gelişebilir. Ağır klasik formlarda aldosteron eksikliği tuz kaybı, hiponatremi, hiperkale",low,low
v404-pediatrics-makroglossi,Makroglossi,Makroglossi,Çocuk Sağlığı ve Hastalıkları,Pediatrik endokrinoloji / Fizik muayene,P1,Dilin beklenenden büyük görünmesidir.,"Konjenital hipotiroidi, Down sendromu ve depo hastalıklarında görülebilir. Yenidoğanda uzamış sarılık, kabızlık ve hipotoniyle birlikte hipotiroidi ipucu olabilir.",Makroglossi + uzamış sarılık + kabızlık konjenital hipotiroidiyi düşündürür.,İzole büyük dil normal varyant olabilir; sistemik bulgular eşlik ederse anlam kazanır.,Konjenital hipotiroidi; Down sendromu; Hipotoni,37,"Bebekte hafif makroglossi, geniş ön fontanel, hafif hipotoni ve uzamış sarılık görünümü vardır. || Bu bebekte tarama sonrası doğrulanan yüksek TSH ve düşük serbest T4 paterni, uykuya eğilim, yavaş emme, kabızlık, makroglossi ve uzamış sarılıkla birlikte konjenital hipotiroidiyi destekler. Tanı gecikirse nörogelişimsel hasar riski arttığı için hormonal patern tanındığında tedavi planı hızla yapılmalıdır.",low,low
v404-pediatrics-antipseudomonal-antibiyotik,Antipseudomonal antibiyotik,Antipseudomonal antibiyotik,Çocuk Sağlığı ve Hastalıkları,Pediatrik enfeksiyon / Febril nötropeni tedavisi,P1,Pseudomonas aeruginosa dahil gram negatifleri kapsayan antibiyotik yaklaşımıdır.,Febril nötropenide erken ölüm riski gram negatif sepsisle ilişkili olduğundan ilk saat içinde antipseudomonal beta-laktam başlanır. Klinik instabilite ve direnç riski tedavi genişliğini belirler.,Febril nötropenide ilk ampirik tedavi Pseudomonas kapsamalıdır.,Basit ÜSYE’de dar tedavi yeterli olabilir; nötropenide geniş gram negatif kapsama gerekir.,Febril nötropeni; Pseudomonas aeruginosa; Kan kültürü,1,"Yanlıştır; viral tedavi belirli klinik/laboratuvar kanıt varsa eklenebilir, fakat febril nötropenide ilk ampirik omurga antipseudomonal antibiyotiktir. Bu vakada HSV/varisella bulgusu yoktur.",low,low
v404-pediatrics-rsv,RSV,RSV; respiratuvar sinsityal virüs,Çocuk Sağlığı ve Hastalıkları,Pediatrik enfeksiyon / Solunum virüsü,P1,"Respiratuvar sinsityal virüs, süt çocuklarında bronşiolitin en önemli viral etkenlerinden biridir.","Küçük hava yollarında inflamasyon, mukus ve ödem oluşturarak hışıltı, taşipne ve beslenme güçlüğüne neden olur. Prematüre ve kardiyopulmoner hastalığı olan bebeklerde ağır seyir riski artar.",Bronşiolit sorusunda RSV en klasik etkenlerden biridir; yönetim çoğu kez destekleyicidir.,Influenza daha sistemik ateş-myalgilerle; RSV bronşiolit bebekte hışıltı/taşipneyle öne çıkar.,Bronşiolit; Prematürite; Oksijen desteği,26,"RSV pozitifliği klinik bronşiolit paternini destekler; başlangıç yönetimi test sonucundan çok oksijenlenme, solunum işi ve hidrasyon durumuna göre belirlenir. || RSV pozitifliği klinik bronşiolit paternini destekler; başlangıç yönetimi test sonucundan çok oksijenlenme, solunum işi ve hidrasyon durumuna göre belirlenir.",low,low
v404-pediatrics-currant-jelly-diski,Currant jelly dışkı,Currant jelly dışkı,Çocuk Sağlığı ve Hastalıkları,Pediatrik gastroenteroloji / Dışkı bulgusu,P1,"Mukus ve kan içeren, kırmızı jöle görünümünde dışkı tarifidir.",İnvajinasyonda venöz konjesyon ve mukozal iskemi sonucu gelişir; genellikle geç bulgudur. Varlığı tanıyı destekler ancak yokluğu invajinasyonu dışlamaz.,Currant jelly dışkı invajinasyonun klasik ama geç bulgusudur.,Basit dizanteride enfeksiyöz ateş-ishal baskın olabilir; invajinasyonda kolik ağrı ve ataklar öne çıkar.,İnvajinasyon; Target sign; Kolik karın ağrısı,2,Aralıklı kolik ağrı ve currant jelly dışkı hangi pediatrik acili düşündürür? || Aralıklı kolik ağrı + currant jelly dışkı + süt çocuğu kombinasyonu invajinasyon için klasik sınav paternidir.,low,low
v404-pediatrics-mekonyum-ileusu,Mekonyum ileusu,Mekonyum ileusu,Çocuk Sağlığı ve Hastalıkları,Pediatrik gastroenteroloji / Kistik fibrozis,P1,Yenidoğanda koyu yapışkan mekonyumun ileumda tıkanıklık oluşturmasıdır.,"Kistik fibrozisin erken bulgusu olabilir; mekonyum çıkaramama, batın distansiyonu ve kusma ile gelir. Bu bulgu CFTR ilişkili ekzokrin salgı koyulaşmasını klinik olarak gösterir.",Yenidoğanda mekonyum ileusu varsa kistik fibrozis düşün.,Hirschsprung’da ganglion hücresi yokluğu ve geç mekonyum; mekonyum ileusunda yapışkan sekresyon tıkanıklığı vardır.,Kistik fibrozis; CFTR; Pankreatik yetmezlik,22,"Çölyak hastalığı kronik ishal, karın şişliği ve büyüme geriliği yapabilir; fakat tekrarlayan akciğer enfeksiyonu, mekonyum ileusu öyküsü, çomaklaşma ve ter klorürü yüksekliği çölyaktan uzaklaştırır. || Çölyak hastalığı kronik ishal, karın şişliği ve büyüme geriliği yapabilir; fakat tekrarlayan akciğer enfeksiyonu, mekonyum ileusu öyküsü, çomaklaşma ve ter klorürü yüksekliği çölyaktan uzaklaştırır.",low,low
v404-pediatrics-safrasiz-fiskirir-kusma,Safrasız fışkırır kusma,Safrasız fışkırır kusma; projektil kusma; fışkırır kusma,Çocuk Sağlığı ve Hastalıkları,Pediatrik gastroenteroloji / Kusma paterni,P1,"Safra içermeyen, güçlü ve projektil kusma paternidir.",Pilor stenozunda tıkanıklık safra kanalının proksimalinde olduğu için kusma safrasızdır. Bebek kusmasına rağmen aç görünür; elektrolit bozukluğu ve dehidratasyon gelişebilir.,Safrasız projektil kusma pilor stenozunu; bilöz kusma volvulusu düşündürür.,Regürjitasyon pasif ve hafiftir; projektil kusma çıkış obstrüksiyonu lehinedir.,Pilor stenozu; Hipokloremik metabolik alkaloz; Dehidratasyon,33,"Süt çocuğunda safrasız fışkırır kusma, açlık hissi, dehidratasyon ve hipokloremik metabolik alkaloz paterninden gastrik çıkış obstrüksiyonunu tanıma. || Klinik tablo safrasız fışkırır kusma, kusma sonrası açlık hissi, hipokloremik hipokalemik metabolik alkaloz ve ultrasonografide pilor kalınlaşmasıyla hipertrofik pilor stenozunu gösterir. Bu hastada önce dehidratasyon ve elektrolit/asit-baz bozukluğu düzeltilir; kesin tedavi bundan sonra Ramstedt piloromiyotomisidir.",low,low
v404-pediatrics-pankreatik-yetmezlik,Pankreatik yetmezlik,Pankreatik yetmezlik,Çocuk Sağlığı ve Hastalıkları,Pediatrik gastroenteroloji / Malabsorpsiyon,P1,Pankreas enzim salgısının yetersizliği nedeniyle yağ ve besin emiliminin bozulmasıdır.,"Kistik fibroziste pankreatik kanal sekresyonları koyulaşır, ekzokrin bez hasarı gelişir ve steatore/kilo alamama görülebilir. Tedavide pankreatik enzim desteği ve beslenme düzenlemesi önemlidir.",Kistik fibroziste solunum bulgularına steatore ve büyüme geriliği eşlik edebilir.,Çölyak hastalığında mukozal villus hasarı; pankreatik yetmezlikte enzim eksikliği malabsorpsiyon yapar.,Kistik fibrozis; Steatore; Pankreatik enzim replasmanı,16,Pankreatik yetmezlik || Pankreatik yetmezlik,low,low
v404-pediatrics-oral-rehidratasyon-tedavisi,Oral rehidratasyon tedavisi,Oral rehidratasyon tedavisi; ORS; oral rehidratasyon solüsyonu,Çocuk Sağlığı ve Hastalıkları,Pediatrik gastroenteroloji / Sıvı tedavisi,P1,Hafif-orta dehidratasyonda oral rehidratasyon solüsyonuyla sıvı-elektrolit yerine koyma tedavisidir.,"Sodyum-glukoz kotransportu sayesinde barsaktan su emilimi sürer. Şok, bilinç bozukluğu, persistan kusma veya ileus varsa IV tedavi gerekir.",Hafif-orta dehidratasyonda ORS çoğu çocukta IV sıvıdan önce gelir.,Ağır dehidratasyon/şokta oral yol yeterli değildir; IV resüsitasyon gerekir.,Dehidratasyon; ORS; Sodyum-glukoz kotransportu,66,"Gövdede polimorf makülopapüler döküntü ve el-ayak dorsumunda ödem/eritem izlenir. || Bu çocukta ateş ve toksik görünümle birlikte hipotansiyon, uzamış kapiller dolum, zayıf periferik nabız, oligüri, laktat yüksekliği ve hipoglisemi doku hipoperfüzyonu ile seyreden septik şok tablosunu oluşturur. İlk saat yaklaşımı tanısal kesinliği beklemek değil eş zamanlı resüsitasyondur: oksijen, IV/IO erişim, glukoz düzeltmesi, izotonik kristalloid boluslarla sık yeniden değerlendirme ve gecikmeden geniş spektrumlu IV antibiyotik. K",low,low
v404-pediatrics-hemartroz,Hemartroz,Hemartroz,Çocuk Sağlığı ve Hastalıkları,Pediatrik hematoloji / Kanama paterni,P1,Eklem içine kanamadır.,Hemofili gibi koagülasyon faktör eksikliklerinde tipiktir ve tekrarlarsa eklem hasarı yapabilir. Mukokutanöz peteşiden farklı olarak derin kanama paternidir.,Hemartroz faktör eksikliği/hemofili için klasik kanama paternidir.,Trombosit bozuklukları daha çok peteşi-purpura; faktör eksiklikleri derin doku/eklem kanaması yapar.,Hemofili A; Faktör VIII eksikliği; aPTT uzaması,27,"Doğru cevap A’dır. Hemofili A, X’e bağlı kalıtılan faktör VIII eksikliğiyle karakterizedir. Faktör VIII intrinsik koagülasyon yolunda görev aldığı için aPTT uzar, PT genellikle normal kalır. Trombosit sayısı normaldir çünkü sorun primer hemostaz değil koagülasyon faktörü eksikliğidir. Klinik olarak derin doku kanamaları, hemartroz ve kas içi kanamalar daha tipiktir. Trombositopenilerde ise mukokutanöz kanama ve peteşi/purpura daha ön pl || Hemofili A = faktör VIII eksikliği + uzamış aPTT + normal PT + normal trombosit; derin kanama/hemartroz beklenir.",low,low
v404-pediatrics-izole-trombositopeni,İzole trombositopeni,İzole trombositopeni,Çocuk Sağlığı ve Hastalıkları,Pediatrik hematoloji / Laboratuvar paterni,P1,Trombosit düşüklüğünün anemi veya lökosit bozukluğu olmadan görülmesidir.,Çocukta peteşi/ekimoz ve iyi genel durumla birlikte İTP’yi düşündürür. Diğer hücre serilerinde bozukluk veya organomegali varsa kemik iliği hastalığı düşünülmelidir.,İzole trombositopeni İTP lehine; pansitopeni lösemi/aplazi açısından alarmdır.,HÜS’te trombositopeniye hemolitik anemi ve böbrek yetmezliği eşlik eder.,İmmün trombositopeni; Peteşi; Pansitopeni,80,"İmmün trombositopeni genellikle izole trombositopeni ve mukokütanöz kanamayla düşünülür. Buradaki ağır anemi, büyük dalak ve perfüzyon bozukluğu ITP ile açıklanmaz; steroid tek başına dolaşım bozukluğunu düzeltmez. || İmmün trombositopeni genellikle izole trombositopeni ve mukokütanöz kanamayla düşünülür. Buradaki ağır anemi, büyük dalak ve perfüzyon bozukluğu ITP ile açıklanmaz; steroid tek başına dolaşım bozukluğunu düzeltmez.",low,low
v404-pediatrics-ataksi-telenjiektazi,Ataksi telenjiektazi,Ataksi telenjiektazi,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / DNA tamir bozukluğu,P1,"ATM gen kusuruna bağlı serebellar ataksi, okülokutanöz telenjiektazi ve immün yetmezlikle giden hastalıktır.","DNA çift iplik kırığı yanıtı bozulur; sinopulmoner enfeksiyonlar, malignite riski ve AFP yüksekliği görülebilir. Radyasyon duyarlılığı önemli klinik noktadır.",Ataksi + telenjiektazi + yüksek AFP ATM kusurunu düşündürür.,Serebral palside statik motor bozukluk vardır; ataksi telenjiektazide ilerleyici nöro-immün tablo olur.,ATM geni; AFP yüksekliği; Serebellar ataksi,4,Ataksi telenjiektazi || Ataksi telenjiektazi.,low,low
v404-pediatrics-dihidrorodamin-testi,Dihidrorodamin testi,Dihidrorodamin testi; DHR testi,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / Fagosit fonksiyon testi,P1,Nötrofillerin oksidatif patlama kapasitesini ölçen akım sitometri testidir.,Kronik granülomatöz hastalıkta NADPH oksidaz kusuru nedeniyle floresan sinyali bozulur. Nitroblue tetrazolium testinin modern karşılığı gibi düşünülebilir.,CGD tanısında DHR testi oksidatif patlamayı değerlendirir.,İmmünoglobulin düzeyi B hücre kusurunu; DHR fagosit oksidatif öldürmesini ölçer.,Kronik granülomatöz hastalık; NADPH oksidaz; Oksidatif patlama,4,NADPH oksidaz kusuru respiratuvar patlamayı bozar; DHR testi tanıda kullanılır. || DHR testi,low,low
v404-pediatrics-gecikmis-gobek-kordonu-dusmesi,Gecikmiş göbek kordonu düşmesi,Gecikmiş göbek kordonu düşmesi,Çocuk Sağlığı ve Hastalıkları,Pediatrik immünoloji / Klinik ipucu,P1,Umblikal kordun beklenenden geç ayrılmasıdır ve lökosit adezyon defekti için klasik ipucudur.,Nötrofiller enfeksiyon alanına göç edemediği için lokal inflamasyon ve ayrılma süreci bozulabilir. İrin azlığı ve nötrofiliyle birlikte değerlendirilir.,Geç düşen göbek kordonu + irin yokluğu LAD için yüksek verimli ipucudur.,Basit geç iyileşme tek başına tanı koydurmaz; nötrofili ve enfeksiyon paterni eşlik etmelidir.,Lökosit adezyon defekti; Nötrofili; İrin yokluğu,5,IL2RG mutasyonu – İzole nötrofil adezyon kusuru ve gecikmiş göbek kordonu düşmesi || IL2RG mutasyonu – İzole nötrofil adezyon kusuru ve gecikmiş göbek kordonu düşmesi,low,low
