id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples,matchingPriority,answerLeakRisk,ambiguityRisk
v397-physiology-principal-hucre,Principal hücre,Principal hücre | principal cell | toplayıcı kanal principal hücresi,Fizyoloji / renal,Toplayıcı kanal hücresi,P0,"Toplayıcı kanalda Na⁺ geri emilimi, K⁺ sekresyonu ve ADH’ye bağlı su geri emiliminden sorumlu hücre tipidir.","Principal hücre ENaC, ROMK ve aquaporin-2 ile sodyum-potasyum-su dengesini yönetir. Aldosteron ve ADH etkileri burada kesişir.","Principal hücre: ENaC ile Na⁺ alır, ROMK ile K⁺ atar, AQP2 ile su geçirgenliği kazanır.",Alfa interkale hücre asit sekresyonu; principal hücre Na⁺/K⁺/su dengesiyle ilişkilidir.,ENaC | ROMK kanalı | Aquaporin-2 | Aldosteron,246,"[Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] learningTarget: Toplayıcı kanal principal hücrelerinde V2 reseptör yanıtı, aquaporin-2 yerleşimi ve dilüsyonel hiponatremi ilişkisini mekanizma düzeyinde açıklama. || [Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] diagnosis.correct: V2 reseptörü aracılığıyla principal hücrelerde aquaporin-2 yerleşiminin artması ve serbest su geri emiliminin sürmesi",98,low,low
v397-physiology-toplayici-kanal,Toplayıcı kanal,Toplayıcı kanal | collecting duct | collecting tubule | kollektör kanal,Fizyoloji / renal,Nefron segmenti,P0,ADH ve aldosteron etkilerinin birleştiği son nefron segmentidir.,"Toplayıcı kanal principal hücreleri ADH ile su, aldosteron ile Na⁺/K⁺ dengesini ayarlar; interkale hücreler asit-baz dengesine katkı verir.","ADH, aldosteron ve asit-baz son ayarı toplayıcı kanal düzeyinde birleşir.",Proksimal tübül kitlesel geri emilim; toplayıcı kanal hormon kontrollü son ayar yapar.,ADH | Aquaporin-2 | Principal hücre | Alfa interkale hücre,292,"[Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] learningTarget: Toplayıcı kanal principal hücrelerinde V2 reseptör yanıtı, aquaporin-2 yerleşimi ve dilüsyonel hiponatremi ilişkisini mekanizma düzeyinde açıklama. || [Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] diagnosis.explanation: Hipotonik hiponatremide normal fizyolojik yanıt su geri emilimini azaltmak ve çok seyreltik idrar oluşturmaktır. Bu olguda serum osmolalitesi düşükken idrar osmolalitesinin yüksek kalması, toplayıcı kanalda su geçirgenliğinin uygunsuz biçimde sürdüğünü gösterir. V2 reseptörü-cAMP/PKA yolu aquaporin-2 kanallarını apikal membrana taşıdığında serbest su geri emil…",98,low,low
v397-physiology-adh,ADH,ADH | antidiüretik hormon | vazopressin | vasopressin | arginin vazopressin,Fizyoloji / renal-endokrin,Su dengesi,P0,Toplayıcı kanalda su geçirgenliğini artırarak serbest su geri emilimini düzenleyen hormondur.,ADH V2 reseptörü üzerinden cAMP/PKA yolunu aktive eder ve aquaporin-2 kanallarını apikal membrana yerleştirir. Böylece idrar konsantre edilir ve plazma osmolalitesi dengelenir.,ADH saf su tutulumunun ana hormonudur; aldosteron ise Na⁺/K⁺/H⁺ dengesine daha çok etki eder.,Aldosteron sodyum geri emilimini artırır; ADH esas olarak su geçirgenliğini artırır.,V2 reseptörü | Aquaporin-2 | Toplayıcı kanal | İdrar osmolalitesi,282,"[Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] diagnosis.options[0]: Primer polidipsiye bağlı ADH baskılanması ve idrarın ileri derecede seyrelmesi || [Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] diagnosis.answerFeedback.optionComparison.Primer polidipsiye bağlı ADH baskılanması ve idrarın ileri derecede seyrelmesi: Primer polidipside aşırı su alımı ADH salınımını baskılar ve idrar osmolalitesi genellikle çok düşer. Bu vakada idrarın 560 mOsm/kg olması, su fazlalığına karşı beklenen seyrelme yanıtının oluşmadığını gösterir.",98,low,low
v397-physiology-v2-reseptoru,V2 reseptörü,V2 reseptörü | ADH V2 reseptörü | vasopressin V2 receptor | vazopressin V2 reseptörü,Fizyoloji / renal-endokrin,ADH sinyali,P0,Toplayıcı kanal principal hücrelerinde ADH’nin su geri emilimini artıran reseptörüdür.,V2 reseptörü Gs-cAMP/PKA yoluyla aquaporin-2 yerleşimini artırır. SIADH benzeri tabloda uygunsuz V2 aktivitesi dilüsyonel hiponatremi oluşturabilir.,ADH’nin böbrekte su tutucu etkisi V2 reseptörü-aquaporin-2 aksıyla olur.,V1 reseptör damar düz kasında vazokonstriksiyonla ilişkilidir; renal su etkisi V2 üzerinden okunur.,ADH | Aquaporin-2 | Principal hücre | Hipotonik hiponatremi,72,[Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] diagnosis.correct: V2 reseptörü aracılığıyla principal hücrelerde aquaporin-2 yerleşiminin artması ve serbest su geri emiliminin sürmesi || [Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] diagnosis.options[2]: V2 reseptörü aracılığıyla principal hücrelerde aquaporin-2 yerleşiminin artması ve serbest su geri emiliminin sürmesi,98,low,low
v397-physiology-anjiyotensin,Anjiyotensin II,Anjiyotensin II | angiotensin II | anjiyotensin-2 | Ang II,Fizyoloji / renal-kardiyovasküler,RAAS efektörü,P0,RAAS içinde güçlü vazokonstriktör ve aldosteron uyarıcı peptid hormondur.,Renal perfüzyon azalınca renin salınımı anjiyotensin II üretimini artırır. Anjiyotensin II özellikle efferent arteriyol tonusunu artırarak düşük perfüzyonda GFR’yi destekleyebilir.,Anjiyotensin II düşük renal perfüzyonda efferent arteriyol konstriksiyonu ile filtrasyonu korumaya çalışır.,ANP natriürez ve hacim atılımını artırır; anjiyotensin II hacim ve basıncı koruyucu yönde çalışır.,RAAS | Renin salınımı | Efferent arteriyol | Aldosteron,150,[Physiology Case v183-new-184-glomeruler-filtrasyonun-lokal-kontrolu] diagnosis.options[1]: Anjiyotensin II aracılı efferent arteriyol konstriksiyonu ile filtrasyon fraksiyonunun artması || [Physiology Case v183-new-184-glomeruler-filtrasyonun-lokal-kontrolu] diagnosis.optionComparison.Anjiyotensin II aracılı efferent arteriyol konstriksiyonu ile filtrasyon fraksiyonunun artması: Efferent konstriksiyon ve filtrasyon fraksiyonu artışı sistemik RAAS/anjiyotensin II etkisiyle ilişkili olabilir. Tubuloglomerüler geri bildirimde yüksek distal NaCl için hızlı lokal hedef esas olarak afferent arteriyoldür.,98,low,low
v397-physiology-alveoler-ventilasyon,Alveoler ventilasyon,Alveoler ventilasyon | alveolar ventilation | VA | alveoler dakika ventilasyonu,Fizyoloji / solunum,Gaz değişimi,P0,Dakikada gaz değişimine gerçekten katılan alveollere ulaşan taze hava miktarıdır.,"Alveoler ventilasyon, toplam dakika ventilasyonundan anatomik/fizyolojik ölü boşluk ventilasyonunun çıkarılmasıyla düşünülür. PaCO₂ düzeyini belirleyen ana ventilasyon değişkenidir.",PaCO₂ yükseliyorsa önce alveoler ventilasyonun azalıp azalmadığı düşünülür.,Dakika ventilasyonu yüksek olsa bile ölü boşluk artışı varsa alveoler ventilasyon yetersiz kalabilir.,PaCO₂ | Ölü boşluk ventilasyonu | Dakika ventilasyonu | Hipoventilasyon,5605,"[Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] chiefComplaint: Hasta, iki gündür belirginleşen halsizlik, baş ağrısı ve dikkatinde yavaşlama nedeniyle serviste değerlendiriliyor. || [Physiology Case v168-new-052-bilinc-bulanikligi-ve-hiponatremi] stem: Yakınmaları son 48 saatte artmış; ailesi konuşmalarının yavaşladığını ve sorulara geç yanıt verdiğini belirtmiştir. Son aylarda iştah azalması, kilo kaybı ve inatçı öksürük tarifler. Kusma, ishal, yoğun diüretik kullanımı, aşırı su içme atağı veya yeni başlanan hipoglisemik ilaç öyküsü yoktur. Muayenede belirgin dehidratasyon ya da yaygın ödem izlenmez; bu nedenle hiponatremin…",98,low,low
v397-physiology-alveoler-olu-bosluk,Alveoler ölü boşluk,Alveoler ölü boşluk | dead space ventilation | ölü boşluk ventilasyonu | alveolar dead space,Fizyoloji / solunum,V/Q ilişkisi,P0,Havalanan fakat yeterince perfüze olmadığı için etkin gaz değişimine katılamayan alveol alanıdır.,Pulmoner embolide ventilasyon korunurken perfüzyon azalır; böylece alveoler ölü boşluk ve V/Q oranı artar. Bu alanlar CO₂ atımına katkı sağlayamaz.,Pulmoner emboli: yüksek V/Q ve ölü boşluk benzeri ventilasyon.,Şantta perfüzyon vardır fakat ventilasyon yoktur; ölü boşlukta ventilasyon vardır fakat perfüzyon yetersizdir.,Pulmoner emboli | Yüksek V/Q | V/Q oranı | Fizyolojik şant,2,[Physiology TUS Pearl Card V/Q uyumsuzluğu] explanation: Emboli perfüzyonu düşürür ve ölü boşluk ventilasyonunu artırır. || [Physiology TUS Pearl Card V/Q uyumsuzluğu] explanation: Emboli perfüzyonu düşürür ve ölü boşluk ventilasyonunu artırır.,98,low,low
v397-physiology-elastik-recoil,Elastik recoil,Elastik recoil | elastik geri çekilme | elastic recoil | akciğer elastik geri çekilmesi,Fizyoloji / solunum,Akciğer mekanikleri,P0,Akciğerin genişledikten sonra pasif olarak eski hacmine dönme eğilimidir.,Amfizemde elastik doku yıkımı geri çekilme kuvvetini azaltır; ekspirasyon zorlaşır ve hava hapsi gelişir. Fibroziste ise sert doku nedeniyle kompliyans azalır.,"Amfizem: kompliyans artar, elastik recoil azalır, hava hapsi olur.",Kompliyans artışı iyi ekspirasyon anlamına gelmez; recoil kaybı hava çıkışını bozar.,Akciğer kompliyansı | Amfizem | Hava hapsi | Zorlu ekspirasyon,17,"[Physiology Case v169-new-068-kronik-dispne-ve-hava-hapsi] diagnosis.whyCorrect: Elastik recoil kaybı radial traksiyonu azaltır; ekspirasyonda intratorasik basınç küçük hava yollarını kapatır. Bu mekanizma rezidüel volüm artışı, hiperinflasyon ve uzamış ekspiryumu açıklar. || [Physiology Case v169-new-068-kronik-dispne-ve-hava-hapsi] diagnosis.evidenceChain[2].text: Hiperinflasyon ve diyafram düzleşmesi, elastik recoil kaybı ve ekspiratuvar boşalmanın zorlaşmasıyla uyumludur.",98,low,low
v397-physiology-fizyolojik-sant,Fizyolojik şant,Fizyolojik şant | physiologic shunt | şant benzeri patern | düşük V/Q şant paterni,Fizyoloji / solunum,V/Q ilişkisi,P0,Perfüze olan fakat yeterince havalanmayan akciğer alanından venöz kanın oksijenlenmeden geçmesi durumudur.,"Atelektazi veya ağır düşük V/Q alanlarında kan alveolde yeterli O₂ ile karşılaşmadan sistemik dolaşıma döner. Oksijen tedavisine yanıt, gerçek anatomik şant ve V/Q düşüklüğü ayrımında önemlidir.",Havalanmayan ama perfüze olan alveol düşük V/Q/şant mantığıyla okunur.,Ölü boşlukta alveol havalanır ama perfüzyon yoktur; şantta perfüzyon var ama ventilasyon yoktur.,Düşük V/Q | Atelektazi | Alveoler ventilasyon | Alveoler ölü boşluk,8,[Physiology TUS Pearl Card V/Q uyumsuzluğu] extraAnswer: V/Q azalır; şant benzeri patern oluşur. || [Physiology Hap Card Override tus-pearl-physiology-010-extra] back: V/Q azalır; şant benzeri patern oluşur.,98,low,low
v397-physiology-karbonmonoksit-hemoglobin-afinitesi,Karbonmonoksit hemoglobin afinitesi,Karbonmonoksit hemoglobin afinitesi | CO hemoglobin afinitesi | karbonmonoksit-Hb afinitesi | CO-Hb afinitesi,Fizyoloji / solunum,Oksijen taşınması bozukluğu,P0,Karbonmonoksitin hemoglobine oksijenden çok daha güçlü bağlanma eğilimidir.,CO hemoglobine bağlanarak O₂ taşıma kapasitesini azaltır ve kalan bağlanma bölgelerinde O₂ afinitesini artırarak eğriyi sola kaydırır. Bu nedenle doku hipoksisi ağır olabilir.,CO zehirlenmesinde PaO₂ normal görünebilir; sorun hemoglobin taşıma kapasitesi ve O₂ bırakılmasıdır.,Hipoksemide PaO₂ düşer; CO zehirlenmesinde PaO₂ normal olup satürasyon/taşıma bozulabilir.,Karboksihemoglobin | Oksihemoglobin dissosiyasyon eğrisi | Doku hipoksisi,0,,98,low,low
v397-physiology-oksihemoglobin-dissosiyasyon-egrisi,Oksihemoglobin dissosiyasyon eğrisi,Oksihemoglobin dissosiyasyon eğrisi | oksijen-hemoglobin ayrışma eğrisi | oksihemoglobin eğrisi | oxyhemoglobin dissociation curve,Fizyoloji / solunum,Oksijen taşınması,P0,Hemoglobin satürasyonu ile oksijen parsiyel basıncı arasındaki sigmoidal ilişkiyi gösteren eğridir.,"Eğrinin sağa kayması hemoglobinin O₂’yi daha kolay bırakması, sola kayması daha sıkı tutması anlamına gelir. P50 bu afinitenin sayısal göstergesidir.",Sağa kayma dokuya O₂ bırakmayı artırır; sola kayma O₂ tutmayı artırır.,PaO₂ düşüklüğü ile hemoglobin afinitesi değişikliği aynı şey değildir.,"P50 | 2,3-BPG | Bohr etkisi | HbF oksijen afinitesi",48,"[Physiology Case ai-spot-vakasiz-secki-025-oksihemoglobin-egrisi-sola-kayma] learningTarget: 2,3-BPG düzeyinin azalması hemoglobinin deoksi formunu daha az stabilize eder ve oksijen afinitesini artırarak oksihemoglobin eğrisini sola kaydırır. || [Physiology Case ai-spot-vakasiz-secki-025-oksihemoglobin-egrisi-sola-kayma] coreKnowledge: 2,3-BPG düzeyinin azalması hemoglobinin deoksi formunu daha az stabilize eder ve oksijen afinitesini artırarak oksihemoglobin eğrisini sola kaydırır.",98,low,low
v397-physiology-periferik-kemoreseptor,Periferik kemoreseptör,Periferik kemoreseptör | karotis cisimciği | aort cisimciği | peripheral chemoreceptor | karotid cisimcik,Fizyoloji / solunum,Ventilasyon kontrolü,P0,"Karotis ve aort cisimciklerinde bulunan, özellikle PaO₂ düşüşü ve pH değişimine yanıt veren reseptörlerdir.","Periferik kemoreseptörler hipoksemi, asidoz ve kısmen CO₂ artışıyla solunumu hızlandırır. Kronik CO₂ retansiyonunda santral yanıt tamponlandığı için hipoksemik uyarı daha görünür hale gelir.",PaO₂ belirgin düştüğünde periferik kemoreseptörler ventilasyon dürtüsünde kritikleşir.,Santral kemoreseptörler BOS pH üzerinden PaCO₂’ye duyarlıdır; periferik kemoreseptörler arteriyel O₂ değişimini doğrudan algılar.,PaO₂ | Hipoksemi | Kronik CO₂ retansiyonu | Santral kemoreseptör,24,[Physiology Case v176-new-112-asidozda-derin-hizli-solunum] diagnosis.explanation: Metabolik asidozda primer sorun HCO₃⁻ azalması ve asit yükünün artmasıdır. Periferik kemoreseptörler ve medüller solunum merkezleri ventilasyonu artırır; alveoler ventilasyon yükseldiğinde PaCO₂ düşer. CO₂’nin azalması bikarbonat/karbondioksit tampon oranını kısmen düzeltir ve pH düşüşünü sınırlar. || [Physiology Case v176-new-112-asidozda-derin-hizli-solunum] diagnosis.answerFeedback.summary: Metabolik asidozda primer sorun HCO₃⁻ azalması ve asit yükünün artmasıdır. Periferik kemoreseptörler ve medüller solunum merkezleri ventilasyonu artırır; alveoler ventilasyon yükseldiğinde PaCO₂ düşer. CO₂’nin azalması bikarbonat/karbondioksit tampon oranını kısmen düzeltir ve pH düşüşünü sınırlar.,98,low,low
v397-physiology-santral-kemoreseptor,Santral kemoreseptör,Santral kemoreseptör | central chemoreceptor | medüller kemoreseptör | santral CO₂ kemoreseptörü,Fizyoloji / solunum,Ventilasyon kontrolü,P0,Medulla çevresinde BOS pH değişimini algılayarak ventilasyonu düzenleyen kemoreseptör grubudur.,"CO₂ kan-beyin bariyerini kolay geçer, BOS’ta H⁺ oluşturur ve pH’ı düşürür. Santral kemoreseptör bu pH düşüşünü solunum merkezine güçlü uyarı olarak iletir.",Akut ventilasyon kontrolünde en güçlü kimyasal uyarı çoğu zaman PaCO₂ artışıdır; bu etki santral kemoreseptör-BOS pH yolu ile olur.,Periferik kemoreseptörler özellikle belirgin PaO₂ düşüşünde öne çıkar; santral kemoreseptör doğrudan O₂’yi değil CO₂’ye bağlı pH değişimini izler.,PaCO₂ | BOS pH düşüşü | Alveoler ventilasyon | Periferik kemoreseptör,18,[Physiology TUS Pearl Card Solunum merkezi ve CO₂] explanation: Santral kemoreseptörler CO₂ artışına bağlı BOS pH düşüşünü algılar. || [Physiology TUS Pearl Card Solunum merkezi ve CO₂] keywords[1]: santral kemoreseptör,98,low,low
v397-physiology-v-q-orani,V/Q oranı,V/Q oranı | ventilasyon/perfüzyon oranı | ventilation perfusion ratio | ventilasyon perfüzyon oranı,Fizyoloji / solunum,Gaz değişimi,P0,Bir akciğer bölgesindeki ventilasyonun perfüzyona oranıdır.,"V/Q oranı, alveole gelen hava ile kapiller kan akımının eşleşmesini gösterir. Oran yükselirse ölü boşluk, düşerse şant benzeri patern düşünülür.",Pulmoner emboli yüksek V/Q; atelektazi/şant düşük V/Q olarak ayrılır.,Yalnız ventilasyon veya yalnız perfüzyon değerinden çok ikisinin oranı klinik sonucu belirler.,Yüksek V/Q | Düşük V/Q | Alveoler ölü boşluk | Fizyolojik şant,18,[Physiology Case v188-new-258-akciger-embolisinde-oksijen-dusuklugu] diagnosis.answerFeedback.coreKnowledge: V/Q oranı alveoler ventilasyon ile pulmoner perfüzyonun eşleşmesini ifade eder; perfüzyonun bölgesel azalması oksijenlenmeyi bozarken CO₂ çoğu zaman artmış ventilasyonla düşük kalabilir. || [Physiology Case v188-new-258-akciger-embolisinde-oksijen-dusuklugu] diagnosis.coreKnowledge: V/Q oranı alveoler ventilasyon ile pulmoner perfüzyonun eşleşmesini ifade eder; perfüzyonun bölgesel azalması oksijenlenmeyi bozarken CO₂ çoğu zaman artmış ventilasyonla düşük kalabilir.,98,low,low
v397-physiology-bikarbonat-tampon-sistemi,Bikarbonat tampon sistemi,Bikarbonat tampon sistemi | HCO₃⁻ tampon sistemi | bicarbonate buffer system | karbonik asit-bikarbonat tamponu,Fizyoloji / asit-baz,Tampon sistemleri,P1,"CO₂, karbonik asit ve bikarbonat arasındaki dengeyle pH’ı düzenleyen ana ekstrasellüler tampon sistemidir.","Akciğer CO₂’yi, böbrek HCO₃⁻ ve H⁺ dengesini ayarlar. Bu nedenle asit-baz sorularında PaCO₂ solunumsal, HCO₃⁻ metabolik bileşen olarak okunur.","Asit-baz yorumunda PaCO₂ akciğer, HCO₃⁻ böbrek/metabolik tarafı temsil eder.",Hemoglobin tamponu kanda H⁺ bağlanmasına katkı verir; bikarbonat sistemi açık sistem olarak akciğer-böbrek koordinasyonuyla çalışır.,PaCO₂ | HCO₃⁻ | Karbonik anhidraz | Asit-baz dengesi,0,,92,low,low
v397-physiology-hemoglobin-tampon-sistemi,Hemoglobin tampon sistemi,Hemoglobin tampon sistemi | hemoglobin buffer | Hb tamponu,Fizyoloji / asit-baz,Kan tamponları,P1,Hemoglobinin H⁺ ve CO₂ bağlayarak kan pH dengesine katkı verdiği tampon mekanizmasıdır.,Dokularda deoksihemoglobin H⁺ bağlayarak CO₂ taşınmasını kolaylaştırır; akciğerde oksijenlenme H⁺ ve CO₂ salınımını destekler. Bu mantık Haldane etkisiyle ilişkilidir.,Deoksihemoglobin dokuda H⁺ tamponlayarak CO₂ taşınmasına katkı sağlar.,Bikarbonat tamponu plazma-açık sistemdir; hemoglobin tamponu eritrosit içi taşıma ve tamponlamayla öne çıkar.,Haldane etkisi | Klor shift | Karbaminohemoglobin | Bikarbonat tampon sistemi,0,,92,low,low
v397-physiology-renal-kompanzasyon,Renal kompanzasyon,Renal kompanzasyon | böbreksel kompanzasyon | renal compensation,Fizyoloji / asit-baz,Kompanzasyon,P1,Respiratuvar asit-baz bozukluklarında böbreğin HCO₃⁻ ve H⁺ atılımını değiştirerek pH’ı dengeleme çabasıdır.,Kronik respiratuvar asidozda böbrek HCO₃⁻ geri emilimini ve asit atılımını artırır. Bu yüzden kronik hiperkapnide HCO₃⁻ yüksekliği beklenir.,Kronik respiratuvar asidozda HCO₃⁻ yükselmesi renal kompanzasyonu gösterir.,Akut respiratuvar bozuklukta renal kompanzasyon sınırlıdır; kronik süreçte belirginleşir.,Respiratuvar asidoz | Kronik CO₂ retansiyonu | HCO₃⁻ | Böbrek asit atılımı,18,[Physiology Case v172-new-080-kronik-karbondioksit-retansiyonu] question: Kronik karbondioksit retansiyonunda pH değerinin normale yaklaşmasını sağlayan temel renal kompanzasyon hangisidir? || [Physiology Case v172-new-080-kronik-karbondioksit-retansiyonu] diagnosis.question: Kronik karbondioksit retansiyonunda pH değerinin normale yaklaşmasını sağlayan temel renal kompanzasyon hangisidir?,92,low,low
v397-physiology-solunumsal-kompanzasyon,Solunumsal kompanzasyon,Solunumsal kompanzasyon | respiratuvar kompanzasyon | respiratory compensation,Fizyoloji / asit-baz,Kompanzasyon,P1,Metabolik asit-baz bozukluklarında ventilasyonun PaCO₂’yi değiştirerek pH’ı dengeleme çabasıdır.,Metabolik asidozda ventilasyon artarak PaCO₂ düşürülür; metabolik alkalozda ventilasyon azalabilir ancak hipoksemi sınırı kompanzasyonu kısıtlar.,Metabolik asidozda beklenen kompanzasyon derin-hızlı solunum ve PaCO₂ düşüşüdür.,Kompanzasyon pH’ı tamamen normale döndürüyorsa mikst bozukluk düşünülmelidir.,Metabolik asidoz | Kussmaul solunumu | PaCO₂ | HCO₃⁻,1,[Physiology Hap Card Override tus-pearl-physiology-197-extra] differentialNote: Solunumsal kompanzasyon hızlıdır; renal asit-baz kompanzasyonu daha yavaş fakat güçlüdür. || [Physiology Hap Card Override tus-pearl-physiology-197-extra] differentialNote: Solunumsal kompanzasyon hızlıdır; renal asit-baz kompanzasyonu daha yavaş fakat güçlüdür.,92,low,low
v397-physiology-lenfatik-drenaj,Lenfatik drenaj,Lenfatik drenaj | lymphatic drainage | lenf drenajı,Fizyoloji / dolaşım,Sıvı geri dönüşü,P1,İnterstisyel sıvı ve proteinlerin lenf damarlarıyla dolaşıma geri taşınmasıdır.,Lenfatik akım kapillerden kaçan protein ve sıvının birikmesini engeller. Lenfatik tıkanıklıkta proteinli interstisyel sıvı artar ve lenfödem gelişir.,Lenfödemde temel sorun Starling basınçlarından çok lenfatik drenajın bozulmasıdır.,Venöz ödem hidrostatik basınç artışıyla; lenfödem drenaj bozukluğuyla ayrılır.,İnterstisyel sıvı | Ödem fizyolojisi | Kapiller onkotik basınç,9,"[Physiology Case v189-new-274-kalp-yetmezliginde-bacak-odemi] clinicalFocus: Kalp yetmezliğine bağlı periferik ödemde Starling kuvvetlerini venöz konjesyon, onkotik basınç ve lenfatik drenaj ayrımıyla yorumlama. || [Physiology Case v189-new-274-kalp-yetmezliginde-bacak-odemi] learningTarget: Bilateral gode bırakan ödemde Starling kuvvetlerini venöz konjesyon, onkotik basınç, geçirgenlik ve lenfatik drenaj açısından ayırt etme.",92,low,low
v397-physiology-interstisyel-sivi,İnterstisyel sıvı,İnterstisyel sıvı | interstitial fluid | doku arası sıvı,Fizyoloji / dolaşım,Sıvı kompartmanı,P1,Hücreler ile kapillerler arasındaki ekstrasellüler sıvı bölümüdür.,Kapiller filtrasyon ve lenfatik drenaj arasındaki denge interstisyel sıvı miktarını belirler. Bu denge bozulursa ödem gelişir.,"Ödem, interstisyel sıvı hacminin patolojik artışıdır.",İntravasküler sıvı damar içindedir; interstisyel sıvı damar dışı doku aralığındadır.,Starling kuvvetleri | Lenfatik drenaj | Ödem fizyolojisi,1,[Physiology Hap Card Override tus-pearl-physiology-203-spot] explanation: Kapiller hidrostatik basınç damar içinden dışarı doğru itici kuvvettir. Bu basınç arttığında interstisyel sıvı birikimi kolaylaşır; venöz basınç artışı veya kalp yetmezliği ödemi bu mekanizmayla açıklanabilir.,92,low,low
v397-physiology-d-hucresi,D hücresi,D hücresi | D cell | somatostatin salgılayan hücre | gastrik D hücresi,Fizyoloji / gastrointestinal,Gastrin baskılanması,P1,Mide mukozasında somatostatin salgılayarak gastrin ve asit sekresyonunu baskılayan hücredir.,"Lümen pH’ı çok düştüğünde D hücreleri somatostatin salgılar; bu, G hücresinden gastrin salınımını azaltır. Böylece negatif feedback oluşur.",D hücresi somatostatinle gastrini baskılar.,G hücresi gastrin salgılar; D hücresi frenleyici somatostatin yanıtını verir.,Somatostatin | G hücresi | Gastrin | Mide asit sekresyonu,2,[Physiology Hap Card Override tus-pearl-physiology-204-extra] differentialNote: Vagal uyarı gastrini artırabilir; çok düşük lümen pH’ı ise D hücresi üzerinden gastrini baskılar. || [Physiology Hap Card Override tus-pearl-physiology-204-extra] differentialNote: Vagal uyarı gastrini artırabilir; çok düşük lümen pH’ı ise D hücresi üzerinden gastrini baskılar.,92,low,low
v397-physiology-ecl-hucresi,ECL hücresi,ECL hücresi | enterochromaffin-like cell | enterokromaffin benzeri hücre | ECL cell,Fizyoloji / gastrointestinal,Histamin salınımı,P1,Mide mukozasında histamin salgılayarak parietal hücre asit sekresyonunu artıran hücredir.,Gastrin ve vagal uyarı ECL hücresinden histamin salınımını artırır. Histamin H2 reseptör üzerinden parietal hücrenin asit sekresyonunu güçlendirir.,Gastrin → ECL histamin → parietal hücre H+/K+ ATPaz aktivasyonu.,G hücresi gastrin; ECL hücresi histamin; parietal hücre asit salgılar.,Gastrin | Histamin H2 reseptörü | Parietal hücre | H+/K+ ATPaz,12,[Physiology TUS Pearl Card Gastrin etkisi] mainAnswer: Parietal hücreyi doğrudan ve ECL hücresini dolaylı uyararak. || [Physiology TUS Pearl Card Gastrin etkisi] keywords[1]: ECL hücresi,92,low,low
v397-physiology-g-hucresi,G hücresi,G hücresi | G cell | gastrin salgılayan hücre | gastrin hücresi,Fizyoloji / gastrointestinal,Enteroendokrin hücre,P1,Antrumda bulunan ve gastrin salgılayan enteroendokrin hücredir.,"Proteinler, mide distansiyonu ve vagal uyarı G hücrelerini aktive eder. Çok düşük lümen pH’ı ise somatostatin aracılığıyla gastrini baskılar.",G hücresi gastrin salgılar; D hücresi somatostatinle gastrini baskılar.,ECL hücresi histamin salgılar; G hücresi gastrin salgılar.,Gastrin | D hücresi | Somatostatin | Vagal uyarı,6,[Physiology Hap Card Override tus-pearl-physiology-204-extra] back: Düşük pH somatostatin salınımını artırarak G hücresinden gastrin salınımını inhibe eder. || [Physiology Hap Card Override tus-pearl-physiology-204-extra] answer: Düşük pH somatostatin salınımını artırarak G hücresinden gastrin salınımını inhibe eder.,92,low,low
v397-physiology-pankreatik-bikarbonat-sekresyonu,Pankreatik bikarbonat sekresyonu,Pankreatik bikarbonat sekresyonu | pancreatic bicarbonate secretion | pankreas HCO₃⁻ sekresyonu,Fizyoloji / gastrointestinal,Duodenal nötralizasyon,P1,Pankreas kanal hücrelerinden duodenuma HCO₃⁻ verilerek mide asidinin nötralize edilmesidir.,Duodenal pH düştüğünde sekretin salınır ve pankreatik bikarbonat sekresyonu artar. Bu süreç pankreatik enzimlerin çalışacağı pH ortamını hazırlar.,Sekretin pankreatik bikarbonatı artırır; CCK pankreatik enzimleri artırır.,Pankreatik enzim sekresyonu asıl CCK ile; bikarbonat sekresyonu sekretin ile öne çıkar.,Sekretin | S hücresi | HCO₃⁻ | Duodenal pH,17,[Physiology Case ai-spot-vakasiz-secki-174] options[2].text: Duodenal asit yüküne yanıt olarak pankreatik bikarbonat sekresyonunu artırır || [Physiology Case ai-spot-vakasiz-secki-174] correctOptionText: Duodenal asit yüküne yanıt olarak pankreatik bikarbonat sekresyonunu artırır,92,low,low
