id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceFilePath
v400-microbiology-etec-isiya-duyarli-toksin,ETEC ısıya duyarlı toksin,ETEC ısıya duyarlı toksin | LT toksini | heat-labile toxin,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P1,ETEC’in Gs üzerinden cAMP artışı yapan ısıya duyarlı enterotoksinidir.,LT toksini kolera toksinine benzer şekilde adenilat siklazı artırır. Sekretuar sulu ishal ve gezgin ishali patogenezinde önemlidir.,ETEC LT toksini cAMP; ST toksini cGMP artışıyla akılda tutulur.,EHEC invazyon olmadan kanlı ishal/HUS riski yapar; ETEC sekretuar sulu ishal yapar.,ETEC | cAMP | Gezgin ishali,207,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-etec-isiya-dayanikli-toksin,ETEC ısıya dayanıklı toksin,ETEC ısıya dayanıklı toksin | ST toksini | heat-stable toxin,Tıbbi Mikrobiyoloji,Bakteriyel toksin,P1,ETEC’in guanilat siklaz üzerinden cGMP artışı yapan ısıya dayanıklı enterotoksinidir.,ST toksini bağırsakta elektrolit ve su sekresyonunu artırır. Klinik olarak ateşsiz sulu ishal ve seyahat ilişkili ishal bağlamında sorulur.,ETEC ST toksini cGMP artışı yapar.,Kolera ve ETEC LT cAMP üzerinden; ETEC ST cGMP üzerinden sekretuar ishal yapar.,ETEC | cGMP | Gezgin ishali,39,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-pirinc-suyu-diski,Pirinç suyu dışkı,Pirinç suyu dışkı | rice-water stool,Tıbbi Mikrobiyoloji,Klinik bulgu,P1,"Kolera için klasik, mukuslu-beyazımsı yoğun sulu dışkı görünümüdür.",Pirinç suyu dışkı invazif inflamasyondan çok toksin aracılı sekretuar sıvı kaybını düşündürür. En kritik klinik öncelik hızlı rehidratasyondur.,Pirinç suyu dışkı + hızlı dehidratasyon = kolera düşün.,Kanlı-mukuslu tenesmus dizanteriyi; pirinç suyu dışkı kolerayı düşündürür.,Vibrio cholerae | Kolera toksini | Rehidratasyon,58,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-tcbs-agari,TCBS agarı,TCBS agarı | thiosulfate citrate bile salts sucrose agar,Tıbbi Mikrobiyoloji,Kültür besiyeri,P1,Vibrio türlerinin seçici izolasyonunda kullanılan besiyeridir.,TCBS agarı yüksek pH ve safra tuzlarıyla birçok bakteriyi baskılar; Vibrio cholerae sükroz fermentasyonu ile tipik koloniler verebilir. Klinik şüphede kültür için destekleyici bilgidir.,Kolera şüphesinde TCBS agarı Vibrio izolasyonu için klasik besiyeridir.,BCYE Legionella; Löwenstein-Jensen mikobakteriler için hatırlanır.,Vibrio cholerae | Pirinç suyu dışkı | Kültür,11,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-helicobacter-pylori-ureazi,Helicobacter pylori üreazı,Helicobacter pylori üreazı | H. pylori urease | üreaz aktivitesi,Tıbbi Mikrobiyoloji,Virülans / tanı enzimi,P0,H. pylori’nin üreyi amonyağa çevirerek mide asidinden korunmasını sağlayan enzimidir.,Üreaz amonyak oluşturarak lokal pH’ı yükseltir ve bakterinin gastrik mukozada yaşamasına yardım eder. Üre nefes testi ve hızlı üreaz testi bu enzimatik aktiviteye dayanır.,H. pylori için üreaz hem virülans hem tanı mantığının merkezindedir.,CagA/VacA doku hasarı ve ülser-kanser riskiyle; üreaz asitten korunma ve tanıyla ilişkilidir.,Helicobacter pylori | Üre nefes testi | Peptik ülser,231,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-ure-nefes-testi,Üre nefes testi,Üre nefes testi | urea breath test | C13 üre nefes testi,Tıbbi Mikrobiyoloji,Tanı testi,P0,Aktif H. pylori enfeksiyonunda bakteriyel üreaz aktivitesini dolaylı gösteren testtir.,Hasta işaretli üre alır; H. pylori üreazı üreyi parçalayınca işaretli CO₂ nefeste saptanır. Tedavi başarısını değerlendirmede de kullanılabilir.,Üre nefes testi aktif H. pylori enfeksiyonunu gösterir; yalnız geçmiş maruziyet testi değildir.,Seroloji geçmiş enfeksiyonla pozitif kalabilir; üre nefes testi aktif enfeksiyon için daha değerlidir.,Helicobacter pylori | Üreaz | Gastrit,63,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-caga,CagA,CagA | cytotoxin-associated gene A | CagA proteini,Tıbbi Mikrobiyoloji,Virülans faktörü,P1,H. pylori’nin inflamasyon ve malignite riskiyle ilişkili virülans proteinidir.,"CagA pozitif suşlar daha güçlü inflamatuvar yanıt, peptik ülser ve gastrik adenokarsinom riskiyle ilişkilendirilir. Epitel sinyal yollarını değiştirerek hücresel davranışı etkiler.","H. pylori’de CagA/VacA virülans, üreaz ise asitten korunma ve tanı mantığıdır.",Üreaz tanıda kullanılır; CagA daha çok patogenez ve risk artışıyla ilgilidir.,Helicobacter pylori | VacA | Gastrik kanser,37,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-vaca,VacA,VacA | vacuolating cytotoxin A | VacA toksini,Tıbbi Mikrobiyoloji,Virülans faktörü,P1,H. pylori’nin epitel hücrelerinde vakuolizasyon ve doku hasarı oluşturabilen toksinidir.,"VacA hücre içi vakuolizasyon, immün modülasyon ve mukozal hasarla ilişkilidir. CagA ile birlikte daha virülan H. pylori suşlarını düşündürebilir.",H. pylori virülansında CagA ve VacA beraber sorulabilir.,Üreaz aktif enfeksiyon tanısının; VacA doku hasarı/virülansın ipucudur.,Helicobacter pylori | CagA | Peptik ülser,37,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-bcye-agari,BCYE agarı,BCYE agarı | buffered charcoal yeast extract agar,Tıbbi Mikrobiyoloji,Kültür besiyeri,P0,Legionella pneumophila’nın özel kültüründe kullanılan kömür-maya ekstresi içeren besiyeridir.,Legionella standart kanlı agarda iyi üremez; L-sistein ve demir içeren BCYE agarı gerekir. Klinik olarak su aerosolu maruziyeti ve hiponatremiyle birlikte düşünülür.,"Legionella için hızlı test idrar antijeni, kültür için BCYE agarıdır.",TCBS Vibrio; Löwenstein-Jensen mikobakteri; BCYE Legionella için kullanılır.,Legionella pneumophila | Legionella idrar antijeni | Atipik pnömoni,224,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-serogrup-1-antijeni,Serogrup 1 antijeni,Serogrup 1 antijeni | Legionella serogroup 1 urinary antigen | Legionella idrar antijeni serogrup 1,Tıbbi Mikrobiyoloji,Antijen testi,P1,Legionella idrar antijen testinin en klasik olarak yakaladığı antijendir.,İdrar antijeni hızlıdır ve özellikle Legionella pneumophila serogrup 1 için değerlidir. Negatif sonuç tüm Legionella türlerini dışlamaz; kültür veya PCR gerekebilir.,Legionella idrar antijeni hızlıdır ama en çok serogrup 1’i yakalar.,Kültür için BCYE agarı gerekir; idrar antijeni hızlı tarama sağlar.,Legionella pneumophila | BCYE agarı | Atipik pnömoni,210,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-mycoplasma-hucre-duvari-yoklugu,Mycoplasma hücre duvarı yokluğu,Mycoplasma hücre duvarı yokluğu | peptidoglikan yokluğu | cell wall absent Mycoplasma,Tıbbi Mikrobiyoloji,Atypical bakteri özelliği,P0,Mycoplasma pneumoniae’nin peptidoglikan hücre duvarı taşımamasıdır.,"Hücre duvarı olmadığı için Gram boyama sınırlıdır ve beta-laktam antibiyotikler etkisizdir. Atipik pnömoni, soğuk aglutinin ve okul/askeri ortam salgınıyla sorulur.",Beta-laktama yanıtsız atipik pnömonide hücre duvarsız Mycoplasma düşünülür.,Chlamydia zorunlu intraselülerdir; Mycoplasma hücre duvarı yokluğu ile ayrılır.,Mycoplasma pneumoniae | Soğuk aglutinin | Beta-laktam,165,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-chlamydia-elementer-cisimcik,Chlamydia elementer cisimcik,Chlamydia elementer cisimcik | elementer cisimcik | elementary body,Tıbbi Mikrobiyoloji,Hücresel yaşam döngüsü,P0,Chlamydia’nın çevrede dayanıklı ve enfektif formudur.,Elementer cisimcik konak hücreye tutunup içeri alınır; hücre içinde retiküler cisimciğe dönüşerek çoğalır. Bu ayrım Chlamydia yaşam döngüsünün temelidir.,"Chlamydia’da elementer cisimcik enfektif, retiküler cisimcik çoğalan formdur.",Spor bakterilerde çevresel dayanıklılık sağlar; Chlamydia’da elementer cisimcik enfektif partiküldür.,Chlamydia trachomatis | Retiküler cisimcik | Zorunlu intraselüler bakteri,64,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-chlamydia-retikuler-cisimcik,Chlamydia retiküler cisimcik,Chlamydia retiküler cisimcik | retiküler cisimcik | reticulate body,Tıbbi Mikrobiyoloji,Hücresel yaşam döngüsü,P0,Chlamydia’nın konak hücre içinde metabolik olarak aktif ve çoğalan formudur.,"Retiküler cisimcik hücre içinde bölünür, sonra yeniden elementer cisimciğe dönüşerek diğer hücrelere yayılır. Bu döngü zorunlu intraselüler yaşamı açıklar.",Retiküler cisimcik çoğalan; elementer cisimcik bulaştırıcı formdur.,Elementer form çevresel dayanıklı/enfektiftir; retiküler form hücre içinde çoğalır.,Chlamydia trachomatis | Elementer cisimcik | NAAT,62,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-rose-bengal-testi,Rose Bengal testi,Rose Bengal testi | Rose Bengal aglütinasyon testi,Tıbbi Mikrobiyoloji,Serolojik test,P1,Bruselloz taramasında kullanılan hızlı aglütinasyon testidir.,"Pastörize edilmemiş süt ürünü, dalgalı ateş ve osteoartiküler yakınmalarla birlikte Rose Bengal pozitifliği brusellozu destekler. Kesin değerlendirme kültür/seroloji bağlamıyla yapılır.",Undülan ateş + pastörize edilmemiş süt + Rose Bengal = Brucella düşün.,Widal testi tifo için; Rose Bengal bruselloz için kullanılır.,Brucella | Undülan ateş | Zoonotik enfeksiyon,89,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-marti-kanadi-gorunumu,Martı kanadı görünümü,Martı kanadı görünümü | gull-wing appearance | Campylobacter martı kanadı,Tıbbi Mikrobiyoloji,Morfoloji / mikroskopi,P1,Campylobacter jejuni’nin eğri gram negatif basil morfolojisini anlatan klasik görünümdür.,Az pişmiş tavuk sonrası kanlı ishal ve ardından Guillain-Barré sendromu gelişimiyle birlikte bu morfoloji C. jejuni lehinedir. Mikroaerofilik koşullarda ürer.,Az pişmiş tavuk + kanlı ishal + GBS + martı kanadı = Campylobacter jejuni.,Vibrio virgül şeklinde; Campylobacter martı kanadı/eğri basil olarak hatırlanır.,Campylobacter jejuni | Mikroaerofilik üreme | Moleküler benzerlik,70,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-mikroaerofilik-ureme,Mikroaerofilik üreme,Mikroaerofilik üreme | microaerophilic growth,Tıbbi Mikrobiyoloji,Mikrobiyolojik üreme özelliği,P1,Atmosferik oksijenden daha düşük oksijen düzeyinde en iyi üreme özelliğidir.,Campylobacter jejuni mikroaerofilik koşullarda ürer ve özel kültür koşulları gerektirir. Bu bilgi laboratuvar ayırımında önemlidir.,Campylobacter için mikroaerofilik üreme klasik ipucudur.,Anaerob bakteriler oksijensiz ortam ister; mikroaerofiller düşük oksijen düzeyi ister.,Campylobacter jejuni | Martı kanadı görünümü | Dışkı kültürü,124,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-nocardia-zayif-asit-fast,Nocardia zayıf asit-fast,Nocardia zayıf asit-fast | weakly acid-fast Nocardia | modifiye asit-fast Nocardia,Tıbbi Mikrobiyoloji,Morfoloji / boyama,P0,Nocardia’nın modifiye asit-fast boyamada kısmen pozitif görülebilmesidir.,"Nocardia aerob, dallanan filamentöz gram pozitif bakteri olarak akciğer ve beyin apsesi yapabilir. Zayıf asit-fast özellik aktinomikozdan ayrımda önemlidir.",İmmünsüprese hastada akciğer + beyin apsesi + zayıf asit-fast dallanan bakteri = Nocardia.,Actinomyces anaerob ve asit-fast değildir; Nocardia aerob ve zayıf asit-fasttır.,Nocardia | Modifiye Ziehl-Neelsen boyası | Dallanan filamentöz bakteri,139,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-modifiye-ziehl-neelsen-boyasi,Modifiye Ziehl-Neelsen boyası,Modifiye Ziehl-Neelsen boyası | modified Ziehl-Neelsen | modifiye asit-fast boyama,Tıbbi Mikrobiyoloji,Mikrobiyolojik boyama,P1,Zayıf asit-fast organizmaları göstermek için kullanılan asit-fast boyama modifikasyonudur.,Nocardia gibi zayıf asit-fast bakteriler klasik asit-fast boyamada her zaman belirgin olmayabilir. Modifiye yöntemler daha düşük asit ile dekolorizasyon yaparak bu özelliği gösterebilir.,Nocardia için modifiye asit-fast boyama ipucudur.,Mycobacterium klasik asit-fast basil; Nocardia zayıf/modifiye asit-fast olarak ayrılır.,Nocardia | Asit-fast basil | Ziehl-Neelsen boyası,52,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-lowenstein-jensen-besiyeri,Löwenstein-Jensen besiyeri,Löwenstein-Jensen besiyeri | Lowenstein-Jensen medium | LJ besiyeri,Tıbbi Mikrobiyoloji,Kültür besiyeri,P1,Mikobakterilerin kültüründe kullanılan yumurta bazlı özel besiyeridir.,M. tuberculosis yavaş ürer ve özel kültür koşulları gerektirir. Löwenstein-Jensen besiyeri mikobakteriyel kültür için klasik sınav bilgisidir.,Asit-fast basil + yavaş kültür + Löwenstein-Jensen = Mycobacterium tuberculosis.,"BCYE Legionella, TCBS Vibrio; Löwenstein-Jensen mikobakteriler için kullanılır.",Mycobacterium tuberculosis | Asit-fast basil | Ziehl-Neelsen boyası,54,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-cord-faktor,Cord faktör,Cord faktör | trehalose dimycolate | kord faktör,Tıbbi Mikrobiyoloji,Mikobakteriyel virülans,P1,M. tuberculosis’in serpentin kord görünümü ve virülansıyla ilişkili mikolik asit içeren glikolipididir.,Cord faktör makrofaj yanıtını ve granülomatöz inflamasyonu etkileyen önemli virülans bileşenidir. Tüberküloz patogenezinde hücre duvarı lipidlerinin rolünü gösterir.,Tüberküloz virülansında cord faktör ve sulfolipidler hücre duvarı lipid mantığını temsil eder.,Mikolik asit asit-fast boyanmayı; cord faktör virülans ve kord görünümünü destekler.,Mycobacterium tuberculosis | Mikolik asit | Kazeifiye granülom,203,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-nterferon-gamma-salinim-testi,Interferon-gamma salınım testi,Interferon-gamma salınım testi | IGRA | interferon gamma release assay,Tıbbi Mikrobiyoloji,İmmünolojik tanı testi,P1,Tüberküloz antijenlerine T hücre yanıtını ölçen kan testidir.,IGRA latent veya geçirilmiş TB enfeksiyonuna karşı hücresel immün yanıtı gösterir. BCG aşısından tüberkülin deri testine göre daha az etkilenmesi sınavda önemlidir.,BCG etkilenmesi daha az olan TB tarama testi IGRA’dır.,"Aktif hastalık tanısı için tek başına yeterli değildir; klinik, radyoloji ve mikrobiyolojik kanıt gerekir.",Tüberkülin deri testi | Mycobacterium tuberculosis | Hücresel immünite,11,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-anti-hbs,Anti-HBs,Anti-HBs | hepatit B yüzey antikoru | HBsAb,Tıbbi Mikrobiyoloji,Viral seroloji,P0,HBV yüzey antijenine karşı gelişen koruyucu antikordur.,"Anti-HBs iyileşme veya aşı bağışıklığını gösterir. Aşılı kişide anti-HBs pozitif, anti-HBc negatiftir; doğal enfeksiyon sonrası anti-HBc de pozitif beklenir.","Aşı bağışıklığı: anti-HBs pozitif, anti-HBc negatif.",Anti-HBc doğal enfeksiyonu gösterir; anti-HBs tek başına aşı yanıtını gösterebilir.,HBsAg | Anti-HBc IgG | HBV serolojisi,2438,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-anti-hbc-gm,Anti-HBc IgM,Anti-HBc IgM | HBc IgM | hepatit B core IgM,Tıbbi Mikrobiyoloji,Viral seroloji,P0,Akut HBV enfeksiyonunu ve pencere dönemini gösteren core antikorudur.,HBsAg kaybolup anti-HBs henüz oluşmadığında anti-HBc IgM pozitifliği akut enfeksiyon kanıtı olarak kalır. Bu nedenle pencere dönemi sorularında en kritik belirteçtir.,HBV pencere döneminde en yararlı belirteç anti-HBc IgM’dir.,Anti-HBc IgG geçirilmiş/doğal enfeksiyon izini daha çok gösterir; IgM akut dönemi gösterir.,HBV pencere dönemi | HBsAg | Anti-HBs,219,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-anti-hbc-gg,Anti-HBc IgG,Anti-HBc IgG | HBc IgG | hepatit B core IgG,Tıbbi Mikrobiyoloji,Viral seroloji,P1,Doğal HBV enfeksiyonu sonrası kalıcı olabilen core antikorudur.,Anti-HBc IgG aşıyla oluşmaz; doğal enfeksiyon geçirme bilgisini destekler. Anti-HBs ile birlikte pozitifse geçirilmiş enfeksiyon ve bağışıklık düşünülür.,"Anti-HBc varlığı doğal enfeksiyon izidir, aşı tek başına anti-HBc oluşturmaz.",Anti-HBs aşı veya iyileşme gösterebilir; anti-HBc doğal enfeksiyon ayrımını sağlar.,Anti-HBs | HBsAg | HBV serolojisi,108,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-hcv-rna,HCV RNA,HCV RNA | hepatit C RNA | HCV viral RNA,Tıbbi Mikrobiyoloji,Viral moleküler test,P1,Aktif hepatit C replikasyonunu gösteren viral nükleik asit testidir.,Anti-HCV maruziyeti gösterirken HCV RNA aktif viremi ve tedavi yanıtını değerlendirmede kullanılır. Erken enfeksiyon veya immünsüpresyonda moleküler test daha belirleyici olabilir.,HCV’de aktif enfeksiyon/tedavi takibi için HCV RNA kullanılır.,Anti-HCV geçmiş veya mevcut maruziyeti gösterebilir; HCV RNA aktif replikasyonu gösterir.,Hepatit C | Viral yük | PCR,3,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-hav-gm,HAV IgM,HAV IgM | Anti-HAV IgM | hepatit A IgM,Tıbbi Mikrobiyoloji,Viral seroloji,P0,Akut hepatit A enfeksiyonunu gösteren serolojik belirteçtir.,"HAV fekal-oral bulaşır ve akut, genellikle kendini sınırlayan hepatit yapar. Akut dönemde anti-HAV IgM pozitifliği tanısal değerdedir.",Akut hepatit A için anti-HAV IgM beklenir.,Anti-HAV IgG geçirilmiş enfeksiyon veya aşı bağışıklığını gösterir.,HAV IgG | Fekal-oral bulaş | Akut hepatit,20,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-hav-gg,HAV IgG,HAV IgG | Anti-HAV IgG | hepatit A IgG,Tıbbi Mikrobiyoloji,Viral seroloji,P1,Geçirilmiş hepatit A enfeksiyonu veya aşı sonrası bağışıklığı gösteren antikordur.,Anti-HAV IgG akut hastalığı değil bağışıklık durumunu gösterir. Akut enfeksiyon için IgM değerlendirilir.,"HAV IgG bağışıklığı, HAV IgM akut enfeksiyonu düşündürür.",HBV’de seroloji daha karmaşıktır; HAV’da IgM/IgG ayrımı temel mantıktır.,HAV IgM | Aktif immünizasyon | Fekal-oral bulaş,88,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-ebv-vca-gm,EBV VCA IgM,EBV VCA IgM | VCA IgM | viral capsid antigen IgM,Tıbbi Mikrobiyoloji,Viral seroloji,P0,Primer EBV enfeksiyonunun erken döneminde pozitifleşen viral kapsid antikorudur.,Enfeksiyöz mononükleozda heterofil antikorla birlikte VCA IgM akut primer EBV enfeksiyonunu destekler. EBNA genellikle daha geç pozitifleşir.,Akut EBV için VCA IgM; geçirilmiş enfeksiyon için EBNA daha çok kullanılır.,CMV mononükleoz benzeri tablo yapabilir ama heterofil antikor genellikle negatiftir.,EBV | Heterofil antikor | Atipik lenfosit,177,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-ebv-ebna,EBV EBNA,EBV EBNA | EBNA | Epstein-Barr nuclear antigen,Tıbbi Mikrobiyoloji,Viral seroloji,P1,EBV enfeksiyonundan sonra geç dönemde ortaya çıkan nükleer antijene karşı yanıttır.,EBNA pozitifliği genellikle geçirilmiş EBV enfeksiyonunu destekler. Akut primer enfeksiyonda başlangıçta negatif kalabilir.,VCA IgM akut EBV; EBNA geç/geçirilmiş enfeksiyon bilgisidir.,Heterofil antikor akut mononükleozda yardımcıdır; EBNA zamanlama ayrımı sağlar.,EBV VCA IgM | Heterofil antikor | Enfeksiyöz mononükleoz,83,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-cmv-pp65-antijeni,CMV pp65 antijeni,CMV pp65 antijeni | pp65 antijenemi | CMV pp65 antigen,Tıbbi Mikrobiyoloji,Viral tanı testi,P1,CMV enfeksiyonunda lökositlerde saptanabilen fosfoprotein antijenidir.,pp65 antijenemi testi özellikle transplant ve immünsüprese hastalarda CMV aktivitesini izlemek için kullanılmıştır. Günümüzde CMV PCR viral yük takibi daha sık öne çıkar.,Transplant hastasında CMV izleminde pp65 antijenemi veya CMV PCR mantığı sorulabilir.,Seroloji bağışıklık/maruz kalma bilgisini verir; pp65/PCR aktif replikasyon izlemi sağlar.,CMV PCR | CMV retiniti | Transplant immünsüpresyonu,145,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-cmv-pcr,CMV PCR,CMV PCR | Sitomegalovirüs PCR | CMV viral yük,Tıbbi Mikrobiyoloji,Viral moleküler test,P0,CMV DNA düzeyini göstererek aktif replikasyon takibinde kullanılan testtir.,Transplant alıcılarında veya ağır immünsüpresyonda CMV hastalığını izlemek için PCR değerlidir. Klinik tabloyla birlikte yorumlanır; tek başına düşük düzey pozitiflik her zaman doku invazyonu anlamına gelmez.,Transplant sonrası retinit/kolit şüphesinde CMV PCR ve doku bulgusu birlikte düşünülür.,CMV IgG geçmiş maruziyeti; PCR aktif replikasyon düzeyini gösterir.,CMV retiniti | Baykuş gözü inklüzyonu | Transplant,235,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-baykus-gozu-inkluzyonu,Baykuş gözü inklüzyonu,Baykuş gözü inklüzyonu | owl eye inclusion | CMV intranükleer inklüzyonu,Tıbbi Mikrobiyoloji,Viral histopatoloji,P0,CMV enfeksiyonunda büyük intranükleer inklüzyonla tanımlanan klasik hücre görünümüdür.,"CMV dokuda sitopatik etkiyle büyük hücreler ve çevresinde halo olan inklüzyonlar oluşturabilir. Retinit, kolit, pnömoni gibi invazif hastalıkta doku tanısına destek verir.",Baykuş gözü inklüzyonu CMV’nin en klasik histolojik ipucudur.,HSV Cowdry A inklüzyonu ve Tzanck bulguları herpes simpleks/varisella için daha tipiktir.,CMV | CMV retiniti | CMV PCR,188,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
v400-microbiology-h-v-ccr5-tropizmi,HIV CCR5 tropizmi,HIV CCR5 tropizmi | CCR5 tropik HIV | R5 tropizm,Tıbbi Mikrobiyoloji,Viral tropizm,P1,HIV’in makrofaj/T hücre girişinde CCR5 koreseptörünü kullanma eğilimidir.,CCR5 tropik suşlar erken enfeksiyonda sık görülür ve CCR5 antagonistleri bu giriş basamağını hedefleyebilir. Koreseptör seçimi viral tropizmi belirler.,HIV tropizminde CCR5 erken/makrofaj tropik; CXCR4 daha geç T hücre tropik paternle sorulabilir.,CXCR4 tropizmi daha çok T hücre tropik geç dönem suşlarla ilişkilendirilir.,HIV gp120 | CCR5 | Maravirok,161,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlMedicalMicrobiologyFirst52Overrides.js; src/data/tusPearlMedicalMicrobiologySecond52Overrides.js
