id,term,aliases,category,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceExamples
v407-small-clerkships-interselluler-immunfloresan,İntersellüler immünfloresan,İntersellüler immünfloresan; balık ağı immünfloresan; ağsı immünfloresan,Küçük Stajlar,Dermatoloji - immünfloresan paterni,P1,Epidermiste hücreler arası ağsı IgG/C3 boyanma paternidir.,Pemfigus vulgariste desmozomal proteinlere karşı antikorlar intersellüler boyanma oluşturur. Bu patern tanıyı subepidermal lineer boyanmalı hastalıklardan ayırır.,Ağsı intersellüler IF = pemfigus; lineer bazal membran IF = pemfigoid düşün.,Lineer IgG/C3 birikimi hemidesmozomal/bazal membran hastalığı lehinedir.,Pemfigus vulgaris; Desmoglein 3; Lineer IgG/C3,11,"Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || Mukozal erozyon, gevşek bül, pozitif Nikolsky bulgusu, suprabazal akantoliz ve intersellüler immünfloresan paternle seyreden bu hastalıkta hedef alınan temel adezyon proteini hangisidir? || Desmoglein 3"
v407-small-clerkships-gevsek-bul,Gevşek bül,Gevşek bül; flasid bül; kolay patlayan bül,Küçük Stajlar,Dermatoloji - lezyon morfolojisi,P1,"İnce duvarlı, kolay yırtılan sıvı dolu deri lezyonudur.",İntraepidermal ayrışma nedeniyle pemfigus vulgariste büller gevşek ve kolay patlar; geride ağrılı erozyon bırakır.,Gevşek bül + mukozal erozyon pemfigus lehine; gergin bül pemfigoid lehine.,SJS/TEN’de yaygın epidermal nekroliz ve ilaç ilişkisi daha baskındır.,Pemfigus vulgaris; Nikolsky bulgusu; Mukozal erozyon,73,"Ağız yaraları ve gevşek büller || Ağrılı oral erozyon ve gevşek bül paterninde intraepidermal otoimmün büllöz hastalığı tanıyıp hedef adezyon proteinini ayırt etme. || Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme."
v407-small-clerkships-mukozal-erozyon,Mukozal erozyon,Mukozal erozyon; oral erozyon; ağız içi erozyon,Küçük Stajlar,Dermatoloji - mukozal lezyon,P1,Mukoza yüzeyinin epitel kaybıyla ağrılı açık lezyona dönüşmesidir.,Pemfigus vulgariste ağız içi ağrılı erozyonlar erken ve belirgin olabilir. Bu bulgu büllöz pemfigoid gibi daha çok deri ağırlıklı hastalıklardan ayırmada değerlidir.,Ağızda iyileşmeyen ağrılı erozyon + gevşek bül = pemfigus vulgaris.,Aftöz ülserler sınırlı ve tekrarlayıcı olabilir; pemfigusta yaygın büllöz/erozif deri-mukoza paterni vardır.,Pemfigus vulgaris; Desmoglein 3; Nikolsky bulgusu,30,"Ağrılı oral erozyon ve gevşek bül paterninde intraepidermal otoimmün büllöz hastalığı tanıyıp hedef adezyon proteinini ayırt etme. || Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || 52 yaşında kadın hasta, dermatoloji polikliniğinde kronik oral erozyon ve gevşek büller nedeniyle değerlendiriliyor."
v407-small-clerkships-hemidesmozom,Hemidesmozom,Hemidesmozom; hemidesmosom,Küçük Stajlar,Dermatoloji - bazal membran bağlantısı,P1,Epidermal bazal hücreleri bazal membrana bağlayan adezyon kompleksidir.,Büllöz pemfigoidde BP180/BP230 gibi hemidesmozomal yapılara karşı antikorlar subepidermal ayrışma ve gergin bül oluşturur.,Gergin bül + yaşlı hasta + hemidesmozom hedefi = büllöz pemfigoid.,Desmoglein hedefi pemfigus vulgaris; hemidesmozom hedefi pemfigoid lehinedir.,Büllöz pemfigoid; BP180; Subepidermal bül,69,"Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || Dağılım ve morfoloji intraepidermal büllöz süreci düşündürürken gergin subepidermal bül, çocukluk başlangıcı veya ilaç ilişkili akut reaksiyon öyküsü desteklenmemektedir. || BP180 kollajen"
v407-small-clerkships-bp180,BP180,BP180; BPAG2; kollajen XVII,Küçük Stajlar,Dermatoloji - büllöz pemfigoid antijeni,P1,Büllöz pemfigoidde hedef alınabilen hemidesmozomal transmembran proteindir.,"BP180/BP230 antikorları bazal membran bölgesinde ayrışmaya yol açar. Klinik olarak kaşıntılı, gergin büller ve lineer IgG/C3 birikimi beklenir.",Büllöz pemfigoidde hedefler BP180/BP230; ayrışma subepidermaldir.,Desmoglein antikorları intraepidermal pemfigus tablosu yapar.,Büllöz pemfigoid; Hemidesmozom; Lineer IgG/C3,13,"Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || BP180 kollajen || BP180 hemidesmozomal büllöz pemfigoid hedefidir; genellikle yaşlı hastada gergin subepidermal büller ve lineer bazal membran immünfloresansı beklenir. Bu olguda gevşek bül, suprabazal akantoliz ve intersellüler patern vardır."
v407-small-clerkships-subepidermal-bul,Subepidermal bül,Subepidermal bül; subepidermal ayrışma,Küçük Stajlar,Dermatoloji - histopatoloji,P1,Ayrışmanın epidermis ile dermis arasında olduğu bül tipidir.,Büllöz pemfigoidde bül çatısı daha sağlam olduğu için lezyonlar gergindir. Bu anatomik düzey pemfigus vulgaristeki suprabazal akantolizden temel ayrımı oluşturur.,Gergin bülün histolojik karşılığı çoğunlukla subepidermal ayrışmadır.,İntraepidermal büller daha gevşek ve kolay rüptüre olur.,Büllöz pemfigoid; Hemidesmozom; Gergin bül,47,"Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || Hasta yaklaşık iki aydır ağız içinde iyileşmeyen ağrılı yaralar nedeniyle yemek yerken zorlandığını anlatır. Son üç haftada gövde, saçlı deri ve sırt bölgesinde ince duvarlı, kolay patlayan su dolu kabarcıklar gelişmiştir. Lezyonlar açıldıktan sonra ağrılı erozyonlar bırakmakta, belirgin travma olmadan yeni alanlar oluşabilmektedir. Yeni ilaç kullanımı, yanık, kimyasal temas veya son dönemde febril enfeksiyon öyküsü yoktur. Gözde yapışıklık, yaygın gergin bül veya çocukluktan beri süren benzer l || Dağılım ve morfoloji intraepidermal büllöz süreci düşündürürken gergin subepidermal bül, çocukluk başlangıcı veya ilaç ilişkili akut reaksiyon öyküsü desteklenmemektedir."
v407-small-clerkships-lineer-igg-c3-birikimi,Lineer IgG/C3 birikimi,Lineer IgG/C3 birikimi; lineer C3; lineer IgG,Küçük Stajlar,Dermatoloji - immünfloresan paterni,P1,Bazal membran hattı boyunca lineer IgG ve/veya C3 boyanmasıdır.,Büllöz pemfigoidin tipik immünfloresan paternidir. Pemfigus vulgaristeki intersellüler ağsı boyanmadan ayrılır.,Lineer bazal membran IgG/C3 = pemfigoid paternidir.,"Ağsı intersellüler boyanma pemfigusu, lineer bazal membran boyanması pemfigoidi destekler.",Büllöz pemfigoid; Hemidesmozom; BP180,23,"Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || BP180 kollajen || BP180 hemidesmozomal büllöz pemfigoid hedefidir; genellikle yaşlı hastada gergin subepidermal büller ve lineer bazal membran immünfloresansı beklenir. Bu olguda gevşek bül, suprabazal akantoliz ve intersellüler patern vardır."
v407-small-clerkships-gergin-bul,Gergin bül,Gergin bül; tense bül,Küçük Stajlar,Dermatoloji - lezyon morfolojisi,P1,"Kalın çatılı, kolay yırtılmayan sıvı dolu deri lezyonudur.",Subepidermal ayrışma nedeniyle büllöz pemfigoidde büller gergindir. Mukozal tutulum pemfigus vulgarise göre daha azdır.,Yaşlı hasta + kaşıntılı gergin bül = büllöz pemfigoid düşün.,Gevşek bül ve belirgin oral erozyon pemfigus vulgaris lehinedir.,Büllöz pemfigoid; Subepidermal bül; Lineer IgG/C3,48,"Pemfigus vulgariste desmozomal desmoglein hedefini; büllöz pemfigoid, muköz membran pemfigoid, epidermolizis bülloza akizita ve hemidesmozomal hastalıklardan ayırt edebilme. || Hasta yaklaşık iki aydır ağız içinde iyileşmeyen ağrılı yaralar nedeniyle yemek yerken zorlandığını anlatır. Son üç haftada gövde, saçlı deri ve sırt bölgesinde ince duvarlı, kolay patlayan su dolu kabarcıklar gelişmiştir. Lezyonlar açıldıktan sonra ağrılı erozyonlar bırakmakta, belirgin travma olmadan yeni alanlar oluşabilmektedir. Yeni ilaç kullanımı, yanık, kimyasal temas veya son dönemde febril enfeksiyon öyküsü yoktur. Gözde yapışıklık, yaygın gergin bül veya çocukluktan beri süren benzer l || Dağılım ve morfoloji intraepidermal büllöz süreci düşündürürken gergin subepidermal bül, çocukluk başlangıcı veya ilaç ilişkili akut reaksiyon öyküsü desteklenmemektedir."
v407-small-clerkships-pitriyazis-rosea,Pitriyazis rosea,Pitriyazis rosea; pityriasis rosea,Küçük Stajlar,Dermatoloji - papüloskuamöz hastalık,P1,Genellikle öncü plak ve gövdede çam ağacı dağılımıyla seyreden benign döküntüdür.,Sistemik ağır hastalık bulgusu olmadan oval skuamlı lezyonlar yapar. Klinik tanı çoğu kez yeterlidir; tinea veya sekonder sifiliz gibi ayırıcılar lezyon dağılımı ve testlerle ayrılır.,Madalyon plak + çam ağacı dağılımı = pitriyazis rosea.,Tinea korporiste KOH pozitif dermatofit hifleri; sifilizde palmoplantar döküntü ve seroloji beklenir.,Madalyon plak; Kollaret skuam; Çam ağacı dağılımı,12,Pitriyazis rosea || Pitriyazis rosea. || Pitriyazis rosea genellikle nasıl seyreder?
v407-small-clerkships-madalyon-plak,Madalyon plak,Madalyon plak; herald patch; öncü plak,Küçük Stajlar,Dermatoloji - papüloskuamöz ipucu,P1,Pitriyazis rosea başlangıcında görülen daha büyük öncü oval skuamlı lezyondur.,Daha sonra gövdede çok sayıda küçük oval lezyon gelişir. Bu öncü lezyon tanıyı alerjik döküntü veya dermatofit enfeksiyonundan ayırmaya yardım eder.,Tek büyük öncü plak ardından yaygın döküntü pitriyazis rosea lehinedir.,Tinea lezyonu kenarda aktif skuam ve KOH pozitifliğiyle ayrılır.,Pitriyazis rosea; Kollaret skuam; Çam ağacı dağılımı,7,Pitriyazis rosea || Herald patch ve Christmas tree dağılımı hangi dermatolojik tabloyu düşündürür? || Pitriyazis rosea.
v407-small-clerkships-kollaret-skuam,Kollaret skuam,Kollaret skuam; collarette scale,Küçük Stajlar,Dermatoloji - lezyon morfolojisi,P2,Lezyon kenarına yakın halka tarzı ince skuamlanma görünümüdür.,Pitriyazis rosea plaklarında sık tanımlanan bir morfolojik ipucudur. Klinik morfoloji doğru okunursa gereksiz antifungal/antibiyotik kullanımından kaçınılır.,Oval plak + kollaret skuam pitriyazis rosea lehinedir.,Psoriasis skuamı daha kalın-gümüşi olabilir; tinea aktif kenarlı halka yapar.,Pitriyazis rosea; Madalyon plak; Çam ağacı dağılımı,0,Pitriyazis rosea || Pitriyazis rosea. || Pitriyazis rosea genellikle nasıl seyreder?
v407-small-clerkships-cam-agaci-dagilimi,Çam ağacı dağılımı,Çam ağacı dağılımı; christmas tree pattern; çam ağacı paterni,Küçük Stajlar,Dermatoloji - döküntü dağılımı,P2,Gövde cilt çizgileri boyunca dizilen oval lezyonların oluşturduğu paterndir.,Pitriyazis rosea için klasik dağılım ifadesidir. Döküntünün simetrik ve gövde ağırlıklı olması ayırıcı tanıda önem taşır.,Gövde çizgilerine paralel çam ağacı paterni pitriyazis rosea ipucudur.,Diffüz ürtiker geçici kabarıklıklarla seyreder; pitriyazis rosea daha sabit skuamlı plaklar yapar.,Pitriyazis rosea; Madalyon plak; Kollaret skuam,0,Pitriyazis rosea || Pitriyazis rosea. || Pitriyazis rosea genellikle nasıl seyreder?
v407-small-clerkships-tinea-pedis,Tinea pedis,Tinea pedis; athlete’s foot; ayak mantarı,Küçük Stajlar,Dermatoloji - dermatofit enfeksiyonu,P1,Ayakta dermatofitlerin neden olduğu yüzeyel mantar enfeksiyonudur.,"İnterdigital maserasyon, kaşıntı, skuam ve bazen fissürlerle seyreder. KOH incelemesinde septalı hiflerin görülmesi tanıyı destekler.",Ayak parmak arası maserasyon + KOH’da hif = tinea pedis.,"Egzamada KOH negatif olabilir; bakteriyel selülitte derin ağrı, eritem ve sistemik bulgular daha belirgindir.",Dermatofit; KOH incelemesi; İnterdigital maserasyon,7,Her iki hastalıkta da temel mekanizma dermatofit hifalarının epidermisi invaze etmesidir || Yanlıştır. Dermatofit hifaları tinea enfeksiyonlarını düşündürür. Pemfigus vulgaris ve büllöz pemfigoid otoimmün büllöz hastalıklardır. || Tinea pedis
v407-small-clerkships-interdigital-maserasyon,İnterdigital maserasyon,İnterdigital maserasyon; parmak arası maserasyon,Küçük Stajlar,Dermatoloji - ayak lezyonu,P1,"Parmak aralarında nemle yumuşama, beyazlaşma ve soyulma görünümüdür.",Tinea pediste özellikle üçüncü-dördüncü veya dördüncü-beşinci parmak aralarında görülür. Mantar enfeksiyonuna bağlı bariyer bozulması bakteriyel süperenfeksiyona zemin hazırlayabilir.,Parmak arası maserasyon tinea pedis için güçlü morfolojik ipucudur.,Kontakt dermatitte temas öyküsü ve yaygın ekzematöz patern daha baskındır.,Tinea pedis; Dermatofit; KOH incelemesi,0,Her iki hastalıkta da temel mekanizma dermatofit hifalarının epidermisi invaze etmesidir || Yanlıştır. Dermatofit hifaları tinea enfeksiyonlarını düşündürür. Pemfigus vulgaris ve büllöz pemfigoid otoimmün büllöz hastalıklardır. || Tinea pedis
v407-small-clerkships-koh-incelemesi,KOH incelemesi,KOH incelemesi; KOH testi; potasyum hidroksit incelemesi,Küçük Stajlar,Dermatoloji - mikolojik tanı,P1,Deri kazıntısında potasyum hidroksitle keratin temizlenerek mantar elemanlarının görülmesidir.,Tinea pedis gibi dermatofit enfeksiyonlarında septalı hifleri gösterebilir. Klinik şüpheyi objektif hale getirir ve gereksiz steroid kullanımını önler.,Skuamlı lezyonda KOH pozitif septalı hif dermatofit lehinedir.,Bakteriyel enfeksiyon kültür/Gram ile; dermatofit ise KOH mikroskopisiyle desteklenir.,Tinea pedis; Dermatofit; Septalı hif,0,Her iki hastalıkta da temel mekanizma dermatofit hifalarının epidermisi invaze etmesidir || Yanlıştır. Dermatofit hifaları tinea enfeksiyonlarını düşündürür. Pemfigus vulgaris ve büllöz pemfigoid otoimmün büllöz hastalıklardır. || Tinea pedis
v407-small-clerkships-munro-mikroapsesi,Munro mikroapsesi,Munro mikroapsesi; Munro absesi,Küçük Stajlar,Dermatoloji - psoriasis histolojisi,P1,Stratum korneum içinde nötrofil birikimlerinden oluşan küçük mikroapselerdir.,"Psoriasis vulgarisin histolojik ipuçlarındandır. Parakeratoz, akantoz ve uzamış rete çıkıntılarıyla birlikte değerlendirilir.",Psoriasis histolojisinde Munro mikroapsesi sık sorulan ipucudur.,Pemfigusta akantoliz; psoriasisde epidermal hiperproliferasyon ve nötrofilik mikroapseler öne çıkar.,Psoriasis vulgaris; Parakeratoz; Akantoz,0,"Psoriasis vulgaris histopatolojisiyle ilgili en uygun ifade aşağıdakilerden hangisidir? || Parakeratoz, akantoz ve munro mikroabseleri görülebilir || Psoriasis epidermal hiperproliferasyon ve inflamasyonla seyreden kronik inflamatuvar deri hastalığıdır. Histolojide akantoz, parakeratoz, rete çıkıntılarında uzama ve stratum korneumda nötrofil birikimleri olan Munro mikroabseleri görülebilir."
v407-small-clerkships-parakeratoz,Parakeratoz,Parakeratoz; parakeratosis,Küçük Stajlar,Dermatoloji - epidermal histoloji,P1,Stratum korneumda çekirdekli keratinositlerin kalmasıdır.,Psoriasis gibi hızlı epidermal döngü durumlarında görülür. Histolojik olarak hiperproliferatif deri hastalığı mantığını açıklar.,Psoriasisde hızlı keratinosit döngüsü parakeratoz yapar.,Normal ortokeratozda stratum korneumda çekirdek bulunmaz.,Psoriasis vulgaris; Munro mikroapsesi; Akantoz,31,"Psoriasis vulgaris histopatolojisiyle ilgili en uygun ifade aşağıdakilerden hangisidir? || Parakeratoz, akantoz ve munro mikroabseleri görülebilir || Psoriasis epidermal hiperproliferasyon ve inflamasyonla seyreden kronik inflamatuvar deri hastalığıdır. Histolojide akantoz, parakeratoz, rete çıkıntılarında uzama ve stratum korneumda nötrofil birikimleri olan Munro mikroabseleri görülebilir."
v407-small-clerkships-akantoz,Akantoz,Akantoz; epidermal akantoz,Küçük Stajlar,Dermatoloji - epidermal kalınlaşma,P1,Epidermisin stratum spinosum tabakasında kalınlaşmadır.,Psoriasisde epidermal hiperplazi ve rete çıkıntılarının uzamasıyla birlikte görülür. Bu morfoloji kalın skuamlı plak görünümünü açıklar.,Akantoz epidermal hiperplazi demektir; psoriasis histolojisinde önemlidir.,Akantoliz hücreler arası bağ kaybıdır; akantoz kalınlaşmadır.,Psoriasis vulgaris; Parakeratoz; Munro mikroapsesi,31,"Psoriasis vulgaris histopatolojisiyle ilgili en uygun ifade aşağıdakilerden hangisidir? || Parakeratoz, akantoz ve munro mikroabseleri görülebilir || Psoriasis epidermal hiperproliferasyon ve inflamasyonla seyreden kronik inflamatuvar deri hastalığıdır. Histolojide akantoz, parakeratoz, rete çıkıntılarında uzama ve stratum korneumda nötrofil birikimleri olan Munro mikroabseleri görülebilir."
v407-small-clerkships-koebner-fenomeni,Koebner fenomeni,Koebner fenomeni; isomorfik yanıt,Küçük Stajlar,Dermatoloji - tetiklenme paterni,P1,Travma bölgelerinde aynı hastalığa ait yeni lezyonların gelişmesidir.,"Psoriasis gibi bazı dermatozlarda kaşıma, kesik veya sürtünme alanlarında yeni plaklar çıkabilir. TUS’ta lezyon oluşum mekanizması ve öykü bağlantısı açısından değerlidir.",Travma hattında psoriasis plağı = Koebner fenomeni.,Enfeksiyöz yayılım değildir; mekanik travmanın inflamatuvar hastalığı tetiklemesidir.,Psoriasis vulgaris; Auspitz fenomeni; Plak psoriasis,0,"Psoriasis vulgaris histopatolojisiyle ilgili en uygun ifade aşağıdakilerden hangisidir? || Doğru cevap A’dır. Psoriasis vulgariste epidermal turnover artmıştır; bu durum parakeratoz, akantoz ve düzenli rete uzantıları ile histolojik olarak yansır. Stratum korneum içinde nötrofil kümeleri Munro mikroabseleri olarak adlandırılır. Suprabazal akantoliz pemfigus vulgaris için, subepidermal bül ve lineer IgG/C3 birikimi büllöz pemfigoid için, kazeifiye granülomlar tüberküloz gibi granülomatöz hastalıklar için, melanosit kaybı ise vitiligo için daha uygundur."
v407-small-clerkships-auspitz-fenomeni,Auspitz fenomeni,Auspitz fenomeni; Auspitz bulgusu,Küçük Stajlar,Dermatoloji - psoriasis muayenesi,P1,Psoriasis plağının skuamı kaldırıldığında noktasal kanama görülmesidir.,Papiller dermisteki uzamış damarlar ve incelmiş suprapapiller epidermisle ilişkilidir. Klinik morfolojiyi histolojiyle bağlayan öğretici bir bulgudur.,Gümüşi skuam kaldırılınca noktasal kanama = Auspitz.,Tinea lezyonunda aktif halka kenarı ve KOH pozitifliği ayırıcıdır.,Psoriasis vulgaris; Parakeratoz; Koebner fenomeni,0,"Psoriasis vulgaris histopatolojisiyle ilgili en uygun ifade aşağıdakilerden hangisidir? || Parakeratoz, akantoz ve munro mikroabseleri görülebilir || Psoriasis epidermal hiperproliferasyon ve inflamasyonla seyreden kronik inflamatuvar deri hastalığıdır. Histolojide akantoz, parakeratoz, rete çıkıntılarında uzama ve stratum korneumda nötrofil birikimleri olan Munro mikroabseleri görülebilir."
v407-small-clerkships-kornea-odemi,Kornea ödemi,Kornea ödemi; korneal ödem; korneal bulanıklık,Küçük Stajlar,Göz Hastalıkları - akut kırmızı göz,P1,Korneanın sıvı birikimiyle bulanıklaşmasıdır.,Akut açı kapanması glokomunda yüksek göz içi basıncı korneal ödem yaparak bulanık görme ve halelere neden olabilir. Ağrılı kırmızı gözde acil glokom zincirini düşündürür.,Ağrılı kırmızı göz + halo + kornea ödemi = akut açı kapanması glokomu.,Konjonktivitte görme genellikle korunur ve korneal bulanıklık beklenmez.,Akut açı kapanması glokomu; Göz içi basıncı; Orta dilate pupil,115,"Akut açı kapanması glokomunda ilk hedefin göz içi basıncını hızla düşürmek olduğunu; antibiyotik, antihistaminik, refraksiyon veya elektif cerrahi planının akut görme tehdidini çözmediğini ayırt edebilme. || Sağ gözde belirgin siliyer enjeksiyon ve diffüz korneal bulanıklık izlenir; pürülan akıntı yoktur. || Tek taraflı görme azalması, kornea ödemi ve pupil yanıt bozukluğu yüzeyel kırmızı göz nedenlerinden daha ciddi intraoküler acil olasılığını güçlendirir."
v407-small-clerkships-orta-dilate-isiga-yanitsiz-pupil,Orta dilate ışığa yanıtsız pupil,Orta dilate ışığa yanıtsız pupil; mid-dilated fixed pupil; ışığa yanıtsız orta dilate pupil,Küçük Stajlar,Göz Hastalıkları - akut glokom bulgusu,P0,Pupilin orta genişlikte kalıp ışığa yeterli yanıt vermemesidir.,Akut açı kapanması glokomunda iris-lens diyaframı ve yüksek basınç nedeniyle görülebilir. Bu bulgu ağrılı kırmızı gözde aciliyet düzeyini artırır.,Orta dilate sabit pupil akut açı kapanması glokomu için alarmdır.,Üveitte pupil genellikle küçük/irregüler olabilir; akut glokomda yüksek basınç ve orta dilate pupil öne çıkar.,Akut açı kapanması glokomu; Göz içi basıncı; Kornea ödemi,15,"Akut açı kapanması glokomunda ilk hedefin göz içi basıncını hızla düşürmek olduğunu; antibiyotik, antihistaminik, refraksiyon veya elektif cerrahi planının akut görme tehdidini çözmediğini ayırt edebilme. || Tek taraflı görme azalması, kornea ödemi ve pupil yanıt bozukluğu yüzeyel kırmızı göz nedenlerinden daha ciddi intraoküler acil olasılığını güçlendirir. || Göz içi basıncı ölçümü"
v407-small-clerkships-renkli-halo,Renkli halo,Renkli halo; halo görme; haleler,Küçük Stajlar,Göz Hastalıkları - görsel semptom,P1,Işık çevresinde renkli halkalar görme yakınmasıdır.,"Akut açı kapanması glokomunda kornea ödemi ışığın kırılmasını bozarak halelere yol açabilir. Bulantı, ağrı ve yüksek göz içi basıncıyla birlikte tanısal değeri artar.",Haleler + şiddetli göz ağrısı + bulantı = akut açı kapanması düşün.,Migren aurası genellikle nörolojik görsel fenomenlerle seyreder; glokomda ağrılı kırmızı göz ve yüksek GİB vardır.,Akut açı kapanması glokomu; Kornea ödemi; Göz içi basıncı,74,"Akut açı kapanması glokomunda ilk hedefin göz içi basıncını hızla düşürmek olduğunu; antibiyotik, antihistaminik, refraksiyon veya elektif cerrahi planının akut görme tehdidini çözmediğini ayırt edebilme. || Hasta, sağ gözde ani başlayan şiddetli ağrı, görme bulanıklığı, ışıkların etrafında renkli haleler ve bulantı nedeniyle acil servise başvuruyor. || Karanlık ortam sonrası başlayan şiddetli göz ağrısı, haleler, bulantı, kornea bulanıklığı ve pupil yanıt bozukluğu vardır."
v407-small-clerkships-periferik-lazer-iridotomi,Periferik lazer iridotomi,Periferik lazer iridotomi; lazer iridotomi; periferik iridotomi,Küçük Stajlar,Göz Hastalıkları - glokom tedavisi,P1,İris üzerinde küçük açıklık oluşturarak aköz akım blokajını azaltan işlemdir.,Akut açı kapanması kontrol altına alındıktan sonra kesin/önleyici tedavi olarak uygulanabilir. Ama ilk saatlerde basıncı düşüren medikal tedavi ve acil göz konsültasyonu önceliklidir.,Akut krizde önce GİB düşür; kalıcı çözüm periferik iridotomi olabilir.,Primer açık açılı glokom kroniktir; açı kapanmasında anatomik blok ve acil müdahale vardır.,Akut açı kapanması glokomu; Göz içi basıncı; Asetazolamid,10,"Akut açı kapanması glokomunda ilk hedefin göz içi basıncını hızla düşürmek olduğunu; antibiyotik, antihistaminik, refraksiyon veya elektif cerrahi planının akut görme tehdidini çözmediğini ayırt edebilme. || Göz içi basıncı ölçümü || Akut açı kapanması glokomu bulguları olan bu hastada görmeyi korumak için ilk acil medikal yaklaşım hangisidir?"
v407-small-clerkships-fotopsi,Fotopsi,Fotopsi; ışık çakması; ışık çakmaları,Küçük Stajlar,Göz Hastalıkları - retina semptomu,P0,Görme alanında ışık çakmaları algılanmasıdır.,Retina yırtığı veya dekolmanında vitreoretinal çekinti fotopsiye neden olabilir. Yeni uçuşmalar ve perde tarzı görme kaybıyla birlikte acil retina değerlendirmesi gerektirir.,Fotopsi + yeni uçuşma + perde inmesi = retina dekolmanı/yırtığı düşün.,Migren aurası bilateral/zigzaglı ve geçici olabilir; retina dekolmanı tek gözde ilerleyici alan kaybı yapabilir.,Retina dekolmanı; Uçuşma; Perde tarzı görme kaybı,58,"Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme. || Sol göz ağrısı akşam saatlerinde loş bir odada başladı ve yaklaşık iki saat içinde hızla şiddetlendi. Hasta ışıkların etrafında renkli halkalar gördüğünü, görmesinin buğulandığını ve bulantısının arttığını söyler. Daha önce kısa süren benzer bulanık görme atakları olmuş ancak kendiliğinden düzeldiği için başvurmamıştır. Göz travması, kontakt lens kullanımı, pürülan akıntı, uçuşma-perde inmesi veya göz hareketiyle belirgin ağrı tariflemez. Sistemik enfeksiyon bulgusu yoktur. || Perde inmesi/uçuşma"
v407-small-clerkships-ucusma,Uçuşma,Uçuşma; floaters; siyah uçuşma,Küçük Stajlar,Göz Hastalıkları - vitreus semptomu,P1,Görme alanında siyah noktalar veya hareketli parçacıklar algılanmasıdır.,Yeni başlayan çok sayıda uçuşma retina yırtığı/dekolmanı habercisi olabilir. Özellikle fotopsi ve periferden ilerleyen perde hissi eşlik ederse acildir.,Yeni uçuşma basit yaşlanma bulgusu diye geçilmez; fotopsi/perde varsa retina acilidir.,Katarakt daha kronik bulanık görme yapar; akut uçuşma retina-vitreus kaynaklıdır.,Retina dekolmanı; Fotopsi; Vitreus,74,"Haleler, kornea ödemi, orta dilate pupil ve yüksek GİB birlikteliğini; retina dekolmanı, optik nörit, anterior üveit ve keratit tablolarından ayırabilme. || Sol göz ağrısı akşam saatlerinde loş bir odada başladı ve yaklaşık iki saat içinde hızla şiddetlendi. Hasta ışıkların etrafında renkli halkalar gördüğünü, görmesinin buğulandığını ve bulantısının arttığını söyler. Daha önce kısa süren benzer bulanık görme atakları olmuş ancak kendiliğinden düzeldiği için başvurmamıştır. Göz travması, kontakt lens kullanımı, pürülan akıntı, uçuşma-perde inmesi veya göz hareketiyle belirgin ağrı tariflemez. Sistemik enfeksiyon bulgusu yoktur. || Perde inmesi/uçuşma"
