id,term,aliases,subcategory,priority,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,occurrenceCount,sourceTextExamples
v402-pharmacology-metronidazol-disulfiram-benzeri-reaksiyon,Metronidazol disülfiram benzeri reaksiyon,Metronidazol disülfiram benzeri reaksiyon | metronidazol alkol reaksiyonu,Antimikrobiyal yan etkiler,P1,"Metronidazol ile alkol alımında flushing, bulantı, taşikardi benzeri reaksiyon gelişebilmesidir.",Klinik öğretici nokta anaerob/protozoon tedavisinde alkol uyarısıdır. Ayrıca metalik tat ve periferik nöropati gibi yan etkiler de akılda tutulur.,Metronidazol kullanırken alkol alınmamalıdır; disülfiram benzeri reaksiyon sorulabilir.,Disülfiram alkol bağımlılığında asetaldehit dehidrogenazı hedefler; metronidazol yan etki bağlamında benzer tablo yapabilir.,Metronidazol | Anaerob tedavisi | Alkol,0,Presinaptik asetilkolin salınımının azaltılması botulinum toksini benzeri bir mekanizmadır. Organofosfat zehirlenmesinde problem salınım artışından çok yıkımın engellenmesi ve sinaptik birikimdir. || Presinaptik asetilkolin salınımının azaltılması botulinum toksini benzeri bir mekanizmadır. Organofosfat zehirlenmesinde problem salınım artışından çok yıkımın engellenmesi ve sinaptik birikimdir.
v402-pharmacology-izoniazid-noropatisi,İzoniazid nöropatisi,İzoniazid nöropatisi | INH nöropatisi,Antitüberküloz ilaçlar,P1,İzoniazidin piridoksin eksikliğine bağlı periferik nöropati yapabilmesidir.,İzoniazid B6 metabolizmasını etkileyerek nöropati ve nöbet riskini artırabilir; bu nedenle piridoksin desteği özellikle riskli hastalarda önemlidir. Hepatotoksisite de takip edilmelidir.,İzoniazid kullanırken periferik nöropatiyi önlemek için piridoksin verilir.,Etambutol optik nörit; izoniazid periferik nöropati ve hepatotoksisite ile öne çıkar.,İzoniazid | Piridoksin | Periferik nöropati,0,"Hasta yaklaşık altı saat önce çok sayıda parasetamol tableti aldığını, tablet sayısını net hatırlamadığını söylemektedir. İlk saatlerde belirgin yakınması yokken son birkaç saatte bulantı ve epigastrik/sağ üst kadran rahatsızlığı başlamıştır. Kronik alkol kullanımı, izoniazid tedavisi veya bilinen kronik karaciğer hastalığı öyküsü yoktur. Acil serviste alım zamanı bilindiği için serum düzeyi ve başlangıç karaciğer testleri birlikte değerlendirilir. Tedavi kararı, klinik olarak ağır karaciğer yet || Hasta yaklaşık altı saat önce çok sayıda parasetamol tableti aldığını, tablet sayısını net hatırlamadığını söylemektedir. İlk saatlerde belirgin yakınması yokken son birkaç saatte bulantı ve epigastrik/sağ üst kadran rahatsızlığı başlamıştır. Kronik alkol kullanımı, izoniazid tedavisi veya bilinen kronik karaciğer hastalığı öyküsü yoktur. Acil serviste alım zamanı bilindiği için serum düzeyi ve başlangıç karaciğer testleri birlikte değerlendirilir. Tedavi kararı, klinik olarak ağır karaciğer yet"
v402-pharmacology-rifampisin-cyp-induksiyonu,Rifampisin CYP indüksiyonu,Rifampisin CYP indüksiyonu | rifampin CYP indüksiyonu,Antitüberküloz ilaçlar,P1,Rifampisinin hepatik CYP enzimlerini güçlü indükleyerek ilaç düzeylerini azaltmasıdır.,"Oral kontraseptif, warfarin ve birçok antiretroviral ilaçla etkileşim klinik açıdan önemlidir. Turuncu vücut sıvıları sınavlarda klasik ipucudur.",Rifampisin güçlü CYP indükleyicidir.,Azol antifungaller genellikle CYP inhibitörü; rifampisin indükleyici olarak ayrılır.,Rifampisin | CYP450 | İlaç etkileşimi,2,"Etambutol optik nörit, rifampisin CYP indüksiyonu/turuncu sekresyon, pirazinamid hiperürisemi ile ayrılır. || Etambutol optik nörit, rifampisin CYP indüksiyonu/turuncu sekresyon, pirazinamid hiperürisemi ile ayrılır."
v402-pharmacology-etambutol-optik-norit,Etambutol optik nörit,Etambutol optik nörit | etambutol görme toksisitesi,Antitüberküloz ilaçlar,P1,Etambutolün optik nörit ve kırmızı-yeşil renk görme bozukluğu yapabilmesidir.,Tedavi sırasında görme yakınması gelişirse ilaç yan etkisi akla gelmelidir. Bu toksisite antitüberküloz ilaçların ayırıcı yan etkileri içinde sık sorulur.,Etambutol = optik nörit ve kırmızı-yeşil renk körlüğü.,İzoniazid periferik nöropati; rifampisin CYP indüksiyonu; etambutol optik nöritle ayrılır.,Etambutol | Optik nörit | Tüberküloz tedavisi,4,"Etambutol optik nörit, rifampisin CYP indüksiyonu/turuncu sekresyon, pirazinamid hiperürisemi ile ayrılır. || Streptomisin ototoksisite, izoniazid periferik nöropati, etambutol optik nörit ile ayrılır."
v402-pharmacology-linezolid-mao-inhibisyonu,Linezolid MAO inhibisyonu,Linezolid MAO inhibisyonu | linezolid serotonin sendromu riski,Antibiyotik yan etkileri,P1,Linezolidin zayıf MAO inhibitör etkisi nedeniyle serotonerjik ilaçlarla serotonin sendromu riskidir.,"MRSA/VRE gibi dirençli Gram pozitiflerde kullanılan linezolid, SSRI gibi ilaçlarla etkileşebilir. Uzun kullanımda kemik iliği baskılanması ve periferik/optik nöropati de önemlidir.",Linezolid + SSRI = serotonin sendromu riski.,Vankomisin infüzyon reaksiyonu; linezolid MAO inhibisyonu ve miyelosupresyonla ayrılır.,Linezolid | MAO inhibitörü | Serotonin sendromu,0,"Serotonin toksisitesinde sorumlu ilaçların kesilmesi, destek tedavisi, benzodiazepinle ajitasyon kontrolü ve orta-ağır olguda siproheptadin yaklaşımını NMS/malign hipertermiden ayırabilme. || Hasta depresyon nedeniyle düzenli SSRI kullanmaktadır ve iki gün önce dirençli yumuşak doku enfeksiyonu için linezolid başlanmıştır. Yakınları aynı gün içinde hastanın giderek huzursuzlaştığını, belirgin terlediğini, titrediğini ve sık dışkıladığını belirtir. Alkol veya uyarıcı madde kullanımı tariflenmez; son haftalarda antipsikotik başlanmamış veya dozu artırılmamıştır. Evde bilinç kaybı ya da nöbet gözlenmemiştir. Acil serviste çevresine karşı irrite, yerinde duramayan ve ateşli görünmektedir"
v402-pharmacology-amfoterisin-b-nefrotoksisitesi,Amfoterisin B nefrotoksisitesi,Amfoterisin B nefrotoksisitesi | amphotericin B nefrotoksisite,Antifungal yan etkileri,P1,Amfoterisin B’nin böbrek tübüler hasarı ve elektrolit kaybı yapabilmesidir.,Ergosterole bağlanarak fungal membranda por oluşturur; insan hücre membran etkileri ve renal vazokonstriksiyon/tübüler hasar toksisiteye katkı sağlar. Hipokalemi ve hipomagnezemi takip edilir.,Amfoterisin B = geniş antifungal etki + nefrotoksisite.,Azoller ergosterol sentezini inhibe eder; amfoterisin membranda por oluşturur.,Amfoterisin B | Ergosterol | Hipokalemi,0,Aminoglikozidler 30S’e bağlanıp yanlış okumaya neden olur; konsantrasyon bağımlı bakterisidal etki gösterir ve ototoksisite/nefrotoksisite riski renal fonksiyonla yakından ilişkilidir. || Aminoglikozidler 30S’e bağlanıp yanlış okumaya neden olur; konsantrasyon bağımlı bakterisidal etki gösterir ve ototoksisite/nefrotoksisite riski renal fonksiyonla yakından ilişkilidir.
v402-pharmacology-azol-cyp-inhibisyonu,Azol CYP inhibisyonu,Azol CYP inhibisyonu | azol antifungal CYP inhibisyonu,Antifungal farmakoloji,P1,Azol antifungallerin CYP enzimlerini inhibe ederek ilaç etkileşimi yapabilmesidir.,"Azoller 14-alfa demetilazı inhibe ederek ergosterol sentezini azaltır; aynı zamanda hepatik CYP inhibisyonu nedeniyle warfarin, statin ve diğer ilaç düzeylerini artırabilir.",Azol antifungal = ergosterol sentez inhibisyonu + CYP etkileşimi.,Rifampisin CYP indükler; azoller CYP inhibe eder.,Azol antifungal | CYP450 | Ergosterol,0,
v402-pharmacology-ekinokandin,Ekinokandin,Ekinokandin | kaspofungin | mikafungin,Antifungal farmakoloji,P1,Fungal hücre duvarında beta-glukan sentezini inhibe eden antifungal sınıftır.,Memeli hücrelerinde hücre duvarı olmadığı için hedef seçiciliği yüksektir. Candida ve Aspergillus bağlamında klinik kullanımı vardır.,Ekinokandin = beta-glukan sentez inhibitörü.,Azoller ergosterol sentezini; amfoterisin B ergosterole bağlanmayı hedefler.,Beta-glukan sentaz | Candida | Aspergillus,0,
v402-pharmacology-ssri,SSRI,SSRI | selektif serotonin geri alım inhibitörü,Psikofarmakoloji,P1,Serotonin geri alımını inhibe ederek sinaptik serotonin etkisini artıran antidepresan sınıfıdır.,"Depresyon ve anksiyete bozukluklarında kullanılır; gastrointestinal yan etki, cinsel işlev bozukluğu, serotonin sendromu ve kesilme semptomları önemlidir.",SSRI toksisitesi TCA’ya göre genelde daha güvenlidir; serotonin sendromu etkileşimle önem kazanır.,TCA antikolinerjik ve kardiyotoksik; SSRI serotonerjik yan etkilerle ayrılır.,Serotonin sendromu | SERT | Cinsel yan etki,32,"Hasta depresyon nedeniyle düzenli SSRI kullanmaktadır ve iki gün önce dirençli yumuşak doku enfeksiyonu için linezolid başlanmıştır. Yakınları aynı gün içinde hastanın giderek huzursuzlaştığını, belirgin terlediğini, titrediğini ve sık dışkıladığını belirtir. Alkol veya uyarıcı madde kullanımı tariflenmez; son haftalarda antipsikotik başlanmamış veya dozu artırılmamıştır. Evde bilinç kaybı ya da nöbet gözlenmemiştir. Acil serviste çevresine karşı irrite, yerinde duramayan ve ateşli görünmektedir || SSRI kullanımı üzerine linezolid başlanmasından sonra ajitasyon, terleme, ishal, hipertermi, hiperrefleksi ve klonus gelişmiştir."
v402-pharmacology-mao-inhibitoru,MAO inhibitörü,MAO inhibitörü | monoamin oksidaz inhibitörü,Psikofarmakoloji,P1,"Monoamin yıkımını azaltarak serotonin, noradrenalin ve dopamin düzeylerini artıran ilaç sınıfıdır.",Tiramin içeren gıdalar veya serotonerjik ilaçlarla ciddi hipertansif kriz/serotonin sendromu riski oluşturabilir. İlaç etkileşimi ve diyet kısıtlaması sınavda temel noktadır.,MAO inhibitörü + tiramin = hipertansif kriz.,SSRI serotonini geri alımdan korur; MAO inhibitörü monoamin yıkımını azaltır.,Tiramin | Hipertansif kriz | Serotonin sendromu,3,Zayıf MAO inhibitörü etkisi nedeniyle serotonerjik ilaçlarla serotonin sendromu riski artabilir; ifade doğrudur. || Zayıf MAO inhibitörü etkisi nedeniyle serotonerjik ilaçlarla serotonin sendromu riski artabilir; ifade doğrudur.
v402-pharmacology-lityum-toksisitesi,Lityum toksisitesi,Lityum toksisitesi | lityum zehirlenmesi,Psikofarmakoloji / Toksikoloji,P1,"Dar terapötik aralıklı lityumun tremor, ataksi, bilinç değişikliği, böbrek ve tiroid etkileriyle seyreden toksisitesidir.","Sodyum dengesi ve böbrek fonksiyonu lityum düzeylerini etkiler; diüretikler, ACE inhibitörleri ve NSAİİ düzeyi artırabilir. Nefrojenik DI ve hipotiroidi önemli kronik etkileridir.",Lityum düzeyi böbrek/sodyum dengesi ve ilaç etkileşimlerinden güçlü etkilenir.,Valproat hepatotoksisite; karbamazepin SIADH/agranülositoz; lityum renal-tiroid etkilerle ayrılır.,Dar terapötik aralık | Nefrojenik diabetes insipidus | Hipotiroidi,0,Organofosfat zehirlenmesinde atropin muskarinik reseptörleri bloke eder; pralidoksim ise yaşlanma gelişmeden kolinesterazı reaktive etmeyi hedeflediği için nikotinik bulgularda özellikle ayırt ettiricidir. || Organofosfat zehirlenmesinde atropin muskarinik reseptörleri bloke eder; pralidoksim ise yaşlanma gelişmeden kolinesterazı reaktive etmeyi hedeflediği için nikotinik bulgularda özellikle ayırt ettiricidir.
v402-pharmacology-valproat-hepatotoksisitesi,Valproat hepatotoksisitesi,Valproat hepatotoksisitesi | valproik asit hepatotoksisite,Antiepileptikler,P1,Valproat kullanımında özellikle çocuklarda ve mitokondriyal duyarlılıkta ciddi karaciğer hasarı riskidir.,"GABA düzeyini artıran ve sodyum kanal etkileri olan geniş spektrumlu antiepileptiktir. Hepatotoksisite, pankreatit, kilo alımı, tremor, trombositopeni ve teratojenite sınavda önemlidir.",Valproat = nöral tüp defekti + hepatotoksisite + pankreatit riski.,Lamotrijin SJS; karbamazepin HLA-B*1502/SIADH; valproat hepatotoksisite-teratojenite ile ayrılır.,Valproat | Teratojenite | GABA,0,"Yakınları hastanın yaklaşık 6 saat önce çok sayıda parasetamol tableti aldığını belirtmektedir. Hasta bulantı ve sağ üst kadranda hafif rahatsızlık tariflemekte, kusma dışında belirgin yakınması olmadığını söylemektedir. Kronik karaciğer hastalığı, düzenli alkol kullanımı veya eş zamanlı başka ilaç alımı bildirilmemiştir. Alım zamanı güvenilir olduğundan serum düzeyi zamanla birlikte değerlendirilmiştir. Erken klinik sakinliğe rağmen hepatotoksisite riski açısından laboratuvar takibi yapılmıştır || Yakınları hastanın yaklaşık 6 saat önce çok sayıda parasetamol tableti aldığını belirtmektedir. Hasta bulantı ve sağ üst kadranda hafif rahatsızlık tariflemekte, kusma dışında belirgin yakınması olmadığını söylemektedir. Kronik karaciğer hastalığı, düzenli alkol kullanımı veya eş zamanlı başka ilaç alımı bildirilmemiştir. Alım zamanı güvenilir olduğundan serum düzeyi zamanla birlikte değerlendirilmiştir. Erken klinik sakinliğe rağmen hepatotoksisite riski açısından laboratuvar takibi yapılmıştır"
v402-pharmacology-lamotrijin-stevens-johnson-riski,Lamotrijin Stevens-Johnson riski,Lamotrijin Stevens-Johnson riski | lamotrijin SJS,Antiepileptikler,P1,Lamotrijin kullanımında ciddi döküntü ve Stevens-Johnson sendromu gelişebilme riskidir.,Dozun hızlı artırılması riski artırabilir. Klinik pratikte yeni döküntü gelişirse ilacın kesilmesi önemlidir; bu yan etki antiepileptik karşılaştırmalarında yüksek verimlidir.,Lamotrijin sorusunda ciddi deri reaksiyonu/SJS akılda tutulur.,Karbamazepin de SJS yapabilir; HLA-B*1502 ilişkisi özellikle karbamazepinde klasikleşmiştir.,Lamotrijin | Stevens-Johnson sendromu | Antiepileptik,0,Serotonerjik etkileşim riski || Serotonerjik etkileşim riski
v402-pharmacology-karbamazepin-hla-b-1502,Karbamazepin HLA-B*1502,Karbamazepin HLA-B*1502 | HLA-B*1502 karbamazepin,Antiepileptikler / Farmakogenetik,P1,Bazı popülasyonlarda karbamazepinle Stevens-Johnson/TEN riskini artıran HLA ilişkisidir.,"Farmakogenetik tarama, ağır deri reaksiyonlarını önleme mantığını öğretir. Karbamazepin ayrıca SIADH, agranülositoz ve CYP indüksiyonu yapabilir.",Karbamazepin + HLA-B*1502 = SJS/TEN riski.,Lamotrijin de SJS yapabilir; HLA-B*1502 eşleşmesi karbamazepin için daha klasik sınav bilgisidir.,Karbamazepin | Stevens-Johnson sendromu | Farmakogenetik,0,Karbamazepin ciddi deri reaksiyonu || karbamazepin
v402-pharmacology-levodopa-karbidopa,Levodopa-karbidopa,Levodopa-karbidopa | levodopa carbidopa,Parkinson ilaçları,P1,"Levodopa dopamin prekürsörü, karbidopa periferik DOPA dekarboksilaz inhibitörüdür.","Karbidopa periferik dopamin oluşumunu azaltır, levodopanın santral etkisini artırır ve periferik yan etkileri azaltır. Uzun kullanımda wearing-off ve diskinezi gelişebilir.",Karbidopa periferde levodopa yıkımını azaltır; BBB’yi geçmez.,Dopamin agonistleri doğrudan reseptörü uyarır; levodopa dopamin prekürsörüdür.,DOPA dekarboksilaz | Dopamin | Diskinezi,0,
v402-pharmacology-dopamin-agonisti,Dopamin agonisti,Dopamin agonisti | pramipeksol | ropinirol,Parkinson ilaçları,P1,Dopamin reseptörlerini doğrudan uyararak parkinson semptomlarını azaltan ilaç grubudur.,"Levodopadan farklı olarak dopamin prekürsörü değildir; reseptör düzeyinde etki eder. Uyku atakları, halüsinasyon ve dürtü kontrol bozukluğu yan etki olarak sorulabilir.",Dopamin agonistlerinde dürtü kontrol bozukluğu ve uyku atağı klasik yan etkidir.,Levodopa-karbidopa prekürsör/enzyme inhibition ilişkisiyle ayrılır.,Dopamin reseptörü | Parkinson hastalığı | Dürtü kontrol bozukluğu,9,"Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir. || Bu yaklaşım toksidromun nedenini ortadan kaldırır ve hipertermi, ajitasyon ile nöromüsküler hiperaktiviteyi hedefler. Klonus/hiperrefleksi baskın olduğu için dopamin agonisti veya rijidite odaklı tedavi öncelikli değildir."
v402-pharmacology-inhaler-kortikosteroid,İnhaler kortikosteroid,İnhaler kortikosteroid | ICS | budesonid | flutikazon,Solunum farmakolojisi,P1,Astımda hava yolu inflamasyonunu baskılayan temel kontrol edici inhaler ilaç sınıfıdır.,Gen ekspresyonu üzerinden sitokin üretimini ve eozinofilik inflamasyonu azaltır. Lokal kandidiyazis ve ses kısıklığı riski nedeniyle ağız çalkalama önerilir.,Astımda kontrol edici temel tedavi inhaler kortikosteroiddir.,SABA hızlı semptom rahatlatır; ICS altta yatan inflamasyonu kontrol eder.,Astım | Eozinofilik inflamasyon | Lokal kandidiyazis,0,"Hasta hafif persistan astım öyküsü olmasına rağmen migren profilaksisi ve hipertansiyon kontrolü için propranolol kullanmaya başlamıştır. İlk birkaç dozdan sonra göğüste sıkışma, kuru öksürük ve hışıltılı solunum fark etmiş; albuterol inhalerine yanıtı önceki ataklarına göre daha zayıf olmuştur. Ateş, balgam veya göğüs ağrısı tariflememektedir. Daha önce beta-bloker kullanmamış, yeni antibiyotik veya NSAİİ maruziyeti bildirmemiştir. || Hasta hafif persistan astım öyküsü olmasına rağmen migren profilaksisi ve hipertansiyon kontrolü için propranolol kullanmaya başlamıştır. İlk birkaç dozdan sonra göğüste sıkışma, kuru öksürük ve hışıltılı solunum fark etmiş; albuterol inhalerine yanıtı önceki ataklarına göre daha zayıf olmuştur. Ateş, balgam veya göğüs ağrısı tariflememektedir. Daha önce beta-bloker kullanmamış, yeni antibiyotik veya NSAİİ maruziyeti bildirmemiştir."
v402-pharmacology-ipratropium,İpratropium,İpratropium | ipratropyum | kısa etkili muskarinik antagonist,Solunum farmakolojisi,P1,Hava yolunda muskarinik reseptörleri bloke ederek bronkodilatasyon sağlayan inhaler antikolinerjik ilaçtır.,Özellikle KOAH alevlenmesinde beta-2 agonistlere ek bronkodilatör etki sağlar. Sistemik antikolinerjik yan etki inhaler kullanımda sınırlıdır.,KOAH alevlenmesinde SABA + ipratropium kombinasyonu sık kullanılır.,SABA beta-2 reseptörü uyarır; ipratropium muskarinik blokaj yapar.,Muskarinik reseptör | KOAH | Bronkodilatasyon,0,Organofosfat maruziyetinde muskarinik ve nikotinik kolinerjik bulguları birlikte tanıyıp pralidoksimin enzim düzeyindeki antidot mekanizmasını ayırt etme. || İnsektisit maruziyetiyle birlikte kolinesteraz aktivitesinin belirgin baskılanması sinaptik asetilkolin birikimini destekler; bu veri antidotun hangi hedef düzeyde etkili olacağını düşünmeye yönlendirir.
v402-pharmacology-h2-reseptor-blokeri,H2 reseptör blokeri,H2 reseptör blokeri | famotidin | ranitidin,Gastrointestinal farmakoloji,P1,Parietal hücrede histamin H2 reseptörünü bloke ederek asit salınımını azaltan ilaç sınıfıdır.,cAMP aracılı asit sekresyonunu azaltır; PPI kadar güçlü değildir. Özellikle gece asit sekresyonu üzerinde etkilidir.,H2 blokerler histamin yolunu hedefler; PPI proton pompasını hedefler.,Antasit asidi nötralize eder; H2 bloker üretimi azaltır.,Histamin H2 reseptörü | Parietal hücre | cAMP,0,"Yakınları hastanın yaklaşık 3-4 saat önce normal dozunun üzerinde çok sayıda propranolol tableti aldığını belirtmektedir. İlacı migren profilaksisi ve hipertansiyon için düzenli kullandığı, son günlerde ek kalsiyum kanal blokeri veya digoksin başlamadığı öğrenilmiştir. Acile getirildiğinde belirgin halsizlik, baş dönmesi ve uykuya eğilim vardır. Kusma ya da travma öyküsü alınmaz; evde başka ilaç kutusu bulunmamıştır. || Yakınları hastanın yaklaşık 3-4 saat önce normal dozunun üzerinde çok sayıda propranolol tableti aldığını belirtmektedir. İlacı migren profilaksisi ve hipertansiyon için düzenli kullandığı, son günlerde ek kalsiyum kanal blokeri veya digoksin başlamadığı öğrenilmiştir. Acile getirildiğinde belirgin halsizlik, baş dönmesi ve uykuya eğilim vardır. Kusma ya da travma öyküsü alınmaz; evde başka ilaç kutusu bulunmamıştır."
v402-pharmacology-misoprostol,Misoprostol,Misoprostol | PGE1 analoğu misoprostol,Gastrointestinal / Obstetrik farmakoloji,P1,Prostaglandin E1 analoğu olup mide mukozasını korur ve uterotonik etki gösterebilir.,NSAİİ’ye bağlı ülser riskinde mukus/bikarbonat artışı ve asit azalmasıyla koruyucu olabilir. Uterus kontraksiyonunu artırabildiği için gebelikte kontrendikasyon/obstetrik kullanım ayrımı önemlidir.,Misoprostol NSAİİ ülserinden koruyabilir ama gebelikte uterotonik etki nedeniyle dikkat ister.,PPI asit pompasını baskılar; misoprostol prostaglandin analoğudur.,Prostaglandin E1 | NSAİİ ülseri | Uterotonik etki,0,"Metotreksat folat analoğu bir antimetabolittir ve temel olarak dihidrofolat redüktazı inhibe ederek tetrahidrofolat yenilenmesini azaltır. Tetrahidrofolat havuzu azalınca timidilat ve purin sentezi bozulur, bu da özellikle mukozal epitel ve kemik iliği gibi hızlı bölünen dokularda DNA sentezini baskılar. Lökovorin kurtarma, indirgenmiş folat sağlayarak normal hücrelerde bu metabolik blokajın toksik etkisini azaltmayı amaçlar; renal klirens gecikmesi toksisiteyi artırabilir. || Metotreksat folat analoğu bir antimetabolittir ve temel olarak dihidrofolat redüktazı inhibe ederek tetrahidrofolat yenilenmesini azaltır. Tetrahidrofolat havuzu azalınca timidilat ve purin sentezi bozulur, bu da özellikle mukozal epitel ve kemik iliği gibi hızlı bölünen dokularda DNA sentezini baskılar. Lökovorin kurtarma, indirgenmiş folat sağlayarak normal hücrelerde bu metabolik blokajın toksik etkisini azaltmayı amaçlar; renal klirens gecikmesi toksisiteyi artırabilir."
v402-pharmacology-ondansetron,Ondansetron,Ondansetron | 5-HT3 antagonisti,Antiemetikler,P1,5-HT3 reseptörünü bloke ederek kemoterapi ve postoperatif bulantı-kusmayı azaltan antiemetiktir.,Vagal afferentler ve kemoreseptör tetik bölgesindeki serotonin sinyalini baskılar. QT uzaması ve kabızlık önemli yan etkilerdir.,Kemoterapi ilişkili kusmada 5-HT3 antagonistleri yüksek verimlidir.,Metoklopramid D2 antagonizması/prokinetik etki; ondansetron 5-HT3 blokajıyla ayrılır.,5-HT3 reseptörü | Kemoreseptör tetik bölge | QT uzaması,7,"Metoklopramid antiemetik ve prokinetik etkisini temel olarak D2 antagonizması üzerinden gösterir. H1 blokajı dimenhidrinat gibi antihistaminiklerle, NK1 antagonizması aprepitantla, selektif 5-HT3 antagonizması ise ondansetron gibi ilaçlarla ilişkilidir. Metoklopramid başlıca dopamin D2 reseptör antagonisti olarak kemoreseptör tetik bölgesinde antiemetik etki gösterir; enterik düzeyde kolinerjik aktiviteyi kolaylaştırarak üst gastrointestinal motiliteyi artırır. Doğru cevaptır; metoklopramid D2 r || Yanlıştır; 5-HT3 antagonizması ondansetron, granisetron ve benzeri ilaçların temel antiemetik mekanizmasıdır."
v402-pharmacology-metoklopramid,Metoklopramid,Metoklopramid | D2 antagonist metoklopramid,Antiemetikler / Prokinetikler,P1,Dopamin D2 reseptör antagonizması ve prokinetik etkiyle bulantıyı azaltan ilaçtır.,Gastrik boşalmayı artırır ve kemoreseptör tetik bölgede D2 blokaj yapar. Ekstrapiramidal yan etkiler ve hiperprolaktinemi sınavda dikkat edilmelidir.,Metoklopramid D2 blokajı nedeniyle ekstrapiramidal yan etki yapabilir.,Ondansetron 5-HT3 antagonisti olup ekstrapiramidal yan etki beklenmez.,D2 reseptör blokajı | Ekstrapiramidal yan etki | Prokinetik etki,25,ai-spot-vakasiz-secki-061-metoklopramid-d2-antagonizmi-prokinetik-etki || Metoklopramid başlıca dopamin D2 reseptör antagonisti olarak kemoreseptör tetik bölgesinde antiemetik etki gösterir; enterik düzeyde kolinerjik aktiviteyi kolaylaştırarak üst gastrointestinal motiliteyi artırır.
v402-pharmacology-klorokin-retinopatisi,Klorokin retinopatisi,Klorokin retinopatisi | hidroksiklorokin retinopatisi,Antimalaryal / Romatoloji ilaçları,P1,Klorokin/hidroksiklorokin kullanımında retinal toksisite ve görme bozukluğu riskidir.,Uzun süreli kullanımda retina takibi gerekir. İlacın immünomodülatör kullanımı olsa da göz toksisitesi klinik izlem açısından belirleyicidir.,Hidroksiklorokin kullanan hastada düzenli retina takibi önemlidir.,Etambutol optik nörit yapar; hidroksiklorokin retinopati ile öne çıkar.,Hidroksiklorokin | Retina | Görme toksisitesi,0,
v402-pharmacology-folinik-asit-kurtarma,Folinik asit kurtarma,Folinik asit kurtarma | leucovorin rescue | lökoverin kurtarma,Antimetabolit antidotu,P1,Metotreksat toksisitesini azaltmak için kullanılan aktif folat desteğidir.,Dihidrofolat redüktaz basamağını bypass ederek normal hücrelerde DNA sentezi için folat havuzunu destekler. Yüksek doz metotreksat protokollerinde kritik güvenlik basamağıdır.,Metotreksat toksisitesinde folinik asit kurtarma kullanılır.,Folinik asit metotreksatta; mesna siklofosfamid hemorajik sistitinde koruyucudur.,Metotreksat | Folat metabolizması | Dihidrofolat redüktaz,0,"Yüksek doz metotreksatta folat antagonizması, DNA sentezi baskılanması, renal klirens ve lökovorin kurtarma mantığını mekanizma üzerinden ayırt etme. || Hasta hematolojik malignite protokolü kapsamında yüksek doz metotreksat aldıktan sonra onkoloji servisinde izlenmektedir. Tedaviden sonraki ikinci günde ağız içinde ağrılı ülserasyonlar ve yutma güçlüğü gelişmiş, eş zamanlı kan sayımı ve böbrek fonksiyonu takibe alınmıştır. Protokol gereği lökovorin kurtarma uygulanması planlanmış; hasta ateş, yeni antibiyotik kullanımı veya belirgin kanama tariflememektedir."
v402-pharmacology-bleomisin-pulmoner-toksisitesi,Bleomisin pulmoner toksisitesi,Bleomisin pulmoner toksisitesi | bleomisin pulmoner fibrozis,Kemoterapi yan etkileri,P1,Bleomisin kullanımında interstisyel pnömoni ve pulmoner fibrozis gelişebilme riskidir.,Akciğerde bleomisin hidrolaz aktivitesinin düşük olması toksisiteye katkı sağlar. Oksijen maruziyetiyle risk artabilir; solunum semptomları önemsenmelidir.,Bleomisin = pulmoner fibrozis.,Doksorubisin kardiyotoksisite; bleomisin akciğer toksisitesiyle ayrılır.,Bleomisin | Pulmoner fibrozis | Kemoterapi toksisitesi,2,"Bleomisin pulmoner fibrozis, sisplatin nefro-ototoksisite; doksorubisinin ayırt edici toksisitesi kalptir. || Bleomisin pulmoner fibrozis, sisplatin nefro-ototoksisite; doksorubisinin ayırt edici toksisitesi kalptir."
v402-pharmacology-siklofosfamid-hemorajik-sistit,Siklofosfamid hemorajik sistit,Siklofosfamid hemorajik sistit | siklofosfamid sistiti,Kemoterapi yan etkileri,P1,Siklofosfamidin akrolein metabolitine bağlı mesane mukozası hasarı ve kanamalı sistit yapmasıdır.,Mesna akroleini bağlayarak mesane toksisitesini azaltır. Bol hidrasyon ve mesna koruması tedavi güvenliği açısından önemlidir.,Siklofosfamid hemorajik sistit yapar; korunmada mesna kullanılır.,İfosfamid de benzer toksisite yapabilir; metotreksat toksisitesinde folinik asit kurtarma farklı mekanizmadır.,Siklofosfamid | Akrolein | Mesna,0,Mesna siklofosfamidin hemorajik sistit toksisitesinde kullanılır; sisplatin nefrotoksisitesi için klasik isim amifostindir. || Mesna siklofosfamidin hemorajik sistit toksisitesinde kullanılır; sisplatin nefrotoksisitesi için klasik isim amifostindir.
