id,term,aliases,category,subcategory,priority,occurrenceCount,shortDefinition,postAnswerExplanation,tusPearl,differentialPoint,safeNestedTerms,sourceFilePath
v398-histoembryo-pulmoner-hipoplazi,Pulmoner hipoplazi,Pulmoner hipoplazi; lung hypoplasia; akciğer hipoplazisi,Histoloji ve embriyoloji,Solunum embriyolojisi,P1,42,Akciğer dokusunun yetersiz gelişmesi ve düşük alveoler/bronşiyal kapasiteyle seyreden gelişim bozukluğudur.,Konjenital diyafram hernisinde toraksa geçen abdominal organlar akciğer genişlemesini engelleyerek pulmoner hipoplaziye yol açabilir. Oligohidramnios ve torasik boşluğu sınırlayan durumlarda da görülebilir.,Diyafram hernisi mortalitesinde yalnız herni değil eşlik eden pulmoner hipoplazi belirleyicidir.,Atelektazi gelişmiş alveolün kapanmasıdır; pulmoner hipoplazi gelişimsel akciğer yetersizliğidir.,Bochdalek hernisi; Konjenital diyafram hernisi; Tip II pnömosit,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-enterik-ganglion-hucreleri,Enterik ganglion hücreleri,Enterik ganglion hücreleri; enterik ganglion hücresi; enteric ganglion cells,Histoloji ve embriyoloji,Enterik sinir sistemi embriyolojisi,P0,30,Bağırsak duvarındaki enterik sinir pleksuslarını oluşturan nöral krest kökenli hücrelerdir.,Bu hücrelerin distal bağırsağı kolonize edememesi Hirschsprung hastalığında aganglionik segment oluşturur. Mekonyum çıkaramama ve distansiyon bu embriyolojik göç kusuruyla açıklanır.,Mekonyum çıkaramama + rektal biyopside ganglion hücresi yokluğu = Hirschsprung.,Malrotasyonda sorun bağırsak yerleşimi/rotasyonu; Hirschsprung’da enterik ganglion hücresi yokluğudur.,Nöral krest hücreleri; Aganglionik segment; Miyenterik pleksus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-auerbach-pleksusu,Auerbach pleksusu,Auerbach pleksusu; miyenterik pleksus; myenteric plexus; Auerbach sinir ağı,Histoloji ve embriyoloji,Enterik sinir sistemi histolojisi,P1,8,Bağırsak muskularis tabakaları arasında bulunan enterik sinir pleksusudur.,Başlıca bağırsak motilitesini düzenler. Hirschsprung hastalığında ganglion hücrelerinin yokluğu motilite bozukluğu ve fonksiyonel obstrüksiyon oluşturur.,Auerbach = motilite; Meissner = sekresyon/kan akımı/mukoza kontrolü şeklinde ayrılır.,Submukozal Meissner pleksusu daha çok mukozal fonksiyonlarla ilişkilidir.,Enterik ganglion hücreleri; Meissner pleksusu; Aganglionik segment,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-meissner-pleksusu,Meissner pleksusu,Meissner pleksusu; submukozal pleksus; submucosal plexus; Meissner sinir ağı,Histoloji ve embriyoloji,Enterik sinir sistemi histolojisi,P1,9,Bağırsak submukozasında bulunan enterik sinir pleksusudur.,"Mukozal sekresyon, lokal kan akımı ve submukozal kontrolle ilişkilidir. Auerbach pleksusundan farklı olarak esas motilite kas tabakaları arasındaki miyenterik pleksusa aittir.",Meissner = submukoza; Auerbach = muskularis arasında.,Hirschsprung’da her iki pleksusta ganglion hücresi yokluğu değerlendirilebilir.,Auerbach pleksusu; Enterik ganglion hücreleri; Submukoza,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-mezonefrik-kanal,Mezonefrik kanal,Mezonefrik kanal; Wolff kanalı; mesonephric duct; Wolf kanalı,Histoloji ve embriyoloji,Ürogenital embriyoloji,P1,41,Erkek iç genital kanal sisteminin önemli bölümünü oluşturan embriyonik kanaldır.,"Testosteron etkisiyle epididimis, ductus deferens, seminal vezikül ve ejakülatör kanal gibi yapılara farklılaşır. Kadında büyük ölçüde geriler.",Wolff/mezonefrik kanal testosteronla erkek iç genital kanalı verir.,Müller/paramezonefrik kanal kadın uterus-tuba-üst vajen yapılarıyla ilişkilidir.,Paramezonefrik kanal; Testosteron; Epididimis,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-paramezonefrik-kanal,Paramezonefrik kanal,Paramezonefrik kanal; Müller kanalı; paramesonephric duct; Muller kanalı,Histoloji ve embriyoloji,Ürogenital embriyoloji,P1,26,Kadın iç genital sisteminin büyük kısmına farklılaşan embriyonik kanaldır.,"Anti-Müllerian hormon yokluğunda tuba uterina, uterus ve vajenin üst kısmına gelişir. Erkekte Sertoli hücresi kaynaklı AMH ile geriler.",Müller/paramezonefrik kanal kadın iç genital; Wolff/mezonefrik kanal erkek iç genital hattıdır.,Sertoli hücresi AMH salgısıyla Müller kanalını baskılar; Leydig testosteronla Wolff kanalını destekler.,Anti-Müllerian hormon; Sertoli hücresi; Mezonefrik kanal,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-gubernakulum,Gubernakulum,Gubernakulum; gubernaculum,Histoloji ve embriyoloji,Gonad inişi,P1,30,Gonadın embriyolojik inişinde yönlendirici rol oynayan bağ dokusu kordonudur.,Testisin skrotuma inişinde gubernakulum önemlidir. İnmemiş testis ve processus vaginalis ilişkili anomaliler bu göç/iniş mekanizmasıyla anlaşılır.,Kriptorşidizm sorularında gubernakulum-testis inişi bağlantısı değerlidir.,Processus vaginalis periton uzantısıdır; gubernakulum ise inişi yönlendiren bağ dokusu yapıdır.,Processus vaginalis; İnmemiş testis; Testis inişi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-processus-vaginalis,Processus vaginalis,Processus vaginalis; processus vaginalis peritonei; vajinal proses,Histoloji ve embriyoloji,Gonad inişi,P1,12,Testis inişi sırasında skrotuma uzanan periton çıkıntısıdır.,Normalde kapanır; açık kalırsa indirekt inguinal herni veya hidrosel gelişebilir. Testis inişi ve inguinal kanal embriyolojisini klinik cerrahiyle birleştirir.,Açık processus vaginalis = indirekt inguinal herni/hidrosel riski.,Gubernakulum inişi yönlendirir; processus vaginalis periton uzantısıdır.,İndirekt inguinal herni; Hidrosel; Gubernakulum,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-sinsityotrofoblast,Sinsityotrofoblast,Sinsityotrofoblast; syncytiotrophoblast; sinsityotrofoblast tabakası,Histoloji ve embriyoloji,Plasenta histolojisi,P0,27,"Trofoblastın çok çekirdekli, invaziv ve hCG salgılayan dış tabakasıdır.","Maternal endometriyuma invazyon, laküna oluşumu ve erken hCG salgısı ile ilişkilidir. Gebelik testinin biyolojik temeli bu tabakanın hCG üretimidir.",hCG kaynağı sorulursa sinsityotrofoblast en güçlü cevaptır.,Sitotrofoblast hücresel proliferatif tabakadır; sinsityotrofoblast çok çekirdekli invaziv/endokrin tabakadır.,hCG; Sitotrofoblast; Koryonik villus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-sitotrofoblast,Sitotrofoblast,Sitotrofoblast; cytotrophoblast; sitotrofoblast tabakası,Histoloji ve embriyoloji,Plasenta histolojisi,P1,24,Trofoblastın mitotik aktivitesi olan hücresel iç tabakasıdır.,Sitotrofoblast hücreleri proliferasyonla trofoblast kütlesini sürdürür ve dışta sinsityotrofoblast tabakasına katkı sağlar. Plasental bariyer erken dönemde sitotrofoblastı da içerir.,Sitotrofoblast proliferatif; sinsityotrofoblast invaziv ve hCG salgılayıcıdır.,hCG salgısı dendiğinde sitotrofoblast değil sinsityotrofoblast önceliklidir.,Sinsityotrofoblast; Koryonik villus; Plasental bariyer,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-koryonik-villus,Koryonik villus,Koryonik villus; chorionic villus; koryon villusu,Histoloji ve embriyoloji,Plasenta histolojisi,P1,0,Fetal trofoblast ve ekstraembriyonik mezenşimden oluşan plasental değişim birimidir.,"Koryonik villuslar maternal kanla temas ederek gaz, besin ve atık değişimini sağlar. Gelişim basamakları primer, sekonder ve tersiyer villus şeklinde ilerler.",Plasentada değişim yüzeyi koryonik villuslarla kurulur.,Endometrium maternal taraftır; koryonik villus fetal plasental yapıdır.,Sinsityotrofoblast; Sitotrofoblast; Plasental bariyer,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-plasental-bariyer,Plasental bariyer,Plasental bariyer; placental barrier; maternal-fetal bariyer,Histoloji ve embriyoloji,Plasenta histolojisi,P1,0,Maternal kan ile fetal kan arasında madde geçişini düzenleyen histolojik arayüzdür.,"Erken dönemde sinsityotrofoblast, sitotrofoblast, bazal lamina, mezenşim ve fetal kapiller endoteli içerir; gebelik ilerledikçe incelerek değişimi kolaylaştırır. Antikor, gaz ve bazı ilaç geçişleri bu bariyer üzerinden anlaşılır.",Plasental bariyer kanların doğrudan karışması değil kontrollü değişim yüzeyidir.,Hemokoryal plasentada maternal kan trofoblast yüzeyiyle temas eder; fetal kan kapiller içinde kalır.,Sinsityotrofoblast; Koryonik villus; İntervillöz boşluk,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-intervilloz-bosluk,İntervillöz boşluk,İntervillöz boşluk; intervillous space; intervillöz aralık,Histoloji ve embriyoloji,Plasenta histolojisi,P1,0,Koryonik villuslar arasında maternal kanın bulunduğu boşluktur.,Maternal kan villusların çevresini doldurur; fetal kan ise villus kapillerleri içinde kalır. Bu düzen hemokoryal plasentanın temel değişim mantığını oluşturur.,"Maternal kan intervillöz boşlukta, fetal kan villus kapillerindedir.",Plasental bariyer bu iki dolaşımın doğrudan karışmasını engelleyen histolojik arayüzdür.,Koryonik villus; Plasental bariyer; Sinsityotrofoblast,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-korpus-luteum,Korpus luteum,Korpus luteum; corpus luteum; gebelik korpus luteumu,Histoloji ve embriyoloji,Üreme histolojisi/endokrinoloji,P1,14,Ovulasyon sonrası folikül hücrelerinden gelişen progesteron salgılayan geçici endokrin yapıdır.,Erken gebelikte hCG tarafından desteklenir ve progesteron üretimini sürdürerek endometriyumun gebeliğe uygun kalmasını sağlar. Plasenta steroid üretimini yeterince üstlenene kadar kritiktir.,hCG’nin erken gebelikte ana etkisi korpus luteumu sürdürmektir.,FSH folikül gelişimini; hCG ise LH benzeri etkiyle luteal desteği sürdürür.,hCG; Sinsityotrofoblast; Progesteron,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-tip-pnomosit,Tip I pnömosit,Tip I pnömosit; type I pneumocyte; tip 1 pnömosit,Histoloji ve embriyoloji,Akciğer histolojisi,P1,44,"Alveol yüzeyinin büyük kısmını kaplayan ince, yassı gaz değişim hücresidir.",Çok ince sitoplazması gaz difüzyon mesafesini azaltır. Surfaktan üretmez; hasar sonrası yenilenme ve surfaktan üretimi esas olarak tip II pnömositlerle ilişkilidir.,Tip I = gaz değişimi; Tip II = surfaktan + onarım.,Alveoler makrofaj fagositoz yapar; pnömosit epitel hücresidir.,Tip II pnömosit; Alveol; Kan-hava bariyeri,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-lameller-cisimcik,Lameller cisimcik,Lameller cisimcik; lamellar body; lamellar cisimcik; lameller cisimcikler,Histoloji ve embriyoloji,Akciğer histolojisi,P1,59,Tip II pnömositlerde surfaktanın depolandığı membranlı granüllerdir.,Elektron mikroskobik olarak lamelli görünürler ve ekzositozla surfaktanı alveol yüzeyine verirler. Prematüriteye bağlı surfaktan yetersizliği bu hücre-organel ilişkisiyle anlaşılır.,Tip II pnömosit + lameller cisimcik + surfaktan üçlüsünü birlikte düşün.,Goblet hücresi mukus; tip II pnömosit surfaktan salgılar.,Tip II pnömosit; Surfaktan; Yenidoğan solunum sıkıntısı,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-alveoler-makrofaj,Alveoler makrofaj,Alveoler makrofaj; dust cell; alveolar macrophage; alveol makrofajı,Histoloji ve embriyoloji,Akciğer histolojisi,P1,16,Alveol lümeninde partikül ve mikroorganizma fagosite eden makrofajdır.,Solunum yoluyla gelen partikülleri temizler ve alveoler savunmaya katkı verir. Pnömositlerden farklı olarak epitel değil bağışıklık/fagositer hücredir.,Alveoler makrofaj = fagositoz; tip II pnömosit = surfaktan.,"Tip I pnömosit gaz değişim yüzeyi, tip II pnömosit surfaktan üreticisidir.",Tip I pnömosit; Tip II pnömosit; Fagositoz,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-respiratuvar-epitel,Respiratuvar epitel,Respiratuvar epitel; solunum epiteli; respiratory epithelium,Histoloji ve embriyoloji,Solunum histolojisi,P0,46,Üst ve iletici hava yollarında çoğunlukla psödostratifiye silyalı prizmatik epitel olarak görülen mukozal örtüdür.,"Silyalı hücreler mukusu taşır, goblet hücreleri mukus üretir ve bazal hücreler yenilenmeye katkı sağlar. Nazal biyopsi/epitel tipi sorularında temel histolojik cevaptır.",Trakea ve bronşlarda tipik epitel psödostratifiye silyalı prizmatiktir.,Alveolde ise çok ince tip I pnömositler gaz değişim yüzeyini oluşturur.,Psödostratifiye silyalı prizmatik epitel; Goblet hücresi; Silya,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-psodostratifiye-silyali-prizmatik-epitel,Psödostratifiye silyalı prizmatik epitel,Psödostratifiye silyalı prizmatik epitel; yalancı çok katlı silyalı prizmatik epitel; pseudostratified ciliated columnar epithelium,Histoloji ve embriyoloji,Solunum histolojisi,P0,0,Tüm hücreleri bazal membrana temas ettiği halde çekirdekleri farklı seviyelerde göründüğü için çok katlı sanılan silyalı prizmatik epiteldir.,Solunum yollarında mukosiliyer temizliği sağlar. Nazal/trakeal biyopside silya ve goblet hücreleriyle birlikte görülmesi solunum epiteli lehinedir.,Psödostratifiye görünüm gerçek çok katlılık değildir; tüm hücreler bazal membrana temas eder.,Çok katlı yassı epitel daha çok sürtünmeye dayanıklı yüzeylerde; solunum epiteli mukosiliyer temizlikte görev alır.,Respiratuvar epitel; Goblet hücresi; Bazal membran,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-goblet-hucresi,Goblet hücresi,Goblet hücresi; kadeh hücresi; goblet cell,Histoloji ve embriyoloji,Epitel histolojisi,P1,35,Mukus salgılayan tek hücreli bez gibi davranan epitel hücresidir.,Solunum ve bağırsak epitelinde mukus tabakası oluşturarak yüzeyi korur. Apikal mukus granülleri nedeniyle kadeh biçimli görünüm verir.,Goblet hücresi mukus salgılar; Paneth hücresi antimikrobiyal granül salgılar.,"Enterosit emilim, goblet hücresi mukus, Paneth hücresi defensin/lizozim üretir.",Mukus; Respiratuvar epitel; Bağırsak epiteli,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-bazal-hucre,Bazal hücre,Bazal hücre; basal cell; bazal epitel hücresi,Histoloji ve embriyoloji,Epitel histolojisi,P2,1,Bazal membrana yakın yerleşen ve epitel yenilenmesine katkı veren hücredir.,Respiratuvar epitelde kök/progenitör hücre havuzu gibi davranarak yüzey epitelinin yenilenmesini sağlar. Psödostratifiye epitelde tüm hücrelerin bazal membranla ilişkisi anlaşılmalıdır.,Bazal hücre yenilenme rezervidir; silyalı hücre mukosiliyer taşıma yapar.,"Goblet hücresi salgı, silyalı hücre taşıma, bazal hücre yenilenme fonksiyonuyla ayrılır.",Respiratuvar epitel; Bazal membran; Psödostratifiye epitel,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-mikrovillus,Mikrovillus,Mikrovillus; microvillus; mikrovilluslar,Histoloji ve embriyoloji,Bağırsak histolojisi,P0,22,"Apikal hücre membranından çıkan, yüzey alanını artıran kısa aktin çıkıntısıdır.",Enterositlerde fırçamsı kenarı oluşturarak emilim yüzeyini çok artırır. Silyadan farklı olarak hareketli değildir ve temel görevi emilim kapasitesini büyütmektir.,Mikrovillus emilim yüzeyini artırır; silya hareketle taşıma yapar.,"Villus doku düzeyinde çıkıntı, mikrovillus hücre membranı düzeyinde çıkıntıdır.",Fırçamsı kenar; Enterosit; Villus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-fircamsi-kenar,Fırçamsı kenar,Fırçamsı kenar; brush border; fırçamsı çizgi,Histoloji ve embriyoloji,Bağırsak histolojisi,P1,4,Enterositlerin apikal mikrovilluslarının ışık mikroskobunda oluşturduğu çizgilenmiş görünümdür.,Karbonhidrat ve peptid sindirim enzimleriyle emilim yüzeyini genişletir. Emilim yüzeyi sorularında villus-kript-mikrovillus ilişkisini bağlar.,Fırçamsı kenar = enterosit apikal mikrovillusları.,Silya hareketli mikrotübül yapısıdır; mikrovillus/fırçamsı kenar aktin temelli emilim yapısıdır.,Mikrovillus; Enterosit; Villus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-enterosit,Enterosit,Enterosit; absorptif enterosit; enterocyte,Histoloji ve embriyoloji,Bağırsak histolojisi,P1,44,İnce bağırsakta besin emiliminden sorumlu prizmatik epitel hücresidir.,Apikal mikrovillusları fırçamsı kenarı oluşturur ve emilim yüzeyini artırır. Çölyak hastalığında villus atrofisi ve emilim bozukluğu bu hücre yüzeyinin kaybıyla anlaşılır.,Enterosit = emilim + mikrovillus/fırçamsı kenar.,"Goblet hücresi mukus, Paneth hücresi antimikrobiyal savunma, enterosit emilim yapar.",Mikrovillus; Fırçamsı kenar; Villus atrofisi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-lieberkuhn-kripti,Lieberkühn kripti,Lieberkühn kripti; intestinal kript; kript; crypt of Lieberkühn,Histoloji ve embriyoloji,Bağırsak histolojisi,P1,60,Bağırsak epitelinin lamina propria içine doğru uzanan bez/kript yapısıdır.,"Kök hücre nişi, Paneth hücreleri ve enteroendokrin hücreler burada bulunabilir. Villus emilim yüzeyini, kript ise yenilenme ve salgı fonksiyonunu temsil eder.",Villus yüzeye çıkar; kript derine iner ve yenilenme/salgı merkezidir.,Brunner bezleri duodenum submukozasında; Lieberkühn kriptleri mukozada yer alır.,Paneth hücresi; Enterosit; Villus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-peyer-plagi,Peyer plağı,Peyer plağı; Peyer patch; Peyer plakları,Histoloji ve embriyoloji,Bağırsak immünohistolojisi,P1,0,Özellikle ileumda bulunan agregat lenfoid foliküllerdir.,Bağırsak mukozal immün yanıtının parçasıdır ve üzerindeki M hücreleri lümendeki antijenleri lenfoid dokuya taşır. İleum histolojisi sorularında önemli ayırıcı yapıdır.,İleum = Peyer plakları yüksek getirili histoloji ipucudur.,Appendiks de lenfoid doku zengindir; ileumda Peyer plakları mukozal-submukozal agregatlar halinde öne çıkar.,M hücresi; İleum; Mukozal immünite,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-m-hucresi,M hücresi,M hücresi; microfold cell; M cell,Histoloji ve embriyoloji,Bağırsak immünohistolojisi,P2,11,Peyer plakları üzerindeki folikül ilişkili epitelde antijen taşıyan özelleşmiş hücredir.,Lümendeki antijenleri alıp alttaki immün hücrelere sunulmak üzere taşır. Mukozal bağışıklık ve oral antijen yanıtı için önemlidir.,M hücresi antijen transsitozu yapar; enterosit esas emilim hücresidir.,Goblet hücresi mukus salgılar; M hücresi immün örnekleme yapar.,Peyer plağı; Folikül ilişkili epitel; Mukozal immünite,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-santral-lakteal,Santral lakteal,Santral lakteal; central lacteal; lakteal,Histoloji ve embriyoloji,Bağırsak histolojisi,P1,0,İnce bağırsak villusu içinde yer alan lenfatik kapillerdir.,"Uzun zincirli yağ asitleri şilomikron olarak lenfatiklere taşınır. Villus yapısını sadece emilim yüzeyi değil, yağ emilimi ve lenfatik drenajla birlikte anlamayı sağlar.",Villus içindeki lakteal yağ emilimi için kritik lenfatik yoldur.,Kapillerler glukoz/aminoasitleri kana; laktealler şilomikronları lenfe taşır.,Villus; Şilomikron; Enterosit,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-brunner-bezi,Brunner bezi,Brunner bezi; Brunner glands; duodenal submukozal bez,Histoloji ve embriyoloji,GİS histolojisi,P1,0,Duodenum submukozasında alkali mukus salgılayan bezdir.,Asidik mide içeriğini nötralize ederek duodenum mukozasını korur. Submukozal yerleşimi duodenumu jejunum ve ileumdan ayıran güçlü histolojik ipucudur.,Duodenum = Brunner bezleri; ileum = Peyer plakları.,Lieberkühn kriptleri mukozada; Brunner bezleri submukozadadır.,Duodenum; Submukoza; Alkali mukus,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-kupffer-hucresi,Kupffer hücresi,Kupffer hücresi; Kupffer cell; karaciğer makrofajı,Histoloji ve embriyoloji,Karaciğer histolojisi,P0,22,Karaciğer sinüzoidlerinde yerleşen rezidan makrofajdır.,Portal ven ve arterden gelen kan içindeki mikroorganizma ve partikülleri fagosite eder. Hepatosit veya Ito hücresinden farklı olarak fagositik immün hücredir.,Kupffer = karaciğer sinüzoid makrofajı.,Ito hücresi A vitamini/depo ve fibrozis; Kupffer hücresi fagositoz yapar.,Hepatik sinüzoid; Disse aralığı; Ito hücresi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-disse-araligi,Disse aralığı,Disse aralığı; space of Disse; perisinüzoidal aralık,Histoloji ve embriyoloji,Karaciğer histolojisi,P0,21,Hepatositler ile sinüzoidal endotel arasında yer alan perisinüzoidal boşluktur.,Plazma bileşenleri hepatosit mikrovilluslarıyla burada temas eder. Ito hücreleri bu bölgede A vitamini depolar ve fibroziste kollajen üretimiyle önem kazanır.,Disse aralığı = hepatosit-endotel arası değişim alanı.,Sinüzoid lümeni kanın aktığı yer; Disse aralığı endotel ile hepatosit arasındadır.,Ito hücresi; Hepatik sinüzoid; Hepatosit,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-hepatik-sinuzoid,Hepatik sinüzoid,Hepatik sinüzoid; karaciğer sinüzoidi; hepatic sinusoid,Histoloji ve embriyoloji,Karaciğer histolojisi,P1,10,Karaciğerde kanın hepatosit plakları arasında aktığı fenestralı kapiller benzeri damarsal boşluktur.,Kupffer hücreleri sinüzoidlerde bulunur; fenestralı endotel hepatositlerle madde alışverişini kolaylaştırır. Karaciğer histolojisinde portal triad-santral ven akışını anlamanın temelidir.,"Kan portal triaddan sinüzoidlere, sonra santral vene akar; safra ters yönde kanaliküllere akar.",Safra kanalikülü kan değil safra taşır; sinüzoid kan akımını taşır.,Kupffer hücresi; Disse aralığı; Portal triad,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-to-hucresi,Ito hücresi,Ito hücresi; hepatik stellat hücre; hepatic stellate cell; stellate cell,Histoloji ve embriyoloji,Karaciğer histolojisi,P0,20,"Disse aralığında yerleşen, A vitamini depolayan ve fibroziste kollajen üretebilen hücredir.",Normalde retinoid depolar; kronik karaciğer hasarında aktive olarak miyofibroblast benzeri davranır ve fibrozise katkı verir. Kupffer hücresinden farklı olarak temel işlevi fagositoz değildir.,Ito hücresi = A vitamini deposu + fibroziste kollajen.,Kupffer hücresi makrofajdır; Ito hücresi perisinüzoidal stellat hücredir.,Disse aralığı; Karaciğer fibrozisi; Kupffer hücresi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-safra-kanalikulu,Safra kanalikülü,Safra kanalikülü; bile canaliculus; safra kanalikülleri,Histoloji ve embriyoloji,Karaciğer histolojisi,P1,0,Komşu hepatositlerin apikal yüzleri arasında oluşan küçük safra kanalıdır.,"Safra hepatositlerden kanaliküllere, oradan daha büyük safra yollarına akar. Bu akış kanın sinüzoid içindeki yönünün tersidir.",Karaciğerde kan ve safra akımı ters yönlüdür.,Hepatik sinüzoid kan taşır; safra kanalikülü safra taşır.,Hepatosit; Hepatik sinüzoid; Portal triad,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-sertoli-hucresi,Sertoli hücresi,Sertoli hücresi; Sertoli cell; sustentaküler hücre,Histoloji ve embriyoloji,Testis histolojisi,P0,34,Seminifer tübülde germ hücrelerini destekleyen ve kan-testis bariyerini oluşturan destek hücresidir.,"Spermatogenezi besler, inhibin B ve anti-Müllerian hormon üretimiyle ilişkilidir. Sıkı bağlantıları kan-testis bariyerinin temelini oluşturur.",Sertoli = destek + kan-testis bariyeri + AMH/inhibin B.,Leydig hücresi interstisyumda testosteron üretir; Sertoli hücresi tübül içinde destek sağlar.,Kan-testis bariyeri; Seminifer tübül; Leydig hücresi,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-leydig-hucresi,Leydig hücresi,Leydig hücresi; Leydig cell; interstisyel Leydig hücresi,Histoloji ve embriyoloji,Testis histolojisi,P0,22,Seminifer tübüller arasındaki interstisyumda testosteron üreten hücredir.,LH etkisiyle testosteron sentezler ve erkek iç/dış genital gelişim ile sekonder seks özelliklerine katkı verir. Sertoli hücresinden yerleşim ve hormon ürünüyle ayrılır.,Leydig = LH + testosteron + interstisyum.,Sertoli tübül içinde germ hücresi desteği ve AMH; Leydig interstisyumda testosteron üretir.,Sertoli hücresi; Testosteron; Seminifer tübül,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
v398-histoembryo-kan-testis-bariyeri,Kan-testis bariyeri,Kan-testis bariyeri; blood-testis barrier; hematotestiküler bariyer,Histoloji ve embriyoloji,Testis histolojisi,P0,76,Sertoli hücreleri arasındaki sıkı bağlantıların oluşturduğu immünolojik ve mikrosistem bariyeridir.,Gelişen germ hücrelerini dolaşımdaki immün hücre ve zararlı maddelerden korur. Spermatogenezde bazal ve adluminal kompartman ayrımını oluşturur.,Kan-testis bariyerini Sertoli hücreleri yapar.,"Endotel bariyeri değil, seminifer tübül içinde Sertoli hücresi sıkı bağlantıları temel yapıdır.",Sertoli hücresi; Sıkı bağlantı; Seminifer tübül,src/data/cases.js; src/data/tusPearlCards.js; src/data/tusPearlHistologyEmbryologyFirst34Overrides.js
